pt,en,es,fr,it,gl,ro
paz,peace,paz,paix,pace,paz,pace
nao,no,no,non,no,non,nu
fel,gall,hiel,fiel,fiele,fel,fiere
ceu,sky,cielo,ciel,cielo,ceo,cer
ser,to be,ser,etre,essere,ser,a fi
vil,vile,vil,vil,vile,vil,ticalos
sob,under,bajo,sous,sotto,baixo,sub
mal,bad,malo,mauvais,cattivo,malo,rau
ver,to see,para ver,voir,da vedere,ver,pentru a vedea
mae,mother,madre,mere,madre,nai,mama
ter,to have,tener,avoir,avere,ter,a avea
ego,ego,ego,ego,ego,ego,ego-ul
bem,good,bien,bien,bene,bo,bun
mas,but,pero,mais,ma,pero,dar
dom,sun,sol,soleil,sole,sol,soare
bom,good,bien,bien,bene,bo,bun
vir,come over,venir,venir,venire,ven,vin la tine
vao,go,ir,aller,andare,vai,merge
sao,they are,ellos son,ils sont,sono,eles son,sunt
dar,to give,dar,donner,dare,dar,a da
ora,now,ahora,maintenant,ora,agora,acum
que,what,que,quoi,che cosa,que,ce
era,it was,fue,c'etait,era,foi,era
elo,link,enlace,lien,collegamento,ligazon,legatura
luz,light,luz,lumiere,leggero,luz,usoara
nos,us,a nosotros,nous,noi,nos,s.u.a
reu,defendant,acusado,defendeur,imputato,imputado,parat
com,with,con,avec,con,con,cu
seu,your,su,ton,tuo,teu,ta
tal,such,semejante,tel,come,tal,astfel de
foi,he was,el era,il etait,e stato,foi,el a fost
rol,role,role,role,ruolo,papel,rol
mim,me,a mi,moi,me,eu,pe mine
uma,one,uno,un,uno,un,unu
lua,moon,luna,lune,luna,lua,luna
ate,until,hasta,jusqu'a,fino a,ata que,pana cand
hum,hmm,mmm,hmm,hmm,hmm,hmm
por,per,por,par,per,por,pe
vis,vis,vis,vis,vis,vis,vis
fim,end,fin,fin,fine,fin,sfarsit
pos,post,correo,poste,inviare,publicacion,post
dor,pain,dolor,douleur,dolore,dor,durere
ato,act,acto,acte,atto,actuar,act
sol,sun,sol,soleil,sole,sol,soare
sem,without,sin,sans,senza,sen,fara
pai,father,padre,pere,padre,pai,tata
vez,turn,doblar,tourner,giro,quenda,intoarce
dia,day,dia,jour,giorno,dia,zi
dou,i give,doy,je donne,io do,eu dou,eu dau
ira,will,voluntad,volonte,volere,vontade,voi
pro,pro,pro,pro,pro,pro,pro
eis,behold,mirad,voir,ecco,velai,iata
rua,road,camino,route,strada,estrada,drum
tez,complexion,tez,complexion,carnagione,tez,complexitate
ler,to read,leer,lire,leggere,ler,a citi
ode,ode,oda,ode,ode,oda,oda
tao,so,entonces,donc,cosi,asi,asa de
nem,nor,ni,ni,ne,nin tampouco,nici
fiz,i did,hice,je l'ai fait,l'ho fatto,fixen,am facut
ajo,act,acto,acte,atto,actuar,act
voz,voice,voz,voix,voce,voz,voce
gay,gay,homosexuales,gay,gay,gai,gay
meu,my,mi,mon,mio,meu,ale mele
lei,law,ley,loi,legge,lei,lege
voo,flight,vuelo,vol,volo,voo,zbor
mau,bad,malo,mauvais,cattivo,malo,rau
mao,hand,mano,main,mano,man,mana
num,on one,en uno,sur une,nessuno,nun,pe unu
des,give,dar,donner,dare,dar,da
afa,hustle,ajetreo,agitation,attivita febbrile,axitacion,agitatie
por,pair,par,paire,paio,par,pereche
for,for,para,pour,per,para,pentru
rio,river,rio,riviere,fiume,rio,rau
dai,hence,por eso,ainsi,quindi,polo tanto,prin urmare
ola,hello,hola,bonjour,ciao,ola,buna ziua
cia,cia,cia,cia,cia,cia,cia
jus,jus,jus,jus,giusto,xus,jus
lar,home,hogar,maison,casa,casa,acasa
sua,your,su,ton,tuo,teu,ta
fez,he did,el hizo,il a fait,egli fece,fixo,el a facut
ira,will,voluntad,volonte,volere,vontade,voi
via,via,a traves de,via,attraverso,via,prin intermediul
som,sound,sonido,son,suono,son,sunet
nau,ship,barco,bateau,nave,barco,nava
sim,yes,si,oui,si,si,da
amo,i love,amo,j'aime,io amo,encantame,iubesc
rei,king,rey,roi,re,rei,rege
tem,he has,el tiene,il a,lui ha,el ten,el are
boa,good,bien,bien,bene,bo,bun
mas,but,pero,mais,ma,pero,dar
uso,use,usar,utiliser,utilizzo,usar,utilizare
mes,month,mes,mois,mese,mes,luna
ido,gone,desaparecido,disparu,andato,ido,plecat
jaz,lies,mentiras,mensonges,bugie,mentiras,minciuni
asa,wing,ala,aile,ala,a,aripa
uns,some,alguno,quelques,alcuni,algunhas,niste
lhe,him,a el,lui,lui,el,-l
eco,echo,eco,echo,eco,eco,ecou
pal,pal,camarada,copain,amico,amigo,prietene
cla,clan,clan,clan,clan,clan,clan
amor,love,amar,amour,amore,amor,dragoste
fato,fact,hecho,fait,fatto,feito,fapt
mito,myth,mito,mythe,mito,mito,mit
vies,bias,inclinacion,biais,pregiudizio,prexuizo,partinire
voce,you,tu,toi,voi,ti,tu
como,as,como,comme,come,como,la fel de
caos,chaos,caos,chaos,caos,caos,haos
esmo,haphazardly,al azar,au hasard,a casaccio,ao azar,la intamplare
brio,panache,estilo,panache,brio,garbo,pompon
vide,see,ver,voir,vedere,ver,vedea
acao,action,accion,action,azione,accion,actiune
sede,thirst,sed,la soif,sete,sede,sete
apos,after,despues,apres,dopo,despois,dupa
pois,then,entonces,alors,poi,enton,apoi
vida,life,vida,vie,vita,vida,viata
casa,house,casa,maison,casa,casa,casa
auge,peak,cima,culminer,picco,pico,varf
saga,saga,saga,saga,saga,saga,saga
medo,fear,miedo,peur,paura,medo,frica
onus,anus,ano,anus,ano,ano,anus
ermo,wilderness,desierto,region sauvage,natura selvaggia,deserto,pustie
suma,sum,suma,somme,somma,suma,suma
vovo,grandma,abuela,grand-mere,nonna,avoa,bunica
mote,motto,lema,devise,motto,lema,motto
alem,beyond,mas alla de,au-dela,al di la,mais alo,dincolo
tolo,fool,tonto,idiot,scemo,parvo,prost
sina,fate,destino,destin,destino,destino,soarta
idem,idem,idem,idem,idem,idem,idem
urge,urgent,urgente,urgent,urgente,urxente,urgent
crer,believe,creer,croire,credere,crer,crede
pela,for the,para el,pour le,per il,para o,pentru
apto,fit,adaptar,ajuster,adatto,encaixar,potrivi
zelo,zeal,celo,zele,zelo,celo,zel
veio,he came,el vino,il est venu,lui venne,el veu,el a venit
pude,i could,pude,je pourrais,potrei,poderia,am putut
tudo,all,todo,tous,tutto,todos,toate
mais,more,mas,plus,di piu,mais,mai mult
ruim,bad,malo,mauvais,cattivo,malo,rau
area,area,area,zone,la zona,area,zona
amar,love,amar,amour,amore,amor,dragoste
rude,rude,brusco,grossier,maleducato,groseiro,nepoliticos
coxo,lame,aburrido,boiteux,zoppo,coxo,schiop
cota,quota,cuota,quota,quota,cota,cota
para,for,para,pour,per,para,pentru
soar,sound,sonido,son,suono,son,sunet
ater,land,tierra,atterrir,terra,terra,teren
sera,it will be,sera,ce sera,sara,sera,va fi
fase,phase,fase,phase,fase,fase,faza
ente,being,ser,etre,essendo,sendo,fiind
auto,self,ser,soi,se stesso,propio,de sine
tras,behind,detras,derriere,dietro,detras,in spate
doce,sweet,dulce,doux,dolce,doce,dulce
voga,vogue,moda,vogue,voga,moda,voga
logo,soon,pronto,bientot,presto,en breve,curand
onde,where,donde,ou,dove,onde,unde
rima,rime,escarcha,rime,brina,rime,bruma
deus,god,dios,dieu,dio,deus,dumnezeu
pelo,for the,para el,pour le,per il,para o,pentru
ante,before,antes,avant,prima,antes,inainte de
cedo,early,temprano,tot,presto,cedo,din timp
jugo,yoke,yugo,joug,giogo,xugo,jug
meio,quite,bastante,assez,abbastanza,bastante,destul de
arte,art,arte,art,arte,art,arta
alma,soul,alma,ame,anima,alma,suflet
meta,goal,meta,but,obiettivo,obxectivo,poarta
cujo,whose,cuyo,dont,di chi,cuxo,a caror
sela,saddle,sillin,selle,sella,sela,sa
traz,brings,trae,apporte,porta,trae,aduce
numa,in,en,dans,in,en,in
cela,cell,celula,cellule,cellula,celula,celula
teor,content,contenido,contenu,contenuto,contido,continut
sido,been,estado,a ete,stato,estivo,fost
noia,noia,noya,noia,noia,noia,noia
face,face,rostro,affronter,viso,cara,fata
asco,disgust,asco,degouter,disgusto,noxo,dezgust
nojo,disgust,asco,degouter,disgusto,noxo,dezgust
alvo,target,objetivo,cible,bersaglio,obxectivo,tinta
foco,focus,enfocar,se concentrer,messa a fuoco,foco,se concentreze
isso,that,eso,que,quello,iso,acea
pose,pose,pose,pose,posa,pose,poza
sair,to go out,salir,sortir,uscire,sair,a iesi afara
base,base,base,base,base,base,baza
vale,ok,de acuerdo,d'accord,ok,ok,bine
odio,hate,odiar,detester,odio,odio,ura
agir,act,acto,acte,atto,act,act
teve,he had,el tuvo,il avait,lui aveva,tina,el a avut
alto,high,alto,haut,alto,alto,inalt
todo,all,todo,tous,tutto,todos,toate
ocio,leisure,ocio,loisirs,tempo libero,lecer,agrement
rito,rite,rito,rite,rito,rito,rit
eita,jeez,dios mio,ouais,cavolo,caramba,naiba
irao,will,voluntad,volonte,volere,vontade,voi
novo,new,nuevo,nouveau,nuovo,novo,nou
agil,agile,agil,agile,agile,axil,agil
alva,dawn,amanecer,aube,alba,amencer,zorii
tese,thesis,tesis,these,tesi,tese,teza
alta,high,alto,haut,alto,alto,inalt
bojo,bulge,bulto,renflement,rigonfiamento,bulto,umflatura
nexo,nexus,nexo,lien,nesso,nexo,legatura
orla,shore,costa,rive,costa,costa,tarm
sagaz,sagacious,sagaz,sagace,sagace,sagaz,sagace
amago,core,centro,coeur,nucleo,nucleo,miez
negro,black,negro,noir,nero,negro,negru
termo,term,termino,terme,termine,termo,termen
exito,success,exito,succes,successo,exito,succes
mexer,to mix,mezclar,melanger,mescolare,mesturar,a amesteca
nobre,noble,noble,noble,nobile,nobre,nobil
senso,sense,sentido,sens,senso,sentido,sens
afeto,affection,afecto,affection,affetto,carino,afectiune
algoz,executioner,verdugo,bourreau,boia,verdugo,calau
etica,ethics,etica,ethique,etica,etica,etica
plena,full,lleno,complet,pieno,cheo,deplin
mutua,mutual,mutual,mutuel,reciproco,mutuo,reciproc
tenue,tenuous,tenue,tenu,tenue,tenue,tenue
fazer,to do,hacer,faire,fare,facer,a face
assim,like this,asi,comme ca,come questo,como isto,ca aceasta
sutil,subtle,sutil,subtil,impercettibile,sutil,subtil
vigor,force,fuerza,forcer,forza,forza,forta
aquem,here,aqui,ici,qui,aqui,aici
porem,however,sin embargo,cependant,tuttavia,con todo,in orice caz
secao,section,seccion,section,sezione,seccion,sectiune
fosse,were,eran,etaient,erano,foron,au fost
sanar,heal,sanar,guerir,guarire,curar,vindeca
poder,power,fuerza,pouvoir,energia,poder,putere
audaz,daring,atrevido,audacieux,audace,atrevido,indraznet
ideia,idea,idea,idee,idea,idea,idee
cerne,core,centro,coeur,nucleo,nucleo,miez
inato,innate,innato,inne,innato,innato,innascut
moral,moral,moral,morale,morale,moral,morala
sobre,about,acerca de,a propos,di,sobre,despre
desde,since,desde,depuis,da,xa que,de cand
muito,very,muy,tres,molto,moi,foarte
justo,fair,justo,equitable,giusto,xusto,corect
honra,honor,honor,honneur,onore,honra,onora
quica,perhaps,tal vez,peut-etre,forse,quizais,poate
torpe,clumsy,torpe,maladroit,goffo,torpe,neindemanatic
sonho,dream,sueno,reve,sogno,sono,vis
razao,reason,razon,raison,motivo,razon,motiv
futil,futile,futil,futile,inutile,inutil,zadarnic
etnia,ethnicity,etnicidad,appartenance ethnique,etnia,etnia,etnie
icone,icon,icono,icone,icona,icona,pictograma
anexo,attachment,adjunto,piece jointe,attaccamento,anexo,atasament
amigo,friend,amigo,ami,amico,amigo,prieten
egide,aegis,egida,egide,egida,exido,egida
tange,tange,tange,tanger,tangente,tanxe,tange
lapso,lapse,lapso,laps,periodo,lapso,interval
haver,be,haber,etre,essere,ser,fi
expor,expose,exponer,exposer,esporre,exponer,expune
mutuo,mutual,mutual,mutuel,reciproco,mutuo,reciproc
dengo,dengo,dengo,dengo,dengo,dengo,dengo
tempo,time,tiempo,temps,tempo,tempo,timp
casal,couple,pareja,couple,coppia,parella,cuplu
entao,then,entonces,alors,poi,enton,apoi
habil,skillful,habil,habile,abile,habil,abil
seara,harvest,cosecha,recolte,raccolto,colleita,recolta
bocal,bocal,bocal,bocal,bocal,bocal,bocal
ardil,ruse,ardid,ruse,stratagemma,artimana,siretlic
avido,live,en vivo,en direct,vivere,en directo,trai
pesar,to weight,pesar,peser,pesare,a peso,a cantari
saber,to know,saber,savoir,sapere,saber,a sti
causa,cause,causa,cause,causa,causa,cauza
graca,grace,gracia,la grace,adornare,graza,gratie
dizer,to say,decir,dire,dire,dicir,a zice
genro,genre,genero,genre,genere,xenero,gen
obice,obstacle,obstaculo,obstacle,ostacolo,obstaculo,obstacol
posse,possession,posesion,possession,possesso,posesion,detinere
coser,sew,coser,coudre,cucire,coser,a coase
paria,pariah,paria,paria,paria,paria,paria
dever,duty,deber,devoir,dovere,deber,datorie
brado,shout,gritar,crier,gridare,berrar,strigat
tenaz,tenacious,tenaz,tenace,tenace,tenaz,tenace
prole,offspring,descendencia,progeniture,prole,descendencia,descendenti
crivo,sieve,tamiz,tamis,setaccio,peneira,sita
sendo,being,ser,etre,essendo,sendo,fiind
corja,owl,buho,hibou,gufo,curuxa,bufnita
comum,common,comun,commun,comune,comun,uzual
temor,fear,miedo,peur,paura,medo,frica
detem,holds,sostiene,tient,tiene,aguanta,tine
ainda,yet,todavia,encore,ancora,ainda,inca
animo,cheer,alegria,acclamation,allegria,animo,ridica moralul
apice,apex,apendice,sommet,apice,apex,apex
ansia,eagerness,afan,ardeur,entusiasmo,afan,nerabdare
ceder,give way,ceda el paso,laisser passer,far passare,deixa o paso,ceda
estar,be,ser,etre,essere,ser,fi
digno,worthy,valioso,digne,degno,digno,vrednic
pauta,schedule,cronograma,calendrier,programma,horario,programa
assaz,pretty,bonito,joli,bello,fermosa,frumos
xibiu,xibiu,xibiu,xibiu,xibiu,xibiu,xibiu
culto,cult,culto,culte,culto,culto,cult
mundo,world,mundo,monde,mondo,mundo,lume
atroz,atrocious,atroz,atroce,atroce,atroz,atroce
fugaz,fleeting,fugaz,fugace,fugace,fugaz,trecatoare
censo,census,censo,recensement,censimento,censo,recensamant
gleba,land,tierra,atterrir,terra,terra,teren
forte,strong,fuerte,fort,forte,forte,puternic
vicio,addiction,adiccion,dependance,dipendenza,adiccion,dependenta
vulgo,aka,alias,alias,ovvero,tamen conecido como,aka
cozer,bake,hornear,cuire,cottura al forno,cocer,coace
valha,worth,valer,valeur,di valore,vale,in valoare de
denso,dense,denso,dense,denso,densa,dens
exceto,except,excepto,sauf,tranne,excepto,cu exceptia
cinico,cynical,cinico,cynique,cinico,cinico,cinic
idoneo,suitable,adecuado,approprie,adatto,axeitado,potrivit
ambito,scope,alcance,portee,scopo,ambito,domeniul de aplicare
nescio,not(c)member,not(c)miembro,pas(c)membre,non(c)membro,non e membro,nu(c)membre
indole,nature,naturaleza,nature,natura,natureza,natura
mister,mister,senor,monsieur,signore,senor,domnule
vereda,path,camino,chemin,sentiero,camino,cale
apogeu,heyday,apogeo,apogee,periodo d'oro,apoxeo,ziua de glorie
inocuo,harmless,inofensivo,inoffensif,innocuo,inocuo,inofensiv
convem,suits,trajes,costumes,abiti,traxes,costume
utopia,utopia,utopia,utopie,utopia,utopia,utopie
sadico,sadist,sadico,sadique,sadico,sadico,sadic
escopo,scope,alcance,portee,scopo,ambito,domeniul de aplicare
enfase,emphasis,enfasis,accent,enfasi,enfase,accent
idiota,idiot,estupido,idiot,idiota,idiota,idiot
casual,casual,casual,occasionnel,casuale,casual,casual
merito,merit,merito,merite,merito,merito,merit
alusao,allusion,alusion,allusion,allusione,alusion,aluzie
