gl,ro,Alignment Score
legal,legale,0.026666666666666727
incredulidade,necredinta,0.30000000000000004
concomitante,concomitent,0.09696969696969693
restricion,restrictie,0.17999999999999994
ano,anus,0.33333333333333337
tez,complexitate,0.5111111111111111
doce,dulce,0.25
estafa,inselatorie,0.6333333333333333
cuestionando,chestionare,0.24848484848484842
sentido,sens,0.28333333333333355
transfiguracion,transfigurare,0.1435897435897434
de confianza,demn de incredere,0.5222222222222224
representacion,reprezentare,0.23333333333333317
xusto,corect,0.6933333333333334
ver,pentru a vedea,0.5777777777777777
cedo,din timp,0.7166666666666668
hmm,hmm,0.0
litixio,litigii,0.2571428571428571
nostalxia,nostalgie,0.20740740740740748
habil,abil,0.033333333333333326
ambito,domeniul de aplicare,0.7444444444444445
determinado,determinat,0.09999999999999987
sensibilidade,sensibilitate,0.1435897435897434
lonxitude,lungime,0.4190476190476191
espertar,trezi,0.56
altruista,altruist,0.016666666666666607
resignificar,resemnifica,0.1696969696969698
circunscricion,circumscriptie,0.257142857142857
transcendente,transcendent,0.011111111111111072
dicir,a zice,0.5466666666666666
presuncion,prezumtie,0.40740740740740755
cocer,coace,0.18666666666666676
familia,familie,0.13333333333333341
detras,in spate,0.7222222222222222
extemporaneo,extemporaneu,0.07777777777777772
promocion,promovare,0.37037037037037024
mediocridade,mediocritate,0.15555555555555545
competencia,experienta,0.44666666666666677
carente,lipsit,0.7111111111111111
rara,neobisnuit,0.9333333333333333
implicitamente,implicit,0.05833333333333324
infraestrutura,infrastructura,0.06666666666666665
fundacion,fundatie,0.2416666666666667
dimitido,demisionat,0.3666666666666668
incrible,necrezut,0.43333333333333346
sistematizar,sistematiza,0.012121212121212088
sufrir,suferi,0.15555555555555556
transcender,transcende,0.013333333333333308
referencia,referinta,0.19999999999999996
convalecente,convalescent,0.07777777777777772
fase,faza,0.43333333333333335
sera,va fi,0.6666666666666667
censo,recensamant,0.28
parcialmente,partial,0.19047619047619047
limite,prag,0.8666666666666667
conxuxe,sotie,0.56
prescindible,dispensabil,0.48484848484848486
convivencia,coexistenta,0.40000000000000013
empresa,afacere,0.48571428571428577
disension,disensiuni,0.11851851851851858
designacion,desemnare,0.4
gloria,glorie,0.15555555555555556
austero,auster,0.022222222222222143
manso,bland,0.5333333333333333
alto,inalt,0.25
lema,motto,0.6666666666666667
esencial,esential,0.1166666666666667
dicotomia,dihotomie,0.20740740740740748
para,pentru,0.5
contemplar,contempla,0.014814814814814725
abundantemente,abundent,0.06666666666666654
discrepancia,discrepanta,0.09090909090909083
circuncidado,circumcis,0.22962962962962963
bulto,umflatura,0.44000000000000006
intelectual,intelectual,0.0
animo,ridica moralul,0.4933333333333334
terra,teren,0.3466666666666668
predisposicion,predispozitie,0.2205128205128204
empatia,empatie,0.13333333333333341
avoa,bunica,0.6666666666666667
negro,negru,0.18666666666666676
antagonismo,antagonism,0.013333333333333308
ser,fi,0.9
reconecemento,recunoastere,0.4388888888888888
cortes,politicos,0.4555555555555555
austeridade,austeritate,0.1696969696969698
con todo,in orice caz,0.5666666666666667
eminencia,eminenta,0.125
non,nu,0.5
despois,dupa,0.5166666666666666
conviccion,condamnare,0.5000000000000001
estabilidade,stabilitate,0.18181818181818177
consentimento,consimtamant,0.2944444444444445
exito,succes,0.6933333333333334
taciturno,taciturn,0.016666666666666607
imperceptible,imperceptibil,0.07179487179487176
merito,merit,0.026666666666666727
ordinario,comun,0.5866666666666667
parsimonia,parcimonie,0.18666666666666676
consistencia,consistenta,0.09090909090909083
promiscuo,promiscuu,0.10370370370370374
indeleble,de nesters,0.49629629629629635
biodiversidade,biodiversitate,0.1333333333333332
idiosincrasia,idiosincrasie,0.07179487179487176
rotundo,rasunator,0.4095238095238096
discrecion,discretie,0.2148148148148148
epistemoloxia,epistemologie,0.1435897435897434
rexeitar,respinge,0.5250000000000001
instancia,instanta,0.125
comunon,comuniune,0.16190476190476188
subir,crestere,0.5733333333333334
personalidade,personalitate,0.1435897435897434
inhospito,neospitalier,0.32592592592592584
democracia,democratie,0.18666666666666676
extraordinario,extraordinar,0.016666666666666496
notorio,notoriu,0.13333333333333341
algunhas,niste,0.5733333333333334
estereotipado,stereotipat,0.10303030303030292
nonivago,nuivago,0.1428571428571429
