pt,ro,Alignment Score
juridico,legale,0.8444444444444446
incredulidade,necredinta,0.30000000000000004
concomitante,concomitent,0.09696969696969693
restricao,restrictie,0.19999999999999996
onus,anus,0.2333333333333334
tez,complexitate,0.5111111111111111
doce,dulce,0.25
embuste,inselatorie,0.5333333333333333
questionamento,chestionare,0.2666666666666666
senso,sens,0.033333333333333326
transfiguracao,transfigurare,0.1384615384615382
fidedigno,demn de incredere,0.45925925925925937
representacao,reprezentare,0.22777777777777763
justo,corect,0.6933333333333334
ver,pentru a vedea,0.5777777777777777
cedo,din timp,0.7166666666666668
hum,hmm,0.3111111111111112
litigio,litigii,0.13333333333333341
nostalgia,nostalgie,0.10370370370370374
habil,abil,0.033333333333333326
ambito,domeniul de aplicare,0.7444444444444445
determinado,determinat,0.09999999999999987
sensibilidade,sensibilitate,0.1435897435897434
comprimento,lungime,0.5238095238095238
suscitar,trezi,0.56
altruista,altruist,0.016666666666666607
ressignificar,resemnifica,0.17575757575757578
circunscricao,circumscriptie,0.2717948717948716
transcendente,transcendent,0.011111111111111072
dizer,a zice,0.5466666666666666
presuncao,prezumtie,0.4740740740740742
cozer,coace,0.36
familia,familie,0.13333333333333341
tras,in spate,0.7166666666666667
extemporaneo,extemporaneu,0.07777777777777772
fomento,promovare,0.5142857142857143
mediocridade,mediocritate,0.15555555555555545
proficiencia,experienta,0.3666666666666667
desprovido,lipsit,0.6333333333333333
inusitado,neobisnuit,0.3925925925925926
implicitamente,implicit,0.05833333333333324
infraestrutura,infrastructura,0.06666666666666665
alicerce,fundatie,0.5333333333333334
resignado,demisionat,0.41481481481481497
inverossimil,necrezut,0.5750000000000002
sistematizar,sistematiza,0.012121212121212088
padecer,suferi,0.5777777777777777
transcender,transcende,0.013333333333333308
referencia,referinta,0.19999999999999996
convalescente,convalescent,0.011111111111111072
fase,faza,0.43333333333333335
sera,va fi,0.6666666666666667
recenseamento,recensamant,0.10909090909090913
parcialmente,partial,0.19047619047619047
limiar,prag,0.6833333333333333
conjuge,sotie,0.56
prescindivel,dispensabil,0.47878787878787876
coexistencia,coexistenta,0.09090909090909083
empreendimento,afacere,0.5523809523809524
dissensao,disensiuni,0.2962962962962963
designacao,desemnare,0.3925925925925926
gloria,glorie,0.15555555555555556
austero,auster,0.022222222222222143
gentil,bland,0.6933333333333334
alto,inalt,0.25
mote,motto,0.25
imprescindivel,esential,0.4083333333333333
dicotomia,dihotomie,0.20740740740740748
para,pentru,0.5
contemplar,contempla,0.014814814814814725
abundantemente,abundent,0.06666666666666654
discrepancia,discrepanta,0.09090909090909083
circuncidado,circumcis,0.22962962962962963
bojo,umflatura,0.9166666666666667
intelectual,intelectual,0.0
animo,ridica moralul,0.4933333333333334
gleba,teren,0.6933333333333334
predisposicao,predispozitie,0.2666666666666665
empatia,empatie,0.13333333333333341
vovo,bunica,0.8666666666666667
negro,negru,0.18666666666666676
antagonismo,antagonism,0.013333333333333308
haver,fi,0.9666666666666667
reconhecimento,recunoastere,0.44444444444444453
cortes,politicos,0.4555555555555555
austeridade,austeritate,0.1696969696969698
porem,in orice caz,0.4800000000000001
eminencia,eminenta,0.125
nao,nu,0.5
apos,dupa,0.6333333333333333
conviccao,condamnare,0.4814814814814815
estabilidade,stabilitate,0.18181818181818177
consentimento,consimtamant,0.2944444444444445
sucesso,succes,0.16666666666666663
taciturno,taciturn,0.016666666666666607
imperceptivel,imperceptibil,0.1333333333333332
merito,merit,0.026666666666666727
ordinario,comun,0.5866666666666667
parcimonia,parcimonie,0.09333333333333327
consistencia,consistenta,0.09090909090909083
promiscuo,promiscuu,0.10370370370370374
indelevel,de nesters,0.5037037037037038
biodiversidade,biodiversitate,0.1333333333333332
idiossincrasia,idiosincrasie,0.08205128205128198
retumbante,rasunator,0.48888888888888904
discricao,discretie,0.28888888888888875
epistemologia,epistemologie,0.07179487179487176
rechacar,respinge,0.6166666666666667
instancia,instanta,0.125
comunhao,comuniune,0.32499999999999984
ascensao,crestere,0.5416666666666667
personalidade,personalitate,0.1435897435897434
inospito,neospitalier,0.2666666666666666
democracia,democratie,0.18666666666666676
extraordinario,extraordinar,0.016666666666666496
notorio,notoriu,0.13333333333333341
uns,niste,0.37777777777777777
estereotipado,stereotipat,0.10303030303030292
notivago,nuivago,0.1428571428571429
