fr,ro,Alignment Score
legal,legale,0.026666666666666727
incredulite,necredinta,0.28666666666666674
concomitant,concomitent,0.08484848484848484
restriction,restrictie,0.09999999999999987
anus,anus,0.0
complexion,complexitate,0.18666666666666665
doux,dulce,0.4666666666666667
arnaque,inselatorie,0.5333333333333333
interrogatoire,chestionare,0.47878787878787876
sens,sens,0.0
transfiguration,transfigurare,0.1435897435897434
digne de confiance,demn de incredere,0.3529411764705882
representation,reprezentare,0.23333333333333317
equitable,corect,0.6111111111111112
voir,pentru a vedea,0.8166666666666667
tot,din timp,0.7111111111111111
hmm,hmm,0.0
litige,litigii,0.16666666666666663
nostalgie,nostalgie,0.0
habile,abil,0.06666666666666676
portee,domeniul de aplicare,0.6
determine,determinat,0.11111111111111116
sensibilite,sensibilitate,0.018181818181817966
longueur,lungime,0.40000000000000013
susciter,trezi,0.56
altruiste,altruist,0.016666666666666607
resignifier,resemnifica,0.31515151515151507
circonscription,circumscriptie,0.19523809523809532
transcendant,transcendent,0.07777777777777772
dire,a zice,0.5
presomption,prezumtie,0.31851851851851853
cuire,coace,0.5066666666666666
famille,familie,0.13333333333333341
derriere,in spate,0.625
improvise,extemporaneu,0.5111111111111111
promotion,promovare,0.37037037037037024
mediocrite,mediocritate,0.019999999999999907
competence,experienta,0.52
depourvu,lipsit,0.7333333333333334
inhabituel,neobisnuit,0.5133333333333334
implicitement,implicit,0.04999999999999982
infrastructure,infrastructura,0.06666666666666665
fondation,fundatie,0.2416666666666667
resigne,demisionat,0.4380952380952382
incroyable,necrezut,0.45000000000000007
systematiser,sistematiza,0.24848484848484842
souffrir,suferi,0.20000000000000007
transcender,transcende,0.013333333333333308
reference,referinta,0.2962962962962963
convalescent,convalescent,0.0
phase,faza,0.6666666666666667
ce sera,va fi,0.7066666666666667
recensement,recensamant,0.1696969696969698
partiellement,partial,0.19999999999999984
seuil,prag,0.85
conjoint,sotie,0.5733333333333334
dispensable,dispensabil,0.08484848484848473
coexistence,coexistenta,0.15757575757575748
entreprise,afacere,0.5142857142857143
dissension,disensiuni,0.18666666666666676
designation,desemnare,0.4
gloire,glorie,0.15555555555555556
austere,auster,0.022222222222222143
doux,bland,0.6500000000000001
haut,inalt,0.4833333333333334
devise,motto,0.8400000000000001
essentiel,esential,0.13333333333333341
dichotomie,dihotomie,0.014814814814814725
pour,pentru,0.4833333333333334
contempler,contempla,0.11111111111111116
abondamment,abundent,0.15000000000000002
divergence,discrepanta,0.44666666666666677
circoncis,circumcis,0.19259259259259265
renflement,umflatura,0.5777777777777778
intellectuel,intelectual,0.09696969696969682
acclamation,ridica moralul,0.5696969696969697
atterrir,teren,0.4
predisposition,predispozitie,0.14871794871794863
empathie,empatie,0.01904761904761898
grand-mere,bunica,0.7444444444444445
noir,negru,0.4666666666666667
antagonisme,antagonism,0.013333333333333308
etre,fi,0.9333333333333333
reconnaissance,recunoastere,0.37222222222222223
courtois,politicos,0.45833333333333337
austerite,austeritate,0.022222222222222254
cependant,in orice caz,0.5925925925925926
eminence,eminenta,0.21666666666666667
non,nu,0.5
apres,dupa,0.6499999999999999
conviction,condamnare,0.5000000000000001
la stabilite,stabilitate,0.16363636363636358
consentement,consimtamant,0.30000000000000016
succes,succes,0.0
taciturne,taciturn,0.016666666666666607
imperceptible,imperceptibil,0.07179487179487176
merite,merit,0.026666666666666727
ordinaire,comun,0.5866666666666667
parcimonie,parcimonie,0.0
coherence,consistenta,0.48888888888888893
promiscuite,promiscuu,0.11851851851851847
indelebile,de nesters,0.52
biodiversite,biodiversitate,0.016666666666666496
particularite,idiosincrasie,0.517948717948718
retentissant,rasunator,0.49629629629629635
discretion,discretie,0.11111111111111116
epistemologie,epistemologie,0.0
rejeter,respinge,0.49523809523809526
exemple,instanta,0.8285714285714286
communion,comuniune,0.20740740740740748
augmenter,crestere,0.45000000000000007
personnalite,personalitate,0.08333333333333337
inhospitalier,neospitalier,0.08888888888888902
democratie,democratie,0.0
extraordinaire,extraordinar,0.022222222222222143
celebre,notoriu,0.7238095238095238
quelques,niste,0.72
stereotype,stereotipat,0.19333333333333336
notivago,nuivago,0.1428571428571429
