pt,it,Alignment Score
juridico,legale,0.8444444444444446
incredulidade,incredulita,0.10303030303030292
concomitante,concomitante,0.0
restricao,restrizione,0.21481481481481468
onus,ano,0.6000000000000001
tez,carnagione,0.7555555555555555
doce,dolce,0.033333333333333326
embuste,truffa,0.711111111111111
questionamento,interrogatorio,0.5380952380952382
senso,senso,0.0
transfiguracao,trasfigurazione,0.195238095238095
fidedigno,affidabile,0.4740740740740741
representacao,rappresentazione,0.2256410256410255
justo,giusto,0.19999999999999996
ver,da vedere,0.20000000000000007
cedo,presto,0.5
hum,hmm,0.3111111111111112
litigio,contenzioso,0.5428571428571429
nostalgia,nostalgia,0.0
habil,abile,0.18666666666666676
ambito,scopo,0.6799999999999999
determinado,determinato,0.08484848484848473
sensibilidade,sensibilita,0.10303030303030292
comprimento,lunghezza,0.7555555555555555
suscitar,suscitare,0.016666666666666607
altruista,altruistico,0.11851851851851847
ressignificar,risignificare,0.1384615384615384
circunscricao,circoscrizione,0.2769230769230768
transcendente,trascendente,0.011111111111111072
dizer,dire,0.25
presuncao,presunzione,0.21481481481481468
cozer,cottura al forno,0.5066666666666666
familia,famiglia,0.01904761904761898
tras,dietro,0.4833333333333333
extemporaneo,estemporaneo,0.07777777777777772
fomento,promozione,0.5238095238095238
mediocridade,mediocrita,0.11333333333333329
proficiencia,competenza,0.5266666666666666
desprovido,privo,0.2799999999999999
inusitado,insolito,0.2333333333333334
implicitamente,implicitamente,0.0
infraestrutura,infrastruttura,0.06666666666666665
alicerce,fondazione,0.5583333333333333
resignado,rassegnato,0.3037037037037038
inverossimil,incredibile,0.4121212121212121
sistematizar,sistematizzare,0.022222222222222143
padecer,soffrire,0.7238095238095238
transcender,trascendere,0.08484848484848473
referencia,riferimento,0.36
convalescente,convalescente,0.0
fase,fase,0.0
sera,sara,0.2333333333333334
recenseamento,censimento,0.12
parcialmente,parzialmente,0.07777777777777772
limiar,soglia,0.43333333333333335
conjuge,sposa,0.72
prescindivel,superfluo,0.5851851851851853
coexistencia,coesistenza,0.17575757575757578
empreendimento,impresa,0.4476190476190477
dissensao,dissenso,0.016666666666666607
designacao,designazione,0.19333333333333325
gloria,gloria,0.0
austero,austero,0.0
gentil,gentile,0.022222222222222143
alto,alto,0.0
mote,motto,0.25
imprescindivel,essenziale,0.48
dicotomia,dicotomia,0.0
para,per,0.3555555555555556
contemplar,contemplare,0.013333333333333308
abundantemente,abbondantemente,0.0714285714285714
discrepancia,discrepanza,0.09090909090909083
circuncidado,circonciso,0.19999999999999996
bojo,rigonfiamento,0.6166666666666667
intelectual,intellettuale,0.10909090909090913
animo,allegria,0.5733333333333334
gleba,terra,0.5333333333333333
predisposicao,predisposizione,0.14871794871794863
empatia,empatia,0.0
vovo,nonna,0.6666666666666667
negro,nero,0.033333333333333326
antagonismo,antagonismo,0.0
haver,essere,0.5333333333333333
reconhecimento,riconoscimento,0.19047619047619047
cortes,cortese,0.022222222222222143
austeridade,austerita,0.12592592592592589
porem,tuttavia,0.8666666666666667
eminencia,eminenza,0.125
nao,no,0.06666666666666676
apos,dopo,0.45000000000000007
conviccao,convinzione,0.3037037037037036
estabilidade,stabilita,0.14074074074074072
consentimento,consenso,0.15833333333333321
sucesso,successo,0.01904761904761898
taciturno,taciturno,0.0
imperceptivel,impercettibile,0.21025641025641018
merito,merito,0.0
ordinario,ordinario,0.0
parcimonia,parsimonia,0.09333333333333338
consistencia,consistenza,0.09090909090909083
promiscuo,promiscuo,0.0
indelevel,indelebile,0.20740740740740748
biodiversidade,biodiversita,0.09444444444444422
idiossincrasia,idiosincrasia,0.01025641025641022
retumbante,clamoroso,0.7407407407407407
discricao,riservatezza,0.5185185185185186
epistemologia,epistemologia,0.0
rechacar,rifiutare,0.5333333333333334
instancia,esempio,0.6476190476190476
comunhao,comunione,0.2333333333333334
ascensao,salita,0.5888888888888888
personalidade,personalita,0.10303030303030292
inospito,inospitale,0.1333333333333333
democracia,democrazia,0.09333333333333338
extraordinario,straordinario,0.07692307692307687
notorio,famigerato,0.6285714285714286
uns,alcuni,0.3999999999999999
estereotipado,stereotipato,0.0888888888888888
notivago,notivago,0.0
