en,it,Alignment Score
legal,legale,0.026666666666666727
unbelief,incredulita,0.4833333333333334
concomitant,concomitante,0.012121212121212088
restriction,restrizione,0.16363636363636358
anus,ano,0.33333333333333337
complexion,carnagione,0.5
sweet,dolce,0.6799999999999999
scam,truffa,0.6833333333333333
questioning,interrogatorio,0.5636363636363637
sense,senso,0.18666666666666676
transfiguration,trasfigurazione,0.12444444444444436
trustworthy,affidabile,0.8200000000000001
representation,rappresentazione,0.14761904761904754
fair,giusto,0.7
to see,da vedere,0.48888888888888893
early,presto,0.6933333333333334
hmm,hmm,0.0
litigation,contenzioso,0.6
nostalgia,nostalgia,0.0
skillful,abile,0.5733333333333333
scope,scopo,0.18666666666666676
determined,determinato,0.17999999999999994
sensitivity,sensibilita,0.25454545454545463
length,lunghezza,0.34444444444444455
arouse,suscitare,0.4555555555555555
altruistic,altruistico,0.013333333333333308
resignify,risignificare,0.23703703703703694
circumscription,circoscrizione,0.19999999999999996
transcendent,trascendente,0.07777777777777772
to say,dire,0.8666666666666667
presumption,presunzione,0.23636363636363633
bake,cottura al forno,0.8666666666666667
family,famiglia,0.18888888888888888
behind,dietro,0.6888888888888889
extemporaneous,estemporaneo,0.09444444444444444
promotion,promozione,0.11851851851851858
mediocrity,mediocrita,0.09333333333333327
proficiency,competenza,0.6
devoid,privo,0.5333333333333333
unusual,insolito,0.5238095238095238
implicitly,implicitamente,0.19999999999999984
infrastructure,infrastruttura,0.1333333333333332
foundation,fondazione,0.18666666666666676
resigned,rassegnato,0.45000000000000007
unbelievable,incredibile,0.4181818181818182
systematize,sistematizzare,0.10909090909090902
suffer,soffrire,0.3333333333333335
transcend,trascendere,0.11851851851851847
reference,riferimento,0.31851851851851853
convalescent,convalescente,0.011111111111111072
phase,fase,0.25
it will be,sara,0.9333333333333333
census,censimento,0.3333333333333335
partially,parzialmente,0.3185185185185184
threshold,soglia,0.48888888888888893
spouse,sposa,0.21333333333333337
dispensable,superfluo,0.5037037037037038
coexistence,coesistenza,0.24242424242424243
enterprise,impresa,0.5238095238095238
dissension,dissenso,0.033333333333333326
designation,designazione,0.09696969696969693
glory,gloria,0.19999999999999996
austere,austero,0.13333333333333341
gentle,gentile,0.022222222222222143
high,alto,0.8333333333333334
motto,motto,0.0
essential,essenziale,0.11851851851851858
dichotomy,dicotomia,0.19999999999999996
for,per,0.5777777777777777
contemplate,contemplare,0.08484848484848473
abundantly,abbondantemente,0.29999999999999993
discrepancy,discrepanza,0.15757575757575748
circumcised,circonciso,0.27333333333333343
bulge,rigonfiamento,0.64
intellectual,intellettuale,0.08888888888888902
cheer,allegria,0.5733333333333334
land,terra,0.6666666666666667
predisposition,predisposizione,0.07619047619047614
empathy,empatia,0.24761904761904763
grandma,nonna,0.5466666666666666
black,nero,0.85
antagonism,antagonismo,0.013333333333333308
be,essere,0.6000000000000001
recognition,riconoscimento,0.35151515151515156
courteous,cortese,0.16190476190476188
austerity,austerita,0.10370370370370374
however,tuttavia,0.7333333333333334
eminence,eminenza,0.21666666666666667
no,no,0.0
after,dopo,0.85
conviction,convinzione,0.18666666666666676
stability,stabilita,0.10370370370370374
consent,consenso,0.1428571428571429
success,successo,0.01904761904761898
taciturn,taciturno,0.016666666666666607
imperceptible,impercettibile,0.08205128205128209
merit,merito,0.026666666666666727
ordinary,ordinario,0.125
parsimony,parsimonia,0.11111111111111116
consistency,consistenza,0.15757575757575748
promiscuous,promiscuo,0.022222222222222143
indelible,indelebile,0.11111111111111116
biodiversity,biodiversita,0.07777777777777772
idiosyncrasy,idiosincrasia,0.16111111111111098
resounding,clamoroso,0.5703703703703704
discretion,riservatezza,0.5333333333333334
epistemology,epistemologia,0.08333333333333337
reject,rifiutare,0.5888888888888888
instance,esempio,0.6190476190476191
communion,comunione,0.10370370370370374
rise,salita,0.6833333333333333
personality,personalita,0.08484848484848473
inhospitable,inospitale,0.026666666666666727
democracy,democrazia,0.19999999999999996
extraordinary,straordinario,0.20512820512820507
notorious,famigerato,0.6518518518518519
some,alcuni,0.8666666666666667
stereotyped,stereotipato,0.24848484848484842
notivago,notivago,0.0
