pt,gl,Alignment Score
juridico,legal,0.8666666666666667
incredulidade,incredulidade,0.0
concomitante,concomitante,0.0
restricao,restricion,0.11851851851851858
onus,ano,0.6000000000000001
tez,tez,0.0
doce,doce,0.0
embuste,estafa,0.4444444444444444
questionamento,cuestionando,0.17222222222222205
senso,sentido,0.21333333333333337
transfiguracao,transfiguracion,0.07619047619047614
fidedigno,de confianza,0.5185185185185186
representacao,representacion,0.08205128205128198
justo,xusto,0.18666666666666676
ver,ver,0.0
cedo,cedo,0.0
hum,hmm,0.3111111111111112
litigio,litixio,0.13333333333333341
nostalgia,nostalxia,0.10370370370370374
habil,habil,0.0
ambito,ambito,0.0
determinado,determinado,0.0
sensibilidade,sensibilidade,0.0
comprimento,lonxitude,0.5925925925925926
suscitar,espertar,0.42499999999999993
altruista,altruista,0.0
ressignificar,resignificar,0.011111111111111072
circunscricao,circunscricion,0.08205128205128198
transcendente,transcendente,0.0
dizer,dicir,0.34666666666666657
presuncao,presuncion,0.11851851851851858
cozer,cocer,0.18666666666666676
familia,familia,0.0
tras,detras,0.04999999999999993
extemporaneo,extemporaneo,0.0
fomento,promocion,0.5142857142857143
mediocridade,mediocridade,0.0
proficiencia,competencia,0.38787878787878793
desprovido,carente,0.7428571428571429
inusitado,rara,0.7333333333333334
implicitamente,implicitamente,0.0
infraestrutura,infraestrutura,0.0
alicerce,fundacion,0.6416666666666666
resignado,dimitido,0.5333333333333334
inverossimil,incrible,0.3750000000000001
sistematizar,sistematizar,0.0
padecer,sufrir,0.7
transcender,transcender,0.0
referencia,referencia,0.0
convalescente,convalecente,0.011111111111111072
fase,fase,0.0
sera,sera,0.0
recenseamento,censo,0.1333333333333333
parcialmente,parcialmente,0.0
limiar,limite,0.288888888888889
conjuge,conxuxe,0.2666666666666667
prescindivel,prescindible,0.1499999999999999
coexistencia,convivencia,0.24848484848484853
empreendimento,empresa,0.31428571428571406
dissensao,disension,0.20740740740740748
designacao,designacion,0.10666666666666669
gloria,gloria,0.0
austero,austero,0.0
gentil,manso,0.7066666666666668
alto,alto,0.0
mote,lema,0.6499999999999999
imprescindivel,esencial,0.3833333333333334
dicotomia,dicotomia,0.0
para,para,0.0
contemplar,contemplar,0.0
abundantemente,abundantemente,0.0
discrepancia,discrepancia,0.0
circuncidado,circuncidado,0.0
bojo,bulto,0.45000000000000007
intelectual,intelectual,0.0
animo,animo,0.0
gleba,terra,0.5333333333333333
predisposicao,predisposicion,0.08205128205128198
empatia,empatia,0.0
vovo,avoa,0.45000000000000007
negro,negro,0.0
antagonismo,antagonismo,0.0
haver,ser,0.3555555555555556
reconhecimento,reconecemento,0.08205128205128209
cortes,cortes,0.0
austeridade,austeridade,0.0
porem,con todo,0.72
eminencia,eminencia,0.0
nao,non,0.3111111111111112
apos,despois,0.29999999999999993
conviccao,conviccion,0.11851851851851858
estabilidade,estabilidade,0.0
consentimento,consentimento,0.0
sucesso,exito,0.5466666666666666
taciturno,taciturno,0.0
imperceptivel,imperceptible,0.1384615384615382
merito,merito,0.0
ordinario,ordinario,0.0
parcimonia,parsimonia,0.09333333333333338
consistencia,consistencia,0.0
promiscuo,promiscuo,0.0
indelevel,indeleble,0.19999999999999996
biodiversidade,biodiversidade,0.0
idiossincrasia,idiosincrasia,0.01025641025641022
retumbante,rotundo,0.4190476190476191
discricao,discrecion,0.20740740740740748
epistemologia,epistemoloxia,0.07179487179487176
rechacar,rexeitar,0.41666666666666663
instancia,instancia,0.0
comunhao,comunon,0.1428571428571429
ascensao,subir,0.72
personalidade,personalidade,0.0
inospito,inhospito,0.016666666666666607
democracia,democracia,0.0
extraordinario,extraordinario,0.0
notorio,notorio,0.0
uns,algunhas,0.15555555555555556
estereotipado,estereotipado,0.0
notivago,nonivago,0.1166666666666667
