pt,en,Alignment Score
juridico,legal,0.8666666666666667
incredulidade,unbelief,0.4
concomitante,concomitant,0.012121212121212088
restricao,restriction,0.12592592592592589
onus,anus,0.2333333333333334
tez,complexion,0.7777777777777778
doce,sweet,0.6666666666666667
embuste,scam,0.7
questionamento,questioning,0.18787878787878776
senso,sense,0.18666666666666676
transfiguracao,transfiguration,0.1333333333333332
fidedigno,trustworthy,0.7481481481481482
representacao,representation,0.1435897435897434
justo,fair,0.85
ver,to see,0.6666666666666667
cedo,early,0.6666666666666667
hum,hmm,0.3111111111111112
litigio,litigation,0.04761904761904767
nostalgia,nostalgia,0.0
habil,skillful,0.56
ambito,scope,0.6933333333333334
determinado,determined,0.10666666666666669
sensibilidade,sensitivity,0.33939393939393936
comprimento,length,0.5111111111111111
suscitar,arouse,0.5777777777777777
altruista,altruistic,0.11111111111111116
ressignificar,resignify,0.1407407407407406
circunscricao,circumscription,0.2205128205128204
transcendente,transcendent,0.011111111111111072
dizer,to say,0.8400000000000001
presuncao,presumption,0.29629629629629617
cozer,bake,0.6666666666666667
familia,family,0.16666666666666663
tras,behind,0.8666666666666667
extemporaneo,extemporaneous,0.016666666666666496
fomento,promotion,0.4190476190476191
mediocridade,mediocrity,0.18666666666666665
proficiencia,proficiency,0.09090909090909083
desprovido,devoid,0.21111111111111114
inusitado,unusual,0.4190476190476191
implicitamente,implicitly,0.19999999999999984
infraestrutura,infrastructure,0.1333333333333332
alicerce,foundation,0.6583333333333334
resignado,resigned,0.13333333333333341
inverossimil,unbelievable,0.5777777777777777
sistematizar,systematize,0.17575757575757567
padecer,suffer,0.5666666666666667
transcender,transcend,0.022222222222222143
referencia,reference,0.11111111111111116
convalescente,convalescent,0.011111111111111072
fase,phase,0.25
sera,it will be,0.75
recenseamento,census,0.37777777777777777
parcialmente,partially,0.3185185185185184
limiar,threshold,0.7333333333333334
conjuge,spouse,0.4666666666666667
prescindivel,dispensable,0.5454545454545455
coexistencia,coexistence,0.09090909090909083
empreendimento,enterprise,0.4666666666666668
dissensao,dissension,0.11851851851851858
designacao,designation,0.18666666666666676
gloria,glory,0.19999999999999996
austero,austere,0.13333333333333341
gentil,gentle,0.15555555555555556
alto,high,0.8333333333333334
mote,motto,0.25
imprescindivel,essential,0.4444444444444444
dicotomia,dichotomy,0.19999999999999996
para,for,0.6222222222222222
contemplar,contemplate,0.09999999999999987
abundantemente,abundantly,0.19999999999999984
discrepancia,discrepancy,0.09090909090909083
circuncidado,circumcised,0.24848484848484842
bojo,bulge,0.6499999999999999
intelectual,intellectual,0.012121212121212088
animo,cheer,0.8266666666666667
gleba,land,0.4666666666666667
predisposicao,predisposition,0.1435897435897434
empatia,empathy,0.24761904761904763
vovo,grandma,0.8833333333333334
negro,black,0.8266666666666667
antagonismo,antagonism,0.013333333333333308
haver,be,0.6000000000000001
reconhecimento,recognition,0.2666666666666666
cortes,courteous,0.05555555555555558
austeridade,austerity,0.20740740740740737
porem,however,0.56
eminencia,eminence,0.125
nao,no,0.06666666666666676
apos,after,0.6499999999999999
conviccao,conviction,0.20740740740740748
estabilidade,stability,0.2222222222222222
consentimento,consent,0.06666666666666665
sucesso,success,0.13333333333333341
taciturno,taciturn,0.016666666666666607
imperceptivel,imperceptible,0.1384615384615382
merito,merit,0.026666666666666727
ordinario,ordinary,0.125
parcimonia,parsimony,0.2148148148148148
consistencia,consistency,0.09090909090909083
promiscuo,promiscuous,0.022222222222222143
indelevel,indelible,0.28148148148148144
biodiversidade,biodiversity,0.15555555555555545
idiossincrasia,idiosyncrasy,0.16666666666666652
retumbante,resounding,0.5133333333333334
discricao,discretion,0.20740740740740748
epistemologia,epistemology,0.08333333333333337
rechacar,reject,0.4555555555555556
instancia,instance,0.125
comunhao,communion,0.2416666666666667
ascensao,rise,0.5333333333333334
personalidade,personality,0.16969696969696957
inospito,inhospitable,0.15833333333333321
democracia,democracy,0.11111111111111116
extraordinario,extraordinary,0.07692307692307687
notorio,notorious,0.028571428571428692
uns,some,0.6000000000000001
estereotipado,stereotyped,0.19393939393939397
notivago,notivago,0.0
