pt,es,Alignment Score
juridico,legal,0.8666666666666667
incredulidade,incredulidad,0.011111111111111072
concomitante,concomitante,0.0
restricao,restriccion,0.12592592592592589
onus,ano,0.6000000000000001
tez,tez,0.0
doce,dulce,0.25
embuste,estafa,0.4444444444444444
questionamento,interrogatorio,0.5380952380952382
senso,sentido,0.21333333333333337
transfiguracao,transfiguracion,0.07619047619047614
fidedigno,confiable,0.562962962962963
representacao,representacion,0.08205128205128198
justo,justo,0.0
ver,para ver,0.1333333333333333
cedo,temprano,0.5333333333333334
hum,mmm,0.5777777777777777
litigio,litigio,0.0
nostalgia,nostalgia,0.0
habil,habil,0.0
ambito,alcance,0.7
determinado,determinado,0.0
sensibilidade,sensibilidad,0.011111111111111072
comprimento,longitud,0.575
suscitar,despertar,0.43333333333333335
altruista,altruista,0.0
ressignificar,resignificar,0.011111111111111072
circunscricao,circunscripcion,0.0923076923076922
transcendente,trascendente,0.011111111111111072
dizer,decir,0.34666666666666657
presuncao,presuncion,0.11851851851851858
cozer,hornear,0.41333333333333333
familia,familia,0.0
tras,detras,0.04999999999999993
extemporaneo,extemporaneo,0.0
fomento,promocion,0.5142857142857143
mediocridade,mediocridad,0.012121212121212088
proficiencia,competencia,0.38787878787878793
desprovido,vacio,0.42666666666666664
inusitado,inusual,0.2857142857142857
implicitamente,implicitamente,0.0
infraestrutura,infraestructura,0.00952380952380949
alicerce,base,0.5166666666666666
resignado,renunciar,0.4740740740740742
inverossimil,increible,0.41481481481481497
sistematizar,sistematizar,0.0
padecer,sufrir,0.7
transcender,trascender,0.013333333333333308
referencia,referencia,0.0
convalescente,convaleciente,0.07179487179487176
fase,fase,0.0
sera,sera,0.0
recenseamento,censo,0.1333333333333333
parcialmente,parcialmente,0.0
limiar,limite,0.288888888888889
conjuge,conyuge,0.13333333333333341
prescindivel,dispensable,0.5454545454545455
coexistencia,coexistencia,0.0
empreendimento,empresa,0.31428571428571406
dissensao,disension,0.20740740740740748
designacao,designacion,0.10666666666666669
gloria,gloria,0.0
austero,austero,0.0
gentil,amable,0.7
alto,alto,0.0
mote,lema,0.6499999999999999
imprescindivel,basico,0.6666666666666667
dicotomia,dicotomia,0.0
para,para,0.0
contemplar,contemplar,0.0
abundantemente,abundantemente,0.0
discrepancia,discrepancia,0.0
circuncidado,circunciso,0.10666666666666669
bojo,bulto,0.45000000000000007
intelectual,intelectual,0.0
animo,alegria,0.56
gleba,tierra,0.5466666666666666
predisposicao,predisposicion,0.08205128205128198
empatia,empatia,0.0
vovo,abuela,0.8666666666666667
negro,negro,0.0
antagonismo,antagonismo,0.0
haver,haber,0.18666666666666676
reconhecimento,reconocimiento,0.12857142857142856
cortes,cortes,0.0
austeridade,austeridad,0.013333333333333308
porem,sin embargo,0.6
eminencia,eminencia,0.0
nao,no,0.06666666666666676
apos,despues,0.5166666666666666
conviccao,conviccion,0.11851851851851858
estabilidade,estabilidad,0.012121212121212088
consentimento,consentir,0.1333333333333333
sucesso,exito,0.5466666666666666
taciturno,taciturno,0.0
imperceptivel,imperceptible,0.1384615384615382
merito,merito,0.0
ordinario,comun,0.5866666666666667
parcimonia,parsimonia,0.09333333333333338
consistencia,consistencia,0.0
promiscuo,promiscuo,0.0
indelevel,indeleble,0.19999999999999996
biodiversidade,biodiversidad,0.01025641025641022
idiossincrasia,idiosincrasia,0.01025641025641022
retumbante,rotundo,0.4190476190476191
discricao,discrecion,0.20740740740740748
epistemologia,epistemologia,0.0
rechacar,rechazar,0.1166666666666667
instancia,instancia,0.0
comunhao,comunion,0.22499999999999998
ascensao,elevar,0.6111111111111112
personalidade,personalidad,0.011111111111111072
inospito,inhospito,0.016666666666666607
democracia,democracia,0.0
extraordinario,extraordinario,0.0
notorio,notorio,0.0
uns,alguno,0.3999999999999999
estereotipado,esteriotipado,0.07179487179487176
notivago,notivago,0.0
