es,ro,Alignment Score
legal,legale,0.026666666666666727
incredulidad,necredinta,0.29333333333333333
concomitante,concomitent,0.09696969696969693
restriccion,restrictie,0.19333333333333336
ano,anus,0.33333333333333337
tez,complexitate,0.5111111111111111
dulce,dulce,0.0
estafa,inselatorie,0.6333333333333333
interrogatorio,chestionare,0.5636363636363636
sentido,sens,0.28333333333333355
transfiguracion,transfigurare,0.1435897435897434
confiable,demn de incredere,0.6370370370370371
representacion,reprezentare,0.23333333333333317
justo,corect,0.6933333333333334
para ver,pentru a vedea,0.29166666666666663
temprano,din timp,0.5333333333333334
mmm,hmm,0.3111111111111112
litigio,litigii,0.13333333333333341
nostalgia,nostalgie,0.10370370370370374
habil,abil,0.033333333333333326
alcance,domeniul de aplicare,0.4
determinado,determinat,0.09999999999999987
sensibilidad,sensibilitate,0.16111111111111098
longitud,lungime,0.39047619047619064
despertar,trezi,0.5733333333333334
altruista,altruist,0.016666666666666607
resignificar,resemnifica,0.1696969696969698
circunscripcion,circumscriptie,0.2047619047619046
trascendente,transcendent,0.07777777777777772
decir,a zice,0.6933333333333334
presuncion,prezumtie,0.40740740740740755
hornear,coace,0.5733333333333334
familia,familie,0.13333333333333341
detras,in spate,0.7222222222222222
extemporaneo,extemporaneu,0.07777777777777772
promocion,promovare,0.37037037037037024
mediocridad,mediocritate,0.17575757575757567
competencia,experienta,0.44666666666666677
vacio,lipsit,0.7066666666666668
inusual,neobisnuit,0.523809523809524
implicitamente,implicit,0.05833333333333324
infraestructura,infrastructura,0.00952380952380949
base,fundatie,0.5333333333333334
renunciar,demisionat,0.5851851851851853
increible,necrezut,0.44166666666666676
sistematizar,sistematiza,0.012121212121212088
sufrir,suferi,0.15555555555555556
trascender,transcende,0.09333333333333327
referencia,referinta,0.19999999999999996
convaleciente,convalescent,0.08888888888888902
fase,faza,0.43333333333333335
sera,va fi,0.6666666666666667
censo,recensamant,0.28
parcialmente,partial,0.19047619047619047
limite,prag,0.8666666666666667
conyuge,sotie,0.56
dispensable,dispensabil,0.08484848484848473
coexistencia,coexistenta,0.09090909090909083
empresa,afacere,0.48571428571428577
disension,disensiuni,0.11851851851851858
designacion,desemnare,0.4
gloria,glorie,0.15555555555555556
austero,auster,0.022222222222222143
amable,bland,0.5333333333333333
alto,inalt,0.25
lema,motto,0.6666666666666667
basico,esential,0.6111111111111112
dicotomia,dihotomie,0.20740740740740748
para,pentru,0.5
contemplar,contempla,0.014814814814814725
abundantemente,abundent,0.06666666666666654
discrepancia,discrepanta,0.09090909090909083
circunciso,circumcis,0.11851851851851858
bulto,umflatura,0.44000000000000006
intelectual,intelectual,0.0
alegria,ridica moralul,0.5523809523809524
tierra,teren,0.3733333333333334
predisposicion,predispozitie,0.2205128205128204
empatia,empatie,0.13333333333333341
abuela,bunica,0.43333333333333335
negro,negru,0.18666666666666676
antagonismo,antagonism,0.013333333333333308
haber,fi,0.9666666666666667
reconocimiento,recunoastere,0.4388888888888888
cortes,politicos,0.4555555555555555
austeridad,austeritate,0.19333333333333336
sin embargo,in orice caz,0.4787878787878789
eminencia,eminenta,0.125
no,nu,0.4666666666666667
despues,dupa,0.5
conviccion,condamnare,0.5000000000000001
estabilidad,stabilitate,0.24848484848484853
consentir,consimtamant,0.311111111111111
exito,succes,0.6933333333333334
taciturno,taciturn,0.016666666666666607
imperceptible,imperceptibil,0.07179487179487176
merito,merit,0.026666666666666727
comun,comun,0.0
parsimonia,parcimonie,0.18666666666666676
consistencia,consistenta,0.09090909090909083
promiscuo,promiscuu,0.10370370370370374
indeleble,de nesters,0.49629629629629635
biodiversidad,biodiversitate,0.14871794871794863
idiosincrasia,idiosincrasie,0.07179487179487176
rotundo,rasunator,0.4095238095238096
discrecion,discretie,0.2148148148148148
epistemologia,epistemologie,0.07179487179487176
rechazar,respinge,0.6166666666666667
instancia,instanta,0.125
comunion,comuniune,0.13333333333333341
elevar,crestere,0.47777777777777775
personalidad,personalitate,0.16111111111111098
inhospito,neospitalier,0.32592592592592584
democracia,democratie,0.18666666666666676
extraordinario,extraordinar,0.016666666666666496
notorio,notoriu,0.13333333333333341
alguno,niste,0.6933333333333334
esteriotipado,stereotipat,0.18787878787878798
notivago,nuivago,0.1428571428571429
