pt,fr,Alignment Score
juridico,legal,0.8666666666666667
incredulidade,incredulite,0.09696969696969682
concomitante,concomitant,0.012121212121212088
restricao,restriction,0.12592592592592589
onus,anus,0.2333333333333334
tez,complexion,0.7777777777777778
doce,doux,0.43333333333333335
embuste,arnaque,0.6
questionamento,interrogatoire,0.5380952380952382
senso,sens,0.033333333333333326
transfiguracao,transfiguration,0.1333333333333332
fidedigno,digne de confiance,0.44444444444444453
representacao,representation,0.1435897435897434
justo,equitable,0.6133333333333333
ver,voir,0.33333333333333337
cedo,tot,0.6222222222222222
hum,hmm,0.3111111111111112
litigio,litige,0.16666666666666663
nostalgia,nostalgie,0.10370370370370374
habil,habile,0.026666666666666727
ambito,portee,0.7
determinado,determine,0.11851851851851847
sensibilidade,sensibilite,0.09696969696969682
comprimento,longueur,0.6666666666666667
suscitar,susciter,0.1166666666666667
altruista,altruiste,0.10370370370370374
ressignificar,resignifier,0.10303030303030292
circunscricao,circonscription,0.2205128205128204
transcendente,transcendant,0.0888888888888888
dizer,dire,0.25
presuncao,presomption,0.3851851851851852
cozer,cuire,0.52
familia,famille,0.24761904761904763
tras,derriere,0.7333333333333334
extemporaneo,improvise,0.5037037037037038
fomento,promotion,0.4190476190476191
mediocridade,mediocrite,0.10666666666666669
proficiencia,competence,0.5266666666666666
desprovido,depourvu,0.3583333333333335
inusitado,inhabituel,0.4814814814814815
implicitamente,implicitement,0.08205128205128209
infraestrutura,infrastructure,0.1333333333333332
alicerce,fondation,0.6499999999999999
resignado,resigne,0.1523809523809524
inverossimil,incroyable,0.44666666666666677
sistematizar,systematiser,0.2222222222222222
padecer,souffrir,0.7142857142857144
transcender,transcender,0.0
referencia,reference,0.11111111111111116
convalescente,convalescent,0.011111111111111072
fase,phase,0.25
sera,ce sera,0.06666666666666676
recenseamento,recensement,0.024242424242424176
parcialmente,partiellement,0.23888888888888893
limiar,seuil,0.6799999999999999
conjuge,conjoint,0.37142857142857144
prescindivel,dispensable,0.5454545454545455
coexistencia,coexistence,0.09090909090909083
empreendimento,entreprise,0.4666666666666668
dissensao,dissension,0.11851851851851858
designacao,designation,0.18666666666666676
gloria,gloire,0.30000000000000016
austero,austere,0.13333333333333341
gentil,doux,0.8666666666666667
alto,haut,0.4666666666666667
mote,devise,0.6666666666666667
imprescindivel,essentiel,0.3481481481481481
dicotomia,dichotomie,0.11851851851851858
para,pour,0.45000000000000007
contemplar,contempler,0.09333333333333338
abundantemente,abondamment,0.19393939393939386
discrepancia,divergence,0.3733333333333334
circuncidado,circoncis,0.22962962962962963
bojo,renflement,0.9333333333333333
intelectual,intellectuel,0.09696969696969682
animo,acclamation,0.45333333333333337
gleba,atterrir,0.7066666666666668
predisposicao,predisposition,0.1435897435897434
empatia,empathie,0.1523809523809525
vovo,grand-mere,0.9333333333333333
negro,noir,0.45000000000000007
antagonismo,antagonisme,0.08484848484848473
haver,etre,0.4666666666666667
reconhecimento,reconnaissance,0.4190476190476189
cortes,courtois,0.188888888888889
austeridade,austerite,0.11851851851851847
porem,cependant,0.5866666666666667
eminencia,eminence,0.125
nao,non,0.3111111111111112
apos,apres,0.25
conviccao,conviction,0.20740740740740748
estabilidade,la stabilite,0.28888888888888886
consentimento,consentement,0.08888888888888902
sucesso,succes,0.16666666666666663
taciturno,taciturne,0.10370370370370374
imperceptivel,imperceptible,0.1384615384615382
merito,merite,0.15555555555555556
ordinario,ordinaire,0.19999999999999996
parcimonia,parcimonie,0.09333333333333327
consistencia,coherence,0.40740740740740744
promiscuo,promiscuite,0.11851851851851847
indelevel,indelebile,0.20740740740740748
biodiversidade,biodiversite,0.0888888888888888
idiossincrasia,particularite,0.5897435897435898
retumbante,retentissant,0.3533333333333334
discricao,discretion,0.20740740740740748
epistemologia,epistemologie,0.07179487179487176
rechacar,rejeter,0.48571428571428565
instancia,exemple,0.8380952380952381
comunhao,communion,0.2416666666666667
ascensao,augmenter,0.5416666666666667
personalidade,personnalite,0.15555555555555545
inospito,inhospitalier,0.16666666666666663
democracia,democratie,0.18666666666666676
extraordinario,extraordinaire,0.12857142857142834
notorio,celebre,0.7238095238095238
uns,quelques,0.4444444444444444
estereotipado,stereotype,0.21333333333333326
notivago,notivago,0.0
