es,it,Alignment Score
legal,legale,0.026666666666666727
incredulidad,incredulita,0.09696969696969682
concomitante,concomitante,0.0
restriccion,restrizione,0.16363636363636358
ano,ano,0.0
tez,carnagione,0.7555555555555555
dulce,dolce,0.18666666666666676
estafa,truffa,0.43333333333333335
interrogatorio,interrogatorio,0.0
sentido,senso,0.21333333333333337
transfiguracion,trasfigurazione,0.12444444444444436
confiable,affidabile,0.3037037037037038
representacion,rappresentazione,0.14761904761904754
justo,giusto,0.19999999999999996
para ver,da vedere,0.3416666666666667
temprano,presto,0.4555555555555555
mmm,hmm,0.3111111111111112
litigio,contenzioso,0.5428571428571429
nostalgia,nostalgia,0.0
habil,abile,0.18666666666666676
alcance,scopo,0.72
determinado,determinato,0.08484848484848473
sensibilidad,sensibilita,0.09696969696969682
longitud,lunghezza,0.5416666666666667
despertar,suscitare,0.4740740740740741
altruista,altruistico,0.11851851851851847
resignificar,risignificare,0.08888888888888902
circunscripcion,circoscrizione,0.19999999999999996
trascendente,trascendente,0.0
decir,dire,0.25
presuncion,presunzione,0.10666666666666669
hornear,cottura al forno,0.48571428571428577
familia,famiglia,0.01904761904761898
detras,dietro,0.30000000000000016
extemporaneo,estemporaneo,0.07777777777777772
promocion,promozione,0.11851851851851858
mediocridad,mediocrita,0.10666666666666669
competencia,competenza,0.09999999999999998
vacio,privo,0.5066666666666666
inusual,insolito,0.39047619047619064
implicitamente,implicitamente,0.0
infraestructura,infrastruttura,0.07619047619047614
base,fondazione,0.5666666666666667
renunciar,rassegnato,0.48888888888888893
increible,incredibile,0.029629629629629672
sistematizar,sistematizzare,0.022222222222222143
sufrir,soffrire,0.18888888888888888
trascender,trascendere,0.013333333333333308
referencia,riferimento,0.36
convaleciente,convalescente,0.07179487179487176
fase,fase,0.0
sera,sara,0.2333333333333334
censo,censimento,0.08000000000000007
parcialmente,parzialmente,0.07777777777777772
limite,soglia,0.5666666666666667
conyuge,sposa,0.72
dispensable,superfluo,0.5037037037037038
coexistencia,coesistenza,0.17575757575757578
empresa,impresa,0.13333333333333341
disension,dissenso,0.13333333333333341
designacion,designazione,0.09696969696969693
gloria,gloria,0.0
austero,austero,0.0
amable,gentile,0.5666666666666667
alto,alto,0.0
lema,motto,0.6666666666666667
basico,essenziale,0.6333333333333333
dicotomia,dicotomia,0.0
para,per,0.3555555555555556
contemplar,contemplare,0.013333333333333308
abundantemente,abbondantemente,0.0714285714285714
discrepancia,discrepanza,0.09090909090909083
circunciso,circonciso,0.09333333333333338
bulto,rigonfiamento,0.6133333333333333
intelectual,intellettuale,0.10909090909090913
alegria,allegria,0.01904761904761898
tierra,terra,0.026666666666666727
predisposicion,predisposizione,0.07619047619047614
empatia,empatia,0.0
abuela,nonna,0.6799999999999999
negro,nero,0.033333333333333326
antagonismo,antagonismo,0.0
haber,essere,0.5333333333333333
reconocimiento,riconoscimento,0.13333333333333341
cortes,cortese,0.022222222222222143
austeridad,austerita,0.11851851851851858
sin embargo,tuttavia,0.6583333333333334
eminencia,eminenza,0.125
no,no,0.0
despues,dopo,0.5166666666666666
conviccion,convinzione,0.18666666666666676
estabilidad,stabilita,0.13333333333333341
consentir,consenso,0.22499999999999998
exito,successo,0.56
taciturno,taciturno,0.0
imperceptible,impercettibile,0.08205128205128209
merito,merito,0.0
comun,ordinario,0.5866666666666667
parsimonia,parsimonia,0.0
consistencia,consistenza,0.09090909090909083
promiscuo,promiscuo,0.0
indeleble,indelebile,0.014814814814814725
biodiversidad,biodiversita,0.0888888888888888
idiosincrasia,idiosincrasia,0.0
rotundo,clamoroso,0.5047619047619047
discrecion,riservatezza,0.54
epistemologia,epistemologia,0.0
rechazar,rifiutare,0.5333333333333334
instancia,esempio,0.6476190476190476
comunion,comunione,0.016666666666666607
elevar,salita,0.5888888888888889
personalidad,personalita,0.09696969696969682
inhospito,inospitale,0.20740740740740748
democracia,democrazia,0.09333333333333338
extraordinario,straordinario,0.07692307692307687
notorio,famigerato,0.6285714285714286
alguno,alcuni,0.3111111111111112
esteriotipado,stereotipato,0.16666666666666663
notivago,notivago,0.0
