fr,gl,Alignment Score
pleinement,plenamente,0.18666666666666676
faction,faccion,0.13333333333333341
applicabilite,aplicabilidade,0.1435897435897434
maison,casa,0.5166666666666666
oui,si,0.5
histoire,historia,0.22499999999999998
son,son,0.0
courage,coraxe,0.1777777777777778
avec diligence,con dilixencia,0.3142857142857144
tromper,enganar,0.5904761904761905
pronostic,prognostico,0.02962962962962956
precipitamment,precipitadamente,0.08095238095238078
hypothese,suposicion,0.5777777777777778
attenuer,mitigar,0.6
generaliser,xeneralizar,0.24242424242424243
mediocre,mediocres,0.016666666666666607
admissibilite,elegibilidade,0.45128205128205134
officiel,formais,0.6190476190476191
haut,alto,0.4666666666666667
scrotum,escroto,0.2571428571428571
intrinseque,intrinseca,0.17999999999999994
vil,vil,0.0
costumes,traxes,0.4555555555555555
sarcastique,sarcastico,0.17999999999999994
exception,excepcion,0.10370370370370374
independance,independencia,0.16111111111111098
transgression,transgresion,0.011111111111111072
toi,ti,0.06666666666666676
echo,eco,0.04444444444444451
dictionnaire,dicionario,0.20666666666666678
relatif,achegada,0.6285714285714286
envahissant,invasivo,0.4666666666666668
condoleances,condolencias,0.1499999999999999
accent,enfase,0.5666666666666667
irremplacable,insubstituible,0.5692307692307692
immanent,inmanente,0.13333333333333341
mon,meu,0.5777777777777777
ardeur,afan,0.6666666666666667
indicible,indicible,0.0
futile,inutil,0.30000000000000004
pouvoir,poder,0.3733333333333334
atterrir,terra,0.2400000000000001
arbitraire,arbitrariedade,0.11999999999999988
objet,obxecto,0.2400000000000001
peur,medo,0.6666666666666667
satisfaction,satisfaccion,0.07777777777777772
temps,tempo,0.18666666666666676
procrastinateur,procrastinador,0.12857142857142834
mere,nai,0.8666666666666667
debauche,libertinaxe,0.5666666666666667
bienveillant,benevolente,0.3272727272727274
exempter,exentos,0.39047619047619064
proprietaires,terratenente,0.5166666666666667
surnom,alcume,0.5777777777777777
reminiscence,reminiscencia,0.08333333333333337
son,son,0.0
respect,respecto,0.01904761904761898
fonctionnalite,caracteristica,0.5952380952380952
se concentrer,foco,0.6000000000000001
stratification,estratificacion,0.07619047619047614
pertinent,relevantes,0.4814814814814815
processus,proceso,0.1523809523809524
souvent,moitas veces,0.5523809523809524
mauvais,malo,0.4833333333333334
legitimite,lexitimidade,0.19999999999999996
litige,litixio,0.30000000000000016
efficace,eficaz,0.18888888888888888
cliche,cliche,0.0
acquisition,adquisicion,0.1696969696969698
indifferent,indiferente,0.08484848484848473
peser,a peso,0.3733333333333334
facultatif,opcional,0.6499999999999999
conditionnement,condicionamento,0.18222222222222229
pret a etre livre,listo para entrega,0.4509803921568627
substantiel,substancial,0.1696969696969698
fille,rapaza,0.8400000000000001
proselytisme,proselitismo,0.15555555555555545
perception,percepcion,0.09333333333333338
deduire,deducir,0.13333333333333341
democratisation,democratizacion,0.12444444444444436
amical,amigable,0.20000000000000007
passable,transitable,0.2666666666666666
ingeniosite,ingenio,0.04761904761904767
morale,moral,0.026666666666666727
convalescence,convalecencia,0.1384615384615382
mutuel,mutuo,0.19999999999999996
il a fait,fixo,0.55
etre,sendo,0.6666666666666667
neanmoins,con todo,0.6416666666666666
comprehension,comprension,0.018181818181818188
intrepide,sen medo,0.5666666666666667
il est venu,el veu,0.2333333333333334
impressionnant,impresionante,0.08205128205128198
entree,entrada,0.30000000000000016
ignorant,ignorante,0.016666666666666607
equite,equidade,0.1777777777777778
opportuniste,oportunista,0.09696969696969682
genocidaire,xenocida,0.15000000000000002
authentique,autentico,0.21481481481481468
juger,para xulgar,0.4666666666666667
maladie,doenza,0.5888888888888889
paix,paz,0.33333333333333337
disposer,dispor,0.03333333333333344
impartialite,imparcialidade,0.16666666666666652
modeste,modesto,0.13333333333333341
itineraire,itinerario,0.17999999999999994
anachronique,anacronico,0.19333333333333325
noia,noia,0.0
fierte,orgullo,0.7222222222222222
idiot,parvo,0.6799999999999999
volontaire,deliberado,0.6
prodige,prodixio,0.2571428571428571
utiliser,usar,0.31666666666666676
extraordinaire,extraordinario,0.12857142857142834
base,base,0.0
realisable,factible,0.3583333333333334
fragmentation,fragmentacion,0.07179487179487176
couple,parella,0.5888888888888889
agitation,axitacion,0.20740740740740748
