gl,ro,Alignment Score
plenamente,complet,0.40000000000000013
faccion,factiune,0.2857142857142858
aplicabilidade,aplicabilitate,0.1333333333333332
casa,acasa,0.033333333333333326
si,da,0.8666666666666667
historia,istorie,0.1523809523809525
son,sunet,0.37777777777777777
coraxe,curaj,0.3866666666666667
con dilixencia,cu sarguinta,0.5166666666666667
enganar,insela,0.5888888888888889
prognostico,prognoza,0.24166666666666659
precipitadamente,precipitat,0.05333333333333312
suposicion,presupunere,0.5133333333333334
mitigar,atenua,0.6000000000000001
xeneralizar,generaliza,0.10666666666666669
mediocres,mediocru,0.125
elegibilidade,eligibilitate,0.2153846153846154
formais,formal,0.16666666666666663
alto,inalt,0.25
escroto,scrot,0.053333333333333344
intrinseca,intrinsec,0.014814814814814725
vil,ticalos,0.4444444444444444
traxes,costume,0.5888888888888889
sarcastico,sarcastic,0.014814814814814725
excepcion,exceptie,0.2416666666666667
independencia,independenta,0.08333333333333337
transgresion,transgresiune,0.0888888888888888
ti,tu,0.4666666666666667
eco,ecou,0.04444444444444451
dicionario,dictionar,0.11111111111111116
achegada,relativ,0.6285714285714286
invasivo,invaziv,0.1523809523809525
condolencias,condoleante,0.24242424242424243
enfase,accent,0.5666666666666667
insubstituible,de neinlocuit,0.5230769230769231
inmanente,imanent,0.03809523809523818
meu,ale mele,0.4444444444444444
afan,nerabdare,0.5666666666666667
indicible,de nespus,0.6444444444444444
inutil,zadarnic,0.6111111111111112
poder,putere,0.3733333333333334
terra,teren,0.3466666666666668
arbitrariedade,arbitrariul,0.17575757575757556
obxecto,obiect,0.1777777777777778
medo,frica,0.85
satisfaccion,satisfactie,0.17575757575757567
tempo,timp,0.2666666666666667
procrastinador,procrastinator,0.06666666666666665
nai,mama,0.6222222222222222
libertinaxe,depravare,0.5037037037037038
benevolente,binevoitor,0.3666666666666667
exentos,scuti,0.6933333333333334
terratenente,proprietar de teren,0.41666666666666663
alcume,porecla,0.7
reminiscencia,reminiscenta,0.08333333333333337
son,sunet,0.37777777777777777
respecto,respect,0.01904761904761898
caracteristica,caracteristica,0.0
foco,se concentreze,0.6166666666666667
estratificacion,stratificare,0.16666666666666652
relevantes,relevante,0.014814814814814725
proceso,proces,0.022222222222222143
moitas veces,de multe ori,0.6222222222222222
malo,rau,0.6444444444444445
lexitimidade,legitimitate,0.2333333333333334
litixio,litigii,0.2571428571428571
eficaz,efectiv,0.44444444444444453
cliche,cliseu,0.30000000000000016
adquisicion,achizitie,0.5185185185185186
indiferente,indiferent,0.013333333333333308
a peso,a cantari,0.5888888888888889
opcional,optional,0.1166666666666667
condicionamento,conditionare,0.1777777777777776
listo para entrega,gata de livrare,0.5155555555555555
substancial,substantiala,0.09696969696969693
rapaza,fata,0.5
proselitismo,prozelitism,0.09696969696969693
percepcion,perceptie,0.2148148148148148
deducir,deduce,0.16666666666666663
democratizacion,democratizare,0.1435897435897434
amigable,prietenos,0.6416666666666666
transitable,acceptabil,0.44000000000000006
ingenio,inventivitate,0.33333333333333337
moral,morala,0.026666666666666727
convalecencia,convalescenta,0.1384615384615382
mutuo,reciproc,0.72
fixo,el a facut,0.75
sendo,fiind,0.52
con todo,cu toate acestea,0.5000000000000002
comprension,intelegere,0.6666666666666667
sen medo,neinfricat,0.6499999999999999
el veu,el a venit,0.21111111111111103
impresionante,impresionant,0.011111111111111072
entrada,intrare,0.38095238095238104
ignorante,ignorant,0.016666666666666607
equidade,capitaluri proprii,0.7166666666666667
oportunista,oportunist,0.013333333333333308
xenocida,genocid,0.1523809523809525
autentico,autentic,0.016666666666666607
para xulgar,a judeca,0.475
doenza,boala,0.5466666666666666
paz,pace,0.33333333333333337
dispor,dispune,0.30000000000000016
imparcialidade,impartialitate,0.19999999999999984
modesto,modest,0.022222222222222143
itinerario,itinerar,0.025000000000000022
anacronico,anacronic,0.014814814814814725
noia,noia,0.0
orgullo,mandrie,0.7238095238095238
parvo,prost,0.3600000000000001
deliberado,delibera,0.025000000000000022
prodixio,minune,0.7333333333333334
usar,utilizare,0.33333333333333337
extraordinario,extraordinar,0.016666666666666496
base,baza,0.43333333333333335
factible,fezabil,0.39047619047619053
fragmentacion,fragmentare,0.16969696969696957
parella,cuplu,0.56
axitacion,agitatie,0.3583333333333334
