en,fr,Alignment Score
fully,pleinement,0.76
faction,faction,0.0
applicability,applicabilite,0.07179487179487176
home,maison,0.6833333333333333
yes,oui,0.8444444444444444
history,histoire,0.1523809523809525
sound,son,0.08888888888888902
courage,courage,0.0
diligently,avec diligence,0.2866666666666666
deceive,tromper,0.7142857142857143
prognosis,pronostic,0.20740740740740748
precipitously,precipitamment,0.32307692307692293
assumption,hypothese,0.6666666666666667
mitigate,attenuer,0.5249999999999999
generalize,generaliser,0.10666666666666669
mediocre,mediocre,0.0
eligibility,admissibilite,0.33939393939393947
formal,officiel,0.5888888888888889
high,haut,0.6333333333333333
scrotum,scrotum,0.0
intrinsic,intrinseque,0.20740740740740737
vile,vil,0.04444444444444451
suits,costumes,0.4
sarcastic,sarcastique,0.11851851851851847
exception,exception,0.0
independence,independance,0.07777777777777772
transgression,transgression,0.0
you,toi,0.6222222222222222
echo,echo,0.0
dictionary,dictionnaire,0.11999999999999988
relative,relatif,0.1428571428571429
invasive,envahissant,0.4666666666666668
condolences,condoleances,0.012121212121212088
emphasis,accent,0.7222222222222222
irreplaceable,irremplacable,0.07179487179487176
immanent,immanent,0.0
my,mon,0.5
eagerness,ardeur,0.48888888888888893
unspeakable,indicible,0.4888888888888888
futile,futile,0.0
power,pouvoir,0.3733333333333334
land,atterrir,0.7166666666666668
arbitrariness,arbitraire,0.11999999999999988
object,objet,0.026666666666666727
fear,peur,0.4666666666666667
satisfaction,satisfaction,0.0
time,temps,0.45000000000000007
procrastinator,procrastinateur,0.0714285714285714
mother,mere,0.2666666666666666
debauchery,debauche,0.025000000000000022
benevolent,bienveillant,0.28
exempt,exempter,0.03333333333333344
landowner,proprietaires,0.6074074074074074
nickname,surnom,0.6000000000000001
reminiscence,reminiscence,0.0
sound,son,0.08888888888888902
respect,respect,0.0
feature,fonctionnalite,0.4476190476190476
focus,se concentrer,0.6533333333333333
stratification,stratification,0.0
relevant,pertinent,0.43333333333333335
process,processus,0.028571428571428692
often,souvent,0.4
bad,mauvais,0.7111111111111111
legitimacy,legitimite,0.2533333333333333
litigation,litige,0.19999999999999984
effective,efficace,0.33333333333333337
cliche,cliche,0.0
acquisition,acquisition,0.0
indifferent,indifferent,0.0
to weight,peser,0.7466666666666667
optional,facultatif,0.6499999999999999
conditioning,conditionnement,0.16666666666666652
ready-delivery,pret a etre livre,0.39047619047619053
substantial,substantiel,0.08484848484848473
girl,fille,0.4833333333333334
proselytism,proselytisme,0.012121212121212088
perception,perception,0.0
deduce,deduire,0.16666666666666663
democratization,democratisation,0.06222222222222218
friendly,amical,0.6111111111111112
passable,passable,0.0
resourcefulness,ingeniosite,0.6363636363636364
moral,morale,0.026666666666666727
convalescence,convalescence,0.0
mutual,mutuel,0.15555555555555556
he did,il a fait,0.6333333333333333
being,etre,0.6666666666666667
nevertheless,neanmoins,0.5703703703703704
understanding,comprehension,0.5846153846153846
fearless,intrepide,0.6499999999999999
he came,il est venu,0.5523809523809524
impressive,impressionnant,0.19999999999999984
entry,entree,0.19999999999999996
ignorant,ignorant,0.0
equity,equite,0.15555555555555556
opportunist,opportuniste,0.012121212121212088
genocidal,genocidaire,0.11851851851851847
authentic,authentique,0.11851851851851847
to judge,juger,0.24
ailment,maladie,0.49523809523809526
peace,paix,0.4666666666666667
dispose,disposer,0.01904761904761898
impartiality,impartialite,0.07777777777777772
modest,modeste,0.022222222222222143
itinerary,itineraire,0.11851851851851858
anachronistic,anachronique,0.21666666666666645
noia,noia,0.0
pride,fierte,0.5466666666666666
fool,idiot,0.6833333333333333
deliberate,volontaire,0.5133333333333334
prodigy,prodige,0.13333333333333341
use,utiliser,0.15555555555555556
extraordinary,extraordinaire,0.08205128205128198
base,base,0.0
feasible,realisable,0.2583333333333333
fragmentation,fragmentation,0.0
couple,couple,0.0
hustle,agitation,0.7444444444444445
