es,fr,Alignment Score
completamente,pleinement,0.28666666666666674
faccion,faction,0.13333333333333341
aplicabilidad,applicabilite,0.19999999999999984
hogar,maison,0.7066666666666668
si,oui,0.5
historia,histoire,0.22499999999999998
sonido,son,0.08888888888888902
coraje,courage,0.1777777777777778
diligentemente,avec diligence,0.3571428571428571
enganar,tromper,0.5904761904761905
pronostico,pronostic,0.014814814814814725
precipitadamente,precipitamment,0.08095238095238078
suposicion,hypothese,0.5777777777777778
mitigar,attenuer,0.6
generalizar,generaliser,0.1575757575757576
mediocre,mediocre,0.0
elegibilidad,admissibilite,0.49444444444444446
formal,officiel,0.5888888888888889
alto,haut,0.4666666666666667
escroto,scrotum,0.2571428571428571
intrinseco,intrinseque,0.17999999999999994
vil,vil,0.0
trajes,costumes,0.4555555555555555
sarcastico,sarcastique,0.17999999999999994
excepcion,exception,0.10370370370370374
independencia,independance,0.16111111111111098
transgresion,transgression,0.011111111111111072
tu,toi,0.5
eco,echo,0.04444444444444451
diccionario,dictionnaire,0.2606060606060606
relativo,relatif,0.1428571428571429
invasor,envahissant,0.4285714285714287
condolencias,condoleances,0.1499999999999999
enfasis,accent,0.5777777777777777
insustituible,irremplacable,0.5641025641025641
inmanente,immanent,0.13333333333333341
mi,mon,0.5
afan,ardeur,0.6666666666666667
indecible,indicible,0.10370370370370374
futil,futile,0.026666666666666727
fuerza,pouvoir,0.6000000000000001
tierra,atterrir,0.33333333333333337
arbitrariedad,arbitraire,0.11999999999999988
objeto,objet,0.026666666666666727
miedo,peur,0.6833333333333333
satisfaccion,satisfaction,0.07777777777777772
tiempo,temps,0.21333333333333337
indeciso,procrastinateur,0.6000000000000001
madre,mere,0.25
libertinaje,debauche,0.5666666666666667
benevolente,bienveillant,0.3272727272727274
eximir,exempter,0.33333333333333337
terrateniente,proprietaires,0.4666666666666668
apodo,surnom,0.6933333333333334
reminiscencia,reminiscence,0.08333333333333337
sonido,son,0.08888888888888902
respeto,respect,0.13333333333333341
caracteristica,fonctionnalite,0.5952380952380952
enfocar,se concentrer,0.4476190476190477
estratificacion,stratification,0.07619047619047614
importante,pertinent,0.40740740740740744
proceso,processus,0.1523809523809524
a menudo,souvent,0.6190476190476191
malo,mauvais,0.4833333333333334
legitimidad,legitimite,0.17999999999999994
litigio,litige,0.16666666666666663
eficaz,efficace,0.18888888888888888
cliche,cliche,0.0
adquisicion,acquisition,0.1696969696969698
indiferente,indifferent,0.08484848484848473
pesar,peser,0.18666666666666676
opcional,facultatif,0.6499999999999999
acondicionamiento,conditionnement,0.19999999999999996
entrega rapida,pret a etre livre,0.5000000000000001
sustancial,substantiel,0.19999999999999996
chica,fille,0.6933333333333334
proselitismo,proselytisme,0.15555555555555545
percepcion,perception,0.09333333333333338
deducir,deduire,0.13333333333333341
democratizacion,democratisation,0.12444444444444436
amigable,amical,0.20000000000000007
pasable,passable,0.01904761904761898
inventiva,ingeniosite,0.40740740740740744
moral,morale,0.026666666666666727
convalecencia,convalescence,0.1384615384615382
mutual,mutuel,0.15555555555555556
el hizo,il a fait,0.5333333333333333
ser,etre,0.3555555555555556
sin embargo,neanmoins,0.49629629629629635
comprension,comprehension,0.018181818181818188
valiente,intrepide,0.43333333333333346
el vino,il est venu,0.4476190476190477
impresionante,impressionnant,0.08205128205128198
entrada,entree,0.30000000000000016
ignorante,ignorant,0.016666666666666607
equidad,equite,0.30000000000000016
oportunista,opportuniste,0.09696969696969682
genocida,genocidaire,0.033333333333333215
autentico,authentique,0.21481481481481468
juzgar,juger,0.21333333333333337
enfermedad,maladie,0.5238095238095238
paz,paix,0.33333333333333337
disponer,disposer,0.1166666666666667
imparcialidad,impartialite,0.22777777777777763
modesto,modeste,0.13333333333333341
itinerario,itineraire,0.17999999999999994
anacronico,anachronique,0.19333333333333325
noya,noia,0.2333333333333334
orgullo,fierte,0.7222222222222222
tonto,idiot,0.5333333333333333
adrede,volontaire,0.48888888888888893
prodigio,prodige,0.1428571428571429
usar,utiliser,0.31666666666666676
extraordinario,extraordinaire,0.12857142857142834
base,base,0.0
factible,realisable,0.3583333333333334
fragmentacion,fragmentation,0.07179487179487176
pareja,couple,0.5777777777777777
ajetreo,agitation,0.5238095238095238
