fr,it,Alignment Score
pleinement,completamente,0.28666666666666674
faction,fazione,0.2571428571428571
applicabilite,applicabilita,0.07179487179487176
maison,casa,0.5166666666666666
oui,si,0.5
histoire,storia,0.33333333333333337
son,suono,0.08888888888888902
courage,coraggio,0.2666666666666666
avec diligence,diligentemente,0.3571428571428571
tromper,ingannare,0.6285714285714286
pronostic,prognosi,0.13333333333333341
precipitamment,precipitosamente,0.08095238095238089
hypothese,assunzione,0.6518518518518519
attenuer,mitigare,0.625
generaliser,generalizzare,0.17575757575757567
mediocre,mediocre,0.0
admissibilite,eleggibilita,0.4277777777777778
officiel,formale,0.6190476190476191
haut,alto,0.4666666666666667
scrotum,scroto,0.16666666666666663
intrinseque,intrinseco,0.17999999999999994
vil,vile,0.04444444444444451
costumes,abiti,0.7333333333333334
sarcastique,sarcastico,0.17999999999999994
exception,eccezione,0.3037037037037038
independance,indipendenza,0.28888888888888886
transgression,trasgressione,0.07179487179487176
toi,voi,0.3111111111111112
echo,eco,0.04444444444444451
dictionnaire,dizionario,0.29333333333333333
relatif,parente,0.5047619047619047
envahissant,invasivo,0.4666666666666668
condoleances,condoglianze,0.2333333333333334
accent,enfasi,0.5666666666666667
irremplacable,insostituibile,0.5743589743589743
immanent,immanente,0.016666666666666607
mon,mio,0.3111111111111112
ardeur,entusiasmo,0.6222222222222222
indicible,indicibile,0.014814814814814725
futile,inutile,0.16666666666666663
pouvoir,energia,0.7142857142857143
atterrir,terra,0.2400000000000001
arbitraire,arbitrarieta,0.11333333333333329
objet,oggetto,0.3866666666666667
peur,paura,0.2666666666666667
satisfaction,soddisfazione,0.30000000000000016
temps,tempo,0.18666666666666676
procrastinateur,procrastinatore,0.11555555555555541
mere,madre,0.25
debauche,dissolutezza,0.5666666666666667
bienveillant,benevolo,0.3833333333333334
exempter,esonerare,0.5333333333333334
proprietaires,proprietario terriero,0.12820512820512786
surnom,soprannome,0.2222222222222222
reminiscence,reminiscenza,0.14444444444444438
son,suono,0.08888888888888902
respect,rispetto,0.2761904761904762
fonctionnalite,caratteristica,0.5904761904761905
se concentrer,messa a fuoco,0.5794871794871795
stratification,stratificazione,0.07619047619047614
pertinent,pertinente,0.014814814814814725
processus,processi,0.125
souvent,spesso,0.5666666666666667
mauvais,cattivo,0.6190476190476191
legitimite,legittimita,0.10666666666666658
litige,contenzioso,0.6333333333333333
efficace,efficace,0.0
cliche,cliche,0.0
acquisition,acquisizione,0.09696969696969693
indifferent,indifferente,0.012121212121212088
peser,pesare,0.19999999999999996
facultatif,opzionale,0.6666666666666667
conditionnement,condizionata,0.24444444444444435
pret a etre livre,pronta consegna,0.5155555555555555
substantiel,sostanziale,0.32727272727272727
fille,ragazza,0.8533333333333334
proselytisme,proselitismo,0.15555555555555545
perception,percezione,0.17999999999999994
deduire,dedurre,0.13333333333333341
democratisation,democratizzazione,0.13777777777777755
amical,amichevole,0.21111111111111125
passable,accettabile,0.3583333333333333
ingeniosite,intraprendenza,0.484848484848485
morale,morale,0.0
convalescence,convalescenza,0.1333333333333332
mutuel,reciproco,0.7444444444444445
il a fait,egli fece,0.562962962962963
etre,essendo,0.5
neanmoins,tuttavia,0.6583333333333334
comprehension,comprensione,0.08333333333333337
intrepide,impavido,0.45000000000000007
il est venu,lui venne,0.4
impressionnant,degno di nota,0.5948717948717949
entree,iscrizione,0.6111111111111112
ignorant,ignorante,0.016666666666666607
equite,equita,0.15555555555555556
opportuniste,opportunista,0.07777777777777772
genocidaire,genocida,0.033333333333333215
authentique,autentico,0.21481481481481468
juger,giudicare,0.5733333333333334
maladie,malattia,0.2761904761904762
paix,pace,0.43333333333333335
disposer,smaltire,0.625
impartialite,imparzialita,0.15555555555555545
modeste,modesto,0.13333333333333341
itineraire,itinerario,0.17999999999999994
anachronique,anacronistico,0.28888888888888886
noia,noia,0.0
fierte,orgoglio,0.7333333333333334
idiot,scemo,0.6799999999999999
volontaire,deliberato,0.6
prodige,prodigio,0.1428571428571429
utiliser,utilizzo,0.31666666666666654
extraordinaire,straordinario,0.21538461538461529
base,base,0.0
realisable,fattibile,0.40740740740740744
fragmentation,frammentazione,0.15384615384615385
couple,coppia,0.43333333333333335
agitation,attivita febbrile,0.45925925925925937
