pt,gl,Alignment Score
integralmente,plenamente,0.28666666666666674
faccao,faccion,0.1777777777777778
aplicabilidade,aplicabilidade,0.0
lar,casa,0.6222222222222222
sim,si,0.06666666666666676
historia,historia,0.0
som,son,0.3111111111111111
coragem,coraxe,0.1777777777777778
diligentemente,con dilixencia,0.4809523809523808
ludibriar,enganar,0.6095238095238096
prognostico,prognostico,0.0
precipuamente,precipitadamente,0.08717948717948709
pressuposto,suposicion,0.3533333333333334
mitigar,mitigar,0.0
generalizar,xeneralizar,0.08484848484848484
mediocre,mediocres,0.016666666666666607
elegibilidade,elegibilidade,0.0
formal,formais,0.16666666666666663
alta,alto,0.2333333333333334
escroto,escroto,0.0
intrinseca,intrinseca,0.0
vil,vil,0.0
convem,traxes,0.7111111111111111
sarcastico,sarcastico,0.0
excecao,excepcion,0.17142857142857149
independencia,independencia,0.0
transgressao,transgresion,0.1499999999999999
voce,ti,0.9333333333333333
eco,eco,0.0
dicionario,dicionario,0.0
relativo,achegada,0.6416666666666666
invasivo,invasivo,0.0
condolencias,condolencias,0.0
enfase,enfase,0.0
insubstituivel,insubstituible,0.12857142857142834
imanente,inmanente,0.016666666666666607
meu,meu,0.0
ansia,afan,0.45000000000000007
inenarravel,indicible,0.5629629629629631
futil,inutil,0.19999999999999996
poder,poder,0.0
ater,terra,0.25
arbitrariedade,arbitrariedade,0.0
objeto,obxecto,0.1777777777777777
medo,medo,0.0
satisfacao,satisfaccion,0.11333333333333329
tempo,tempo,0.0
procrastinador,procrastinador,0.0
mae,nai,0.6222222222222222
deboche,libertinaxe,0.6476190476190475
benevolente,benevolente,0.0
eximir,exentos,0.5666666666666667
latifundiario,terratenente,0.6388888888888888
alcunha,alcume,0.30000000000000016
reminiscencia,reminiscencia,0.0
soar,son,0.33333333333333337
respeito,respecto,0.1166666666666667
caracteristica,caracteristica,0.0
foco,foco,0.0
estratificacao,estratificacion,0.07619047619047614
relevante,relevantes,0.014814814814814725
processo,proceso,0.01904761904761898
frequentemente,moitas veces,0.6388888888888888
mal,malo,0.04444444444444451
legitimidade,lexitimidade,0.07777777777777772
contencioso,litixio,0.5428571428571429
eficaz,eficaz,0.0
cliche,cliche,0.0
aquisicao,adquisicion,0.13333333333333341
indiferente,indiferente,0.0
pesar,a peso,0.3733333333333334
facultativo,opcional,0.5666666666666667
condicionado,condicionamento,0.09444444444444422
pronta-entrega,listo para entrega,0.27142857142857135
substancial,substancial,0.0
rapariga,rapaza,0.1777777777777778
proselitismo,proselitismo,0.0
percepcao,percepcion,0.11851851851851858
depreender,deducir,0.40000000000000013
democratizacao,democratizacion,0.07619047619047614
cordial,amigable,0.5142857142857143
passivel,transitable,0.4833333333333334
desenvoltura,ingenio,0.5523809523809524
moral,moral,0.0
convalescenca,convalecencia,0.07179487179487176
mutua,mutuo,0.18666666666666676
fez,fixo,0.6000000000000001
ente,sendo,0.4666666666666667
obstante,con todo,0.5416666666666667
compreensao,comprension,0.1696969696969698
impavido,sen medo,0.5333333333333334
veio,el veu,0.4833333333333333
impressionante,impresionante,0.01025641025641022
verbete,entrada,0.6095238095238096
ignorante,ignorante,0.0
equidade,equidade,0.0
oportunista,oportunista,0.0
genocida,xenocida,0.1166666666666667
autentico,autentico,0.0
julgar,para xulgar,0.21111111111111114
mazela,doenza,0.5666666666666667
paz,paz,0.0
dispor,dispor,0.0
imparcialidade,imparcialidade,0.0
modesto,modesto,0.0
itinerario,itinerario,0.0
anacronico,anacronico,0.0
noia,noia,0.0
orgulho,orgullo,0.13333333333333341
tolo,parvo,0.6499999999999999
deliberar,deliberado,0.11111111111111116
prodigio,prodixio,0.1166666666666667
uso,usar,0.33333333333333337
extraordinaria,extraordinario,0.06666666666666665
base,base,0.0
exequivel,factible,0.6499999999999999
fragmentacao,fragmentacion,0.0888888888888888
casal,parella,0.56
afa,axitacion,0.4666666666666667
