it,gl,Alignment Score
completamente,plenamente,0.12
fazione,faccion,0.2571428571428571
applicabilita,aplicabilidade,0.14871794871794863
casa,casa,0.0
si,si,0.0
storia,historia,0.03333333333333344
suono,son,0.08888888888888902
coraggio,coraxe,0.3111111111111112
diligentemente,con dilixencia,0.4809523809523808
ingannare,enganar,0.17142857142857149
prognosi,prognostico,0.04166666666666663
precipitosamente,precipitadamente,0.10833333333333339
assunzione,suposicion,0.42666666666666664
mitigare,mitigar,0.01904761904761898
generalizzare,xeneralizar,0.10909090909090913
mediocre,mediocres,0.016666666666666607
eleggibilita,elegibilidade,0.16111111111111098
formale,formais,0.24761904761904763
alto,alto,0.0
scroto,escroto,0.022222222222222143
intrinseco,intrinseca,0.09333333333333327
vile,vil,0.04444444444444451
abiti,traxes,0.6933333333333334
sarcastico,sarcastico,0.0
eccezione,excepcion,0.2962962962962963
indipendenza,independencia,0.16111111111111098
trasgressione,transgresion,0.08888888888888902
voi,ti,0.5
eco,eco,0.0
dizionario,dicionario,0.09333333333333338
parente,achegada,0.6190476190476191
invasivo,invasivo,0.0
condoglianze,condolencias,0.28888888888888886
enfasi,enfase,0.15555555555555556
insostituibile,insubstituible,0.12857142857142856
immanente,inmanente,0.10370370370370374
mio,meu,0.5777777777777777
entusiasmo,afan,0.75
indicibile,indicible,0.014814814814814725
inutile,inutil,0.022222222222222143
energia,poder,0.5466666666666666
terra,terra,0.0
arbitrarieta,arbitrariedade,0.09444444444444422
oggetto,obxecto,0.38095238095238093
paura,medo,0.85
soddisfazione,satisfaccion,0.30000000000000016
tempo,tempo,0.0
procrastinatore,procrastinador,0.07619047619047614
madre,nai,0.6666666666666667
dissolutezza,libertinaxe,0.6181818181818182
benevolo,benevolente,0.1416666666666666
esonerare,exentos,0.6095238095238096
proprietario terriero,terratenente,0.4944444444444446
soprannome,alcume,0.47777777777777786
reminiscenza,reminiscencia,0.08333333333333337
suono,son,0.08888888888888902
rispetto,respecto,0.2333333333333334
caratteristica,caracteristica,0.06666666666666665
messa a fuoco,foco,0.18333333333333324
stratificazione,estratificacion,0.12444444444444436
pertinente,relevantes,0.42666666666666664
processi,proceso,0.1428571428571429
spesso,moitas veces,0.5111111111111111
cattivo,malo,0.5166666666666666
legittimita,lexitimidade,0.2606060606060606
contenzioso,litixio,0.5428571428571429
efficace,eficaz,0.18888888888888888
cliche,cliche,0.0
acquisizione,adquisicion,0.18181818181818177
indifferente,indiferente,0.012121212121212088
pesare,a peso,0.43333333333333335
opzionale,opcional,0.13333333333333341
condizionata,condicionamento,0.1777777777777776
pronta consegna,listo para entrega,0.4222222222222223
sostanziale,substancial,0.24848484848484853
ragazza,rapaza,0.1777777777777777
proselitismo,proselitismo,0.0
percezione,percepcion,0.17999999999999994
dedurre,deducir,0.24761904761904763
democratizzazione,democratizacion,0.07999999999999985
amichevole,amigable,0.33333333333333337
accettabile,transitable,0.38181818181818183
intraprendenza,ingenio,0.4476190476190477
morale,moral,0.026666666666666727
convalescenza,convalecencia,0.1384615384615382
reciproco,mutuo,0.72
egli fece,fixo,0.7333333333333334
essendo,sendo,0.039999999999999925
tuttavia,con todo,0.7250000000000001
comprensione,comprension,0.012121212121212088
impavido,sen medo,0.5333333333333334
lui venne,el veu,0.34444444444444455
degno di nota,impresionante,0.5897435897435898
iscrizione,entrada,0.7333333333333334
ignorante,ignorante,0.0
equita,equidade,0.18888888888888888
opportunista,oportunista,0.012121212121212088
genocida,xenocida,0.1166666666666667
autentico,autentico,0.0
giudicare,para xulgar,0.5703703703703704
malattia,doenza,0.7111111111111111
pace,paz,0.33333333333333337
smaltire,dispor,0.6000000000000001
imparzialita,imparcialidade,0.17222222222222205
modesto,modesto,0.0
itinerario,itinerario,0.0
anacronistico,anacronico,0.026666666666666616
noia,noia,0.0
orgoglio,orgullo,0.2666666666666667
scemo,parvo,0.6666666666666667
deliberato,deliberado,0.09333333333333338
prodigio,prodixio,0.1166666666666667
utilizzo,usar,0.7
straordinario,extraordinario,0.07692307692307687
base,base,0.0
fattibile,factible,0.13333333333333341
frammentazione,fragmentacion,0.15384615384615385
coppia,parella,0.5777777777777777
attivita febbrile,axitacion,0.45925925925925937
