en,it,Alignment Score
fully,completamente,0.8
faction,fazione,0.2571428571428571
applicability,applicabilita,0.07179487179487176
home,casa,0.8333333333333334
yes,si,0.5
history,storia,0.3111111111111112
sound,suono,0.3733333333333334
courage,coraggio,0.2666666666666666
diligently,diligentemente,0.19999999999999984
deceive,ingannare,0.6190476190476191
prognosis,prognosi,0.016666666666666607
precipitously,precipitosamente,0.21538461538461517
assumption,assunzione,0.2600000000000001
mitigate,mitigare,0.1166666666666667
generalize,generalizzare,0.026666666666666616
mediocre,mediocre,0.0
eligibility,eleggibilita,0.17575757575757567
formal,formale,0.022222222222222143
high,alto,0.8333333333333334
scrotum,scroto,0.16666666666666663
intrinsic,intrinseco,0.11851851851851858
vile,vile,0.0
suits,abiti,0.5333333333333333
sarcastic,sarcastico,0.014814814814814725
exception,eccezione,0.3037037037037038
independence,indipendenza,0.2222222222222221
transgression,trasgressione,0.07179487179487176
you,voi,0.6222222222222222
echo,eco,0.04444444444444451
dictionary,dizionario,0.2666666666666667
relative,parente,0.3904761904761904
invasive,invasivo,0.1166666666666667
condolences,condoglianze,0.2606060606060606
emphasis,enfasi,0.3222222222222223
irreplaceable,insostituibile,0.5743589743589743
immanent,immanente,0.016666666666666607
my,mio,0.5
eagerness,entusiasmo,0.4888888888888888
unspeakable,indicibile,0.52
futile,inutile,0.16666666666666663
power,energia,0.5466666666666666
land,terra,0.6666666666666667
arbitrariness,arbitrarieta,0.15555555555555545
object,oggetto,0.4555555555555555
fear,paura,0.4833333333333334
satisfaction,soddisfazione,0.30000000000000016
time,tempo,0.45000000000000007
procrastinator,procrastinatore,0.00952380952380949
mother,madre,0.5333333333333333
debauchery,dissolutezza,0.6000000000000001
benevolent,benevolo,0.1333333333333333
exempt,esonerare,0.6
landowner,proprietario terriero,0.5851851851851853
nickname,soprannome,0.45000000000000007
reminiscence,reminiscenza,0.14444444444444438
sound,suono,0.3733333333333334
respect,rispetto,0.2761904761904762
feature,caratteristica,0.5714285714285715
focus,messa a fuoco,0.48
stratification,stratificazione,0.07619047619047614
relevant,pertinente,0.45000000000000007
process,processi,0.01904761904761898
often,spesso,0.6799999999999999
bad,cattivo,0.7111111111111111
legitimacy,legittimita,0.18666666666666676
litigation,contenzioso,0.6
effective,efficace,0.33333333333333337
cliche,cliche,0.0
acquisition,acquisizione,0.09696969696969693
indifferent,indifferente,0.012121212121212088
to weight,pesare,0.7333333333333334
optional,opzionale,0.13333333333333341
conditioning,condizionata,0.28888888888888886
ready-delivery,pronta consegna,0.6523809523809524
substantial,sostanziale,0.24848484848484853
girl,ragazza,0.7
proselytism,proselitismo,0.09696969696969693
perception,percezione,0.17999999999999994
deduce,dedurre,0.16666666666666663
democratization,democratizzazione,0.07999999999999985
friendly,amichevole,0.575
passable,accettabile,0.3583333333333333
resourcefulness,intraprendenza,0.5571428571428572
moral,morale,0.026666666666666727
convalescence,convalescenza,0.1333333333333332
mutual,reciproco,0.8555555555555556
he did,egli fece,0.6111111111111112
being,essendo,0.5733333333333334
nevertheless,tuttavia,0.7583333333333333
understanding,comprensione,0.5777777777777777
fearless,impavido,0.7333333333333334
he came,lui venne,0.6285714285714286
impressive,degno di nota,0.7
entry,iscrizione,0.7333333333333334
ignorant,ignorante,0.016666666666666607
equity,equita,0.15555555555555556
opportunist,opportunista,0.012121212121212088
genocidal,genocida,0.016666666666666607
authentic,autentico,0.10370370370370374
to judge,giudicare,0.5416666666666667
ailment,malattia,0.5142857142857143
peace,pace,0.033333333333333326
dispose,smaltire,0.6
impartiality,imparzialita,0.15555555555555545
modest,modesto,0.022222222222222143
itinerary,itinerario,0.11111111111111116
anachronistic,anacronistico,0.07179487179487176
noia,noia,0.0
pride,orgoglio,0.5866666666666667
fool,scemo,0.6666666666666667
deliberate,deliberato,0.09333333333333327
prodigy,prodigio,0.1428571428571429
use,utilizzo,0.6888888888888889
extraordinary,straordinario,0.20512820512820507
base,base,0.0
feasible,fattibile,0.2416666666666667
fragmentation,frammentazione,0.15384615384615385
couple,coppia,0.43333333333333335
hustle,attivita febbrile,0.5555555555555556
