it,ro,Alignment Score
completamente,complet,0.06666666666666665
fazione,factiune,0.2761904761904762
applicabilita,aplicabilitate,0.07692307692307687
casa,acasa,0.033333333333333326
si,da,0.8666666666666667
storia,istorie,0.1777777777777778
suono,sunet,0.3600000000000001
coraggio,curaj,0.41333333333333344
diligentemente,cu sarguinta,0.6388888888888888
ingannare,insela,0.4666666666666667
prognosi,prognoza,0.21666666666666667
precipitosamente,precipitat,0.05999999999999994
assunzione,presupunere,0.52
mitigare,atenua,0.6
generalizzare,generaliza,0.033333333333333215
mediocre,mediocru,0.1166666666666667
eleggibilita,eligibilitate,0.15555555555555545
formale,formal,0.022222222222222143
alto,inalt,0.25
scroto,scrot,0.026666666666666727
intrinseco,intrinsec,0.014814814814814725
vile,ticalos,0.5333333333333334
abiti,costume,0.72
sarcastico,sarcastic,0.014814814814814725
eccezione,exceptie,0.3500000000000001
indipendenza,independenta,0.15555555555555545
trasgressione,transgresiune,0.1435897435897434
voi,tu,0.9
eco,ecou,0.04444444444444451
dizionario,dictionar,0.20740740740740748
parente,relativ,0.5047619047619047
invasivo,invaziv,0.1523809523809525
condoglianze,condoleante,0.18181818181818177
enfasi,accent,0.5666666666666667
insostituibile,de neinlocuit,0.5282051282051282
immanente,imanent,0.03809523809523818
mio,ale mele,0.7111111111111111
entusiasmo,nerabdare,0.6666666666666667
indicibile,de nespus,0.6518518518518519
inutile,zadarnic,0.6285714285714286
energia,putere,0.5888888888888888
terra,teren,0.3466666666666668
arbitrarieta,arbitrariul,0.16363636363636347
oggetto,obiect,0.4555555555555555
paura,frica,0.52
soddisfazione,satisfactie,0.33333333333333337
tempo,timp,0.2666666666666667
procrastinatore,procrastinator,0.00952380952380949
madre,mama,0.45000000000000007
dissolutezza,depravare,0.5851851851851853
benevolo,binevoitor,0.2583333333333334
esonerare,scuti,0.7333333333333334
proprietario terriero,proprietar de teren,0.1929824561403506
soprannome,porecla,0.5238095238095238
reminiscenza,reminiscenta,0.07777777777777772
suono,sunet,0.3600000000000001
rispetto,respect,0.2761904761904762
caratteristica,caracteristica,0.06666666666666665
messa a fuoco,se concentreze,0.5846153846153846
stratificazione,stratificare,0.09444444444444422
pertinente,relevante,0.3851851851851852
processi,proces,0.03333333333333344
spesso,de multe ori,0.6555555555555557
cattivo,rau,0.7111111111111111
legittimita,legitimitate,0.09090909090909083
contenzioso,litigii,0.6571428571428573
efficace,efectiv,0.4857142857142859
cliche,cliseu,0.30000000000000016
acquisizione,achizitie,0.31851851851851853
indifferente,indiferent,0.026666666666666616
pesare,a cantari,0.6111111111111112
opzionale,optional,0.13333333333333341
condizionata,conditionare,0.2222222222222221
pronta consegna,gata de livrare,0.5644444444444445
sostanziale,substantiala,0.2606060606060606
ragazza,fata,0.5166666666666666
proselitismo,prozelitism,0.09696969696969693
percezione,perceptie,0.20740740740740748
dedurre,deduce,0.16666666666666663
democratizzazione,democratizare,0.09743589743589731
amichevole,prietenos,0.5851851851851853
accettabile,acceptabil,0.10666666666666669
intraprendenza,inventivitate,0.5230769230769231
morale,morala,0.15555555555555556
convalescenza,convalescenta,0.07179487179487176
reciproco,reciproc,0.016666666666666607
egli fece,el a facut,0.41481481481481497
essendo,fiind,0.5466666666666666
tuttavia,cu toate acestea,0.42500000000000004
comprensione,intelegere,0.5933333333333334
impavido,neinfricat,0.6583333333333334
lui venne,el a venit,0.4
degno di nota,impresionant,0.5777777777777777
iscrizione,intrare,0.5047619047619047
ignorante,ignorant,0.016666666666666607
equita,capitaluri proprii,0.5666666666666667
opportunista,oportunist,0.026666666666666616
genocida,genocid,0.01904761904761898
autentico,autentic,0.016666666666666607
giudicare,a judeca,0.45000000000000007
malattia,boala,0.4
pace,pace,0.0
smaltire,dispune,0.6095238095238096
imparzialita,impartialitate,0.09444444444444444
modesto,modest,0.022222222222222143
itinerario,itinerar,0.025000000000000022
anacronistico,anacronic,0.04444444444444429
noia,noia,0.0
orgoglio,mandrie,0.6285714285714286
scemo,prost,0.6799999999999999
deliberato,delibera,0.025000000000000022
prodigio,minune,0.7333333333333334
utilizzo,utilizare,0.22499999999999998
straordinario,extraordinar,0.15555555555555545
base,baza,0.43333333333333335
fattibile,fezabil,0.2761904761904762
frammentazione,fragmentare,0.18787878787878787
coppia,cuplu,0.5466666666666666
attivita febbrile,agitatie,0.31666666666666676
