pt,en,es,fr,it,gl,ro
integralmente,fully,completamente,pleinement,completamente,plenamente,complet
faccao,faction,faccion,faction,fazione,faccion,factiune
aplicabilidade,applicability,aplicabilidad,applicabilite,applicabilita,aplicabilidade,aplicabilitate
lar,home,hogar,maison,casa,casa,acasa
sim,yes,si,oui,si,si,da
historia,history,historia,histoire,storia,historia,istorie
som,sound,sonido,son,suono,son,sunet
coragem,courage,coraje,courage,coraggio,coraxe,curaj
diligentemente,diligently,diligentemente,avec diligence,diligentemente,con dilixencia,cu sarguinta
ludibriar,deceive,enganar,tromper,ingannare,enganar,insela
prognostico,prognosis,pronostico,pronostic,prognosi,prognostico,prognoza
precipuamente,precipitously,precipitadamente,precipitamment,precipitosamente,precipitadamente,precipitat
pressuposto,assumption,suposicion,hypothese,assunzione,suposicion,presupunere
mitigar,mitigate,mitigar,attenuer,mitigare,mitigar,atenua
generalizar,generalize,generalizar,generaliser,generalizzare,xeneralizar,generaliza
mediocre,mediocre,mediocre,mediocre,mediocre,mediocres,mediocru
elegibilidade,eligibility,elegibilidad,admissibilite,eleggibilita,elegibilidade,eligibilitate
formal,formal,formal,officiel,formale,formais,formal
alta,high,alto,haut,alto,alto,inalt
escroto,scrotum,escroto,scrotum,scroto,escroto,scrot
intrinseca,intrinsic,intrinseco,intrinseque,intrinseco,intrinseca,intrinsec
vil,vile,vil,vil,vile,vil,ticalos
convem,suits,trajes,costumes,abiti,traxes,costume
sarcastico,sarcastic,sarcastico,sarcastique,sarcastico,sarcastico,sarcastic
excecao,exception,excepcion,exception,eccezione,excepcion,exceptie
independencia,independence,independencia,independance,indipendenza,independencia,independenta
transgressao,transgression,transgresion,transgression,trasgressione,transgresion,transgresiune
voce,you,tu,toi,voi,ti,tu
eco,echo,eco,echo,eco,eco,ecou
dicionario,dictionary,diccionario,dictionnaire,dizionario,dicionario,dictionar
relativo,relative,relativo,relatif,parente,achegada,relativ
invasivo,invasive,invasor,envahissant,invasivo,invasivo,invaziv
condolencias,condolences,condolencias,condoleances,condoglianze,condolencias,condoleante
enfase,emphasis,enfasis,accent,enfasi,enfase,accent
insubstituivel,irreplaceable,insustituible,irremplacable,insostituibile,insubstituible,de neinlocuit
imanente,immanent,inmanente,immanent,immanente,inmanente,imanent
meu,my,mi,mon,mio,meu,ale mele
ansia,eagerness,afan,ardeur,entusiasmo,afan,nerabdare
inenarravel,unspeakable,indecible,indicible,indicibile,indicible,de nespus
futil,futile,futil,futile,inutile,inutil,zadarnic
poder,power,fuerza,pouvoir,energia,poder,putere
ater,land,tierra,atterrir,terra,terra,teren
arbitrariedade,arbitrariness,arbitrariedad,arbitraire,arbitrarieta,arbitrariedade,arbitrariul
objeto,object,objeto,objet,oggetto,obxecto,obiect
medo,fear,miedo,peur,paura,medo,frica
satisfacao,satisfaction,satisfaccion,satisfaction,soddisfazione,satisfaccion,satisfactie
tempo,time,tiempo,temps,tempo,tempo,timp
procrastinador,procrastinator,indeciso,procrastinateur,procrastinatore,procrastinador,procrastinator
mae,mother,madre,mere,madre,nai,mama
deboche,debauchery,libertinaje,debauche,dissolutezza,libertinaxe,depravare
benevolente,benevolent,benevolente,bienveillant,benevolo,benevolente,binevoitor
