es,ro,Alignment Score
completamente,complet,0.06666666666666665
faccion,factiune,0.2857142857142858
aplicabilidad,aplicabilitate,0.14871794871794863
hogar,acasa,0.6799999999999999
si,da,0.8666666666666667
historia,istorie,0.1523809523809525
sonido,sunet,0.5466666666666666
coraje,curaj,0.21333333333333337
diligentemente,cu sarguinta,0.6388888888888888
enganar,insela,0.5888888888888889
pronostico,prognoza,0.3416666666666667
precipitadamente,precipitat,0.05333333333333312
suposicion,presupunere,0.5133333333333334
mitigar,atenua,0.6000000000000001
generalizar,generaliza,0.013333333333333308
mediocre,mediocru,0.1166666666666667
elegibilidad,eligibilitate,0.23888888888888893
formal,formal,0.0
alto,inalt,0.25
escroto,scrot,0.053333333333333344
intrinseco,intrinsec,0.014814814814814725
vil,ticalos,0.4444444444444444
trajes,costume,0.5888888888888889
sarcastico,sarcastic,0.014814814814814725
excepcion,exceptie,0.2416666666666667
independencia,independenta,0.08333333333333337
transgresion,transgresiune,0.0888888888888888
tu,tu,0.0
eco,ecou,0.04444444444444451
diccionario,dictionar,0.12592592592592589
relativo,relativ,0.01904761904761898
invasor,invaziv,0.36190476190476195
condolencias,condoleante,0.24242424242424243
enfasis,accent,0.5777777777777777
insustituible,de neinlocuit,0.517948717948718
inmanente,imanent,0.03809523809523818
mi,ale mele,0.7000000000000001
afan,nerabdare,0.5666666666666667
indecible,de nespus,0.562962962962963
futil,zadarnic,0.7333333333333334
fuerza,putere,0.4555555555555556
tierra,teren,0.3733333333333334
arbitrariedad,arbitrariul,0.16969696969696957
objeto,obiect,0.3111111111111112
miedo,frica,0.6933333333333334
satisfaccion,satisfactie,0.17575757575757567
tiempo,timp,0.06666666666666676
indeciso,procrastinator,0.5833333333333333
madre,mama,0.45000000000000007
libertinaje,depravare,0.5037037037037038
benevolente,binevoitor,0.3666666666666667
eximir,scuti,0.6933333333333334
terrateniente,proprietar de teren,0.4410256410256411
apodo,porecla,0.5466666666666666
reminiscencia,reminiscenta,0.08333333333333337
sonido,sunet,0.5466666666666666
respeto,respect,0.13333333333333341
caracteristica,caracteristica,0.0
enfocar,se concentreze,0.4666666666666667
estratificacion,stratificare,0.16666666666666652
importante,relevante,0.3851851851851852
proceso,proces,0.022222222222222143
a menudo,de multe ori,0.4833333333333334
malo,rau,0.6444444444444445
legitimidad,legitimitate,0.17575757575757567
litigio,litigii,0.13333333333333341
eficaz,efectiv,0.44444444444444453
cliche,cliseu,0.30000000000000016
adquisicion,achizitie,0.5185185185185186
indiferente,indiferent,0.013333333333333308
pesar,a cantari,0.5733333333333334
opcional,optional,0.1166666666666667
acondicionamiento,conditionare,0.19444444444444442
entrega rapida,gata de livrare,0.5428571428571429
sustancial,substantiala,0.12
chica,fata,0.6499999999999999
proselitismo,prozelitism,0.09696969696969693
percepcion,perceptie,0.2148148148148148
deducir,deduce,0.16666666666666663
democratizacion,democratizare,0.1435897435897434
amigable,prietenos,0.6416666666666666
pasable,acceptabil,0.4190476190476191
inventiva,inventivitate,0.0444444444444444
moral,morala,0.026666666666666727
convalecencia,convalescenta,0.1384615384615382
mutual,reciproc,0.8444444444444446
el hizo,el a facut,0.5047619047619049
ser,fiind,0.8888888888888888
sin embargo,cu toate acestea,0.6424242424242423
comprension,intelegere,0.6666666666666667
valiente,neinfricat,0.5583333333333333
el vino,el a venit,0.2952380952380952
impresionante,impresionant,0.011111111111111072
entrada,intrare,0.38095238095238104
ignorante,ignorant,0.016666666666666607
equidad,capitaluri proprii,0.7142857142857143
oportunista,oportunist,0.013333333333333308
genocida,genocid,0.01904761904761898
autentico,autentic,0.016666666666666607
juzgar,a judeca,0.4666666666666667
enfermedad,boala,0.7466666666666668
paz,pace,0.33333333333333337
disponer,dispune,0.1523809523809525
imparcialidad,impartialitate,0.2205128205128204
modesto,modest,0.022222222222222143
itinerario,itinerar,0.025000000000000022
anacronico,anacronic,0.014814814814814725
noya,noia,0.2333333333333334
orgullo,mandrie,0.7238095238095238
tonto,prost,0.5466666666666666
adrede,delibera,0.47777777777777775
prodigio,minune,0.7333333333333334
usar,utilizare,0.33333333333333337
extraordinario,extraordinar,0.016666666666666496
base,baza,0.43333333333333335
factible,fezabil,0.39047619047619053
fragmentacion,fragmentare,0.16969696969696957
pareja,cuplu,0.6933333333333334
ajetreo,agitatie,0.5142857142857143
