en,es,Alignment Score
fully,completamente,0.8
faction,faccion,0.13333333333333341
applicability,aplicabilidad,0.19999999999999984
home,hogar,0.45000000000000007
yes,si,0.5
history,historia,0.1428571428571429
sound,sonido,0.21333333333333337
courage,coraje,0.1777777777777778
diligently,diligentemente,0.19999999999999984
deceive,enganar,0.7047619047619048
prognosis,pronostico,0.2148148148148148
precipitously,precipitadamente,0.33333333333333315
assumption,suposicion,0.34666666666666657
mitigate,mitigar,0.1428571428571429
generalize,generalizar,0.09999999999999987
mediocre,mediocre,0.0
eligibility,elegibilidad,0.24848484848484842
formal,formal,0.0
high,alto,0.8333333333333334
scrotum,escroto,0.2571428571428571
intrinsic,intrinseco,0.11851851851851858
vile,vil,0.04444444444444451
suits,trajes,0.52
sarcastic,sarcastico,0.014814814814814725
exception,excepcion,0.10370370370370374
independence,independencia,0.08333333333333337
transgression,transgresion,0.011111111111111072
you,tu,0.5
echo,eco,0.04444444444444451
dictionary,diccionario,0.19333333333333336
relative,relativo,0.1166666666666667
invasive,invasor,0.2571428571428571
condolences,condolencias,0.09090909090909083
emphasis,enfasis,0.2571428571428571
irreplaceable,insustituible,0.5641025641025641
immanent,inmanente,0.13333333333333341
my,mi,0.4666666666666667
eagerness,afan,0.55
unspeakable,indecible,0.41481481481481475
futile,futil,0.026666666666666727
power,fuerza,0.5333333333333333
land,tierra,0.6833333333333333
arbitrariness,arbitrariedad,0.19999999999999984
object,objeto,0.15555555555555556
fear,miedo,0.6833333333333333
satisfaction,satisfaccion,0.07777777777777772
time,tiempo,0.2666666666666667
procrastinator,indeciso,0.5833333333333333
mother,madre,0.5333333333333333
debauchery,libertinaje,0.6
benevolent,benevolente,0.013333333333333308
exempt,eximir,0.4444444444444444
landowner,terrateniente,0.5259259259259259
nickname,apodo,0.72
reminiscence,reminiscencia,0.08333333333333337
sound,sonido,0.21333333333333337
respect,respeto,0.13333333333333341
feature,caracteristica,0.5714285714285715
focus,enfocar,0.3866666666666667
stratification,estratificacion,0.07619047619047614
relevant,importante,0.45000000000000007
process,proceso,0.13333333333333341
often,a menudo,0.56
bad,malo,0.6444444444444445
legitimacy,legitimidad,0.18666666666666676
litigation,litigio,0.04761904761904767
effective,eficaz,0.4666666666666667
cliche,cliche,0.0
acquisition,adquisicion,0.1696969696969698
indifferent,indiferente,0.08484848484848473
to weight,pesar,0.7466666666666667
optional,opcional,0.1166666666666667
conditioning,acondicionamiento,0.19999999999999996
ready-delivery,entrega rapida,0.5952380952380953
substantial,sustancial,0.1066666666666668
girl,chica,0.6833333333333333
proselytism,proselitismo,0.09696969696969693
perception,percepcion,0.09333333333333338
deduce,deducir,0.16666666666666663
democratization,democratizacion,0.06222222222222218
friendly,amigable,0.6333333333333333
passable,pasable,0.01904761904761898
resourcefulness,inventiva,0.7037037037037037
moral,moral,0.0
convalescence,convalecencia,0.1384615384615382
mutual,mutual,0.0
he did,el hizo,0.47777777777777775
being,ser,0.6666666666666667
nevertheless,sin embargo,0.6242424242424243
understanding,comprension,0.5575757575757576
fearless,valiente,0.5416666666666667
he came,el vino,0.6095238095238096
impressive,impresionante,0.19999999999999996
entry,entrada,0.21333333333333337
ignorant,ignorante,0.016666666666666607
equity,equidad,0.30000000000000016
opportunist,oportunista,0.08484848484848473
genocidal,genocida,0.016666666666666607
authentic,autentico,0.10370370370370374
to judge,juzgar,0.47777777777777775
ailment,enfermedad,0.6285714285714286
peace,paz,0.37777777777777777
dispose,disponer,0.1523809523809525
impartiality,imparcialidad,0.22777777777777763
modest,modesto,0.022222222222222143
itinerary,itinerario,0.11111111111111116
anachronistic,anacronico,0.11999999999999988
noia,noya,0.2333333333333334
pride,orgullo,0.72
fool,tonto,0.4833333333333334
deliberate,adrede,0.48888888888888893
prodigy,prodigio,0.1428571428571429
use,usar,0.33333333333333337
extraordinary,extraordinario,0.07692307692307687
base,base,0.0
feasible,factible,0.22499999999999998
fragmentation,fragmentacion,0.07179487179487176
couple,pareja,0.5777777777777777
hustle,ajetreo,0.6000000000000001
