pt,fr,Alignment Score
integralmente,pleinement,0.28666666666666674
faccao,faction,0.3111111111111112
aplicabilidade,applicabilite,0.1435897435897434
lar,maison,0.6888888888888889
sim,oui,0.6000000000000001
historia,histoire,0.22499999999999998
som,son,0.3111111111111111
coragem,courage,0.13333333333333341
diligentemente,avec diligence,0.3571428571428571
ludibriar,tromper,0.6285714285714286
prognostico,pronostic,0.02962962962962956
precipuamente,precipitamment,0.14871794871794863
pressuposto,hypothese,0.5851851851851853
mitigar,attenuer,0.6
generalizar,generaliser,0.1575757575757576
mediocre,mediocre,0.0
elegibilidade,admissibilite,0.45128205128205134
formal,officiel,0.5888888888888889
alta,haut,0.4666666666666667
escroto,scrotum,0.2571428571428571
intrinseca,intrinseque,0.17999999999999994
vil,vil,0.0
convem,costumes,0.4555555555555556
sarcastico,sarcastique,0.17999999999999994
excecao,exception,0.2761904761904763
independencia,independance,0.16111111111111098
transgressao,transgression,0.0888888888888888
voce,toi,0.6444444444444445
eco,echo,0.04444444444444451
dicionario,dictionnaire,0.20666666666666678
relativo,relatif,0.1428571428571429
invasivo,envahissant,0.4666666666666668
condolencias,condoleances,0.1499999999999999
enfase,accent,0.5666666666666667
insubstituivel,irremplacable,0.641025641025641
imanente,immanent,0.1166666666666667
meu,mon,0.5777777777777777
ansia,ardeur,0.6799999999999999
inenarravel,indicible,0.5629629629629631
futil,futile,0.026666666666666727
poder,pouvoir,0.3733333333333334
ater,atterrir,0.10000000000000009
arbitrariedade,arbitraire,0.11999999999999988
objeto,objet,0.026666666666666727
medo,peur,0.6666666666666667
satisfacao,satisfaction,0.11333333333333329
tempo,temps,0.18666666666666676
procrastinador,procrastinateur,0.12857142857142834
mae,mere,0.33333333333333337
deboche,debauche,0.1428571428571429
benevolente,bienveillant,0.3272727272727274
eximir,exempter,0.33333333333333337
latifundiario,proprietaires,0.6461538461538462
alcunha,surnom,0.6000000000000001
reminiscencia,reminiscence,0.08333333333333337
soar,son,0.33333333333333337
respeito,respect,0.1523809523809525
caracteristica,fonctionnalite,0.5952380952380952
foco,se concentrer,0.6000000000000001
estratificacao,stratification,0.19047619047619035
relevante,pertinent,0.4740740740740741
processo,processus,0.125
frequentemente,souvent,0.4476190476190477
mal,mauvais,0.4
legitimidade,legitimite,0.10666666666666669
contencioso,litige,0.6333333333333333
eficaz,efficace,0.18888888888888888
cliche,cliche,0.0
aquisicao,acquisition,0.2222222222222222
indiferente,indifferent,0.08484848484848473
pesar,peser,0.18666666666666676
facultativo,facultatif,0.09999999999999987
condicionado,conditionnement,0.30555555555555547
pronta-entrega,pret a etre livre,0.39523809523809517
substancial,substantiel,0.1696969696969698
rapariga,fille,0.7333333333333334
proselitismo,proselytisme,0.15555555555555545
percepcao,perception,0.20740740740740748
depreender,deduire,0.40000000000000013
democratizacao,democratisation,0.195238095238095
cordial,amical,0.43333333333333335
passivel,passable,0.3250000000000002
desenvoltura,ingeniosite,0.5636363636363637
moral,morale,0.026666666666666727
convalescenca,convalescence,0.07179487179487176
mutua,mutuel,0.19999999999999996
fez,il a fait,0.7333333333333334
ente,etre,0.2333333333333334
obstante,neanmoins,0.6333333333333333
compreensao,comprehension,0.1090909090909089
impavido,intrepide,0.45000000000000007
veio,il est venu,0.5666666666666667
impressionante,impressionnant,0.06666666666666665
verbete,entree,0.3222222222222223
ignorante,ignorant,0.016666666666666607
equidade,equite,0.1777777777777778
oportunista,opportuniste,0.09696969696969682
genocida,genocidaire,0.033333333333333215
autentico,authentique,0.21481481481481468
julgar,juger,0.21333333333333337
mazela,maladie,0.30000000000000004
paz,paix,0.33333333333333337
dispor,disposer,0.03333333333333344
imparcialidade,impartialite,0.16666666666666652
modesto,modeste,0.13333333333333341
itinerario,itineraire,0.17999999999999994
anacronico,anachronique,0.19333333333333325
noia,noia,0.0
orgulho,fierte,0.7222222222222222
tolo,idiot,0.6500000000000001
deliberar,volontaire,0.5777777777777777
prodigio,prodige,0.1428571428571429
uso,utiliser,0.4444444444444444
extraordinaria,extraordinaire,0.12857142857142834
base,base,0.0
exequivel,realisable,0.5851851851851853
fragmentacao,fragmentation,0.15555555555555545
casal,couple,0.5333333333333333
afa,agitation,0.4666666666666667
