en,ro,Alignment Score
fully,complet,0.72
faction,factiune,0.1523809523809525
applicability,aplicabilitate,0.1435897435897434
home,acasa,0.85
yes,da,0.9
history,istorie,0.2571428571428571
sound,sunet,0.3600000000000001
courage,curaj,0.2266666666666668
diligently,cu sarguinta,0.6066666666666667
deceive,insela,0.5888888888888889
prognosis,prognoza,0.22499999999999998
precipitously,precipitat,0.19333333333333325
assumption,presupunere,0.5266666666666666
mitigate,atenua,0.4444444444444444
generalize,generaliza,0.09333333333333327
mediocre,mediocru,0.1166666666666667
eligibility,eligibilitate,0.09696969696969682
formal,formal,0.0
high,inalt,0.6666666666666667
scrotum,scrot,0.039999999999999925
intrinsic,intrinsec,0.10370370370370374
vile,ticalos,0.5333333333333334
suits,costume,0.56
sarcastic,sarcastic,0.0
exception,exceptie,0.125
independence,independenta,0.14444444444444438
transgression,transgresiune,0.1435897435897434
you,tu,0.5
echo,ecou,0.2333333333333334
dictionary,dictionar,0.014814814814814725
relative,relativ,0.01904761904761898
invasive,invaziv,0.1523809523809525
condolences,condoleante,0.1696969696969698
emphasis,accent,0.7222222222222222
irreplaceable,de neinlocuit,0.6512820512820513
immanent,imanent,0.01904761904761898
my,ale mele,0.7000000000000001
eagerness,nerabdare,0.4814814814814815
unspeakable,de nespus,0.5851851851851853
futile,zadarnic,0.7333333333333334
power,putere,0.3733333333333334
land,teren,0.6666666666666667
arbitrariness,arbitrariul,0.16969696969696957
object,obiect,0.15555555555555556
fear,frica,0.45000000000000007
satisfaction,satisfactie,0.09090909090909083
time,timp,0.2333333333333334
procrastinator,procrastinator,0.0
mother,mama,0.6666666666666667
debauchery,depravare,0.48888888888888904
benevolent,binevoitor,0.3533333333333334
exempt,scuti,0.6933333333333334
landowner,proprietar de teren,0.5703703703703704
nickname,porecla,0.6285714285714286
reminiscence,reminiscenta,0.14444444444444438
sound,sunet,0.3600000000000001
respect,respect,0.0
feature,caracteristica,0.5714285714285715
focus,se concentreze,0.6666666666666667
stratification,stratificare,0.15555555555555545
relevant,relevante,0.016666666666666607
process,proces,0.022222222222222143
often,de multe ori,0.6266666666666667
bad,rau,0.6222222222222222
legitimacy,legitimitate,0.19333333333333325
litigation,litigii,0.17142857142857149
effective,efectiv,0.03809523809523818
cliche,cliseu,0.30000000000000016
acquisition,achizitie,0.32592592592592595
indifferent,indiferent,0.013333333333333308
to weight,a cantari,0.6518518518518519
optional,optional,0.0
conditioning,conditionare,0.21111111111111092
ready-delivery,gata de livrare,0.4380952380952381
substantial,substantiala,0.012121212121212088
girl,fata,0.8333333333333334
proselytism,prozelitism,0.1696969696969698
perception,perceptie,0.11111111111111116
deduce,deduce,0.0
democratization,democratizare,0.1435897435897434
friendly,prietenos,0.45000000000000007
passable,acceptabil,0.45833333333333337
resourcefulness,inventivitate,0.6512820512820513
moral,morala,0.026666666666666727
convalescence,convalescenta,0.1333333333333332
mutual,reciproc,0.8444444444444446
he did,el a facut,0.6222222222222222
being,fiind,0.5333333333333333
nevertheless,cu toate acestea,0.5944444444444446
understanding,intelegere,0.6
fearless,neinfricat,0.6500000000000001
he came,el a venit,0.4285714285714286
impressive,impresionant,0.2733333333333332
entry,intrare,0.40000000000000013
ignorant,ignorant,0.0
equity,capitaluri proprii,0.711111111111111
opportunist,oportunist,0.013333333333333308
genocidal,genocid,0.028571428571428692
authentic,autentic,0.016666666666666607
to judge,a judeca,0.33333333333333337
ailment,boala,0.56
peace,pace,0.033333333333333326
dispose,dispune,0.24761904761904763
impartiality,impartialitate,0.0888888888888888
modest,modest,0.0
itinerary,itinerar,0.016666666666666607
anachronistic,anacronic,0.0444444444444444
noia,noia,0.0
pride,mandrie,0.3866666666666667
fool,prost,0.6833333333333333
deliberate,delibera,0.025000000000000022
prodigy,minune,0.7222222222222222
use,utilizare,0.4444444444444444
extraordinary,extraordinar,0.011111111111111072
base,baza,0.43333333333333335
feasible,fezabil,0.2761904761904763
fragmentation,fragmentare,0.16969696969696957
couple,cuplu,0.21333333333333337
hustle,agitatie,0.6000000000000001
