pt,es,Alignment Score
integralmente,completamente,0.3897435897435897
faccao,faccion,0.1777777777777778
aplicabilidade,aplicabilidad,0.01025641025641022
lar,hogar,0.3555555555555556
sim,si,0.06666666666666676
historia,historia,0.0
som,sonido,0.37777777777777777
coragem,coraje,0.1777777777777778
diligentemente,diligentemente,0.0
ludibriar,enganar,0.6095238095238096
prognostico,pronostico,0.013333333333333308
precipuamente,precipitadamente,0.08717948717948709
pressuposto,suposicion,0.3533333333333334
mitigar,mitigar,0.0
generalizar,generalizar,0.0
mediocre,mediocre,0.0
elegibilidade,elegibilidad,0.011111111111111072
formal,formal,0.0
alta,alto,0.2333333333333334
escroto,escroto,0.0
intrinseca,intrinseco,0.09333333333333327
vil,vil,0.0
convem,trajes,0.7111111111111111
sarcastico,sarcastico,0.0
excecao,excepcion,0.17142857142857149
independencia,independencia,0.0
transgressao,transgresion,0.1499999999999999
voce,tu,0.9333333333333333
eco,eco,0.0
dicionario,diccionario,0.013333333333333308
relativo,relativo,0.0
invasivo,invasor,0.1428571428571429
condolencias,condolencias,0.0
enfase,enfasis,0.16666666666666663
insubstituivel,insustituible,0.14871794871794863
imanente,inmanente,0.016666666666666607
meu,mi,0.5
ansia,afan,0.45000000000000007
inenarravel,indecible,0.48888888888888893
futil,futil,0.0
poder,fuerza,0.5333333333333333
ater,tierra,0.28333333333333355
arbitrariedade,arbitrariedad,0.01025641025641022
objeto,objeto,0.0
medo,miedo,0.033333333333333326
satisfacao,satisfaccion,0.11333333333333329
tempo,tiempo,0.026666666666666727
procrastinador,indeciso,0.4833333333333334
mae,madre,0.06666666666666665
deboche,libertinaje,0.6476190476190475
benevolente,benevolente,0.0
eximir,eximir,0.0
latifundiario,terrateniente,0.5897435897435899
alcunha,apodo,0.6933333333333334
reminiscencia,reminiscencia,0.0
soar,sonido,0.4666666666666667
respeito,respeto,0.01904761904761898
caracteristica,caracteristica,0.0
foco,enfocar,0.30000000000000016
estratificacao,estratificacion,0.07619047619047614
relevante,importante,0.3851851851851852
processo,proceso,0.01904761904761898
frequentemente,a menudo,0.5833333333333333
mal,malo,0.04444444444444451
legitimidade,legitimidad,0.012121212121212088
contencioso,litigio,0.5428571428571429
eficaz,eficaz,0.0
cliche,cliche,0.0
aquisicao,adquisicion,0.13333333333333341
indiferente,indiferente,0.0
pesar,pesar,0.0
facultativo,opcional,0.5666666666666667
condicionado,acondicionamiento,0.11111111111111094
pronta-entrega,entrega rapida,0.4095238095238094
substancial,sustancial,0.013333333333333308
rapariga,chica,0.5733333333333333
proselitismo,proselitismo,0.0
percepcao,percepcion,0.11851851851851858
depreender,deducir,0.40000000000000013
democratizacao,democratizacion,0.07619047619047614
cordial,amigable,0.5142857142857143
passivel,pasable,0.38095238095238104
desenvoltura,inventiva,0.49629629629629635
moral,moral,0.0
convalescenca,convalecencia,0.07179487179487176
mutua,mutual,0.026666666666666727
fez,el hizo,0.4222222222222223
ente,ser,0.6222222222222222
obstante,sin embargo,0.575
compreensao,comprension,0.1696969696969698
impavido,valiente,0.6333333333333333
veio,el vino,0.29999999999999993
impressionante,impresionante,0.01025641025641022
verbete,entrada,0.6095238095238096
ignorante,ignorante,0.0
equidade,equidad,0.01904761904761898
oportunista,oportunista,0.0
genocida,genocida,0.0
autentico,autentico,0.0
julgar,juzgar,0.15555555555555556
mazela,enfermedad,0.5
paz,paz,0.0
dispor,disponer,0.03333333333333344
imparcialidade,imparcialidad,0.01025641025641022
modesto,modesto,0.0
itinerario,itinerario,0.0
anacronico,anacronico,0.0
noia,noya,0.2333333333333334
orgulho,orgullo,0.13333333333333341
tolo,tonto,0.25
deliberar,adrede,0.48888888888888893
prodigio,prodigio,0.0
uso,usar,0.33333333333333337
extraordinaria,extraordinario,0.06666666666666665
base,base,0.0
exequivel,factible,0.6499999999999999
fragmentacao,fragmentacion,0.0888888888888888
casal,pareja,0.56
afa,ajetreo,0.6666666666666667
