es,gl,Alignment Score
completamente,plenamente,0.12
faccion,faccion,0.0
aplicabilidad,aplicabilidade,0.01025641025641022
hogar,casa,0.6666666666666667
si,si,0.0
historia,historia,0.0
sonido,son,0.08888888888888902
coraje,coraxe,0.15555555555555556
diligentemente,con dilixencia,0.4809523809523808
enganar,enganar,0.0
pronostico,prognostico,0.013333333333333308
precipitadamente,precipitadamente,0.0
suposicion,suposicion,0.0
mitigar,mitigar,0.0
generalizar,xeneralizar,0.08484848484848484
mediocre,mediocres,0.016666666666666607
elegibilidad,elegibilidade,0.011111111111111072
formal,formais,0.16666666666666663
alto,alto,0.0
escroto,escroto,0.0
intrinseco,intrinseca,0.09333333333333327
vil,vil,0.0
trajes,traxes,0.15555555555555556
sarcastico,sarcastico,0.0
excepcion,excepcion,0.0
independencia,independencia,0.0
transgresion,transgresion,0.0
tu,ti,0.4666666666666667
eco,eco,0.0
diccionario,dicionario,0.013333333333333308
relativo,achegada,0.6416666666666666
invasor,invasivo,0.1428571428571429
condolencias,condolencias,0.0
enfasis,enfase,0.16666666666666663
insustituible,insubstituible,0.01025641025641022
inmanente,inmanente,0.0
mi,meu,0.5
afan,afan,0.0
indecible,indicible,0.10370370370370374
futil,inutil,0.19999999999999996
fuerza,poder,0.5333333333333333
tierra,terra,0.026666666666666727
arbitrariedad,arbitrariedade,0.01025641025641022
objeto,obxecto,0.1777777777777777
miedo,medo,0.033333333333333326
satisfaccion,satisfaccion,0.0
tiempo,tempo,0.026666666666666727
indeciso,procrastinador,0.4833333333333334
madre,nai,0.6666666666666667
libertinaje,libertinaxe,0.08484848484848473
benevolente,benevolente,0.0
eximir,exentos,0.5666666666666667
terrateniente,terratenente,0.011111111111111072
apodo,alcume,0.6799999999999999
reminiscencia,reminiscencia,0.0
sonido,son,0.08888888888888902
respeto,respecto,0.01904761904761898
caracteristica,caracteristica,0.0
enfocar,foco,0.30000000000000016
estratificacion,estratificacion,0.0
importante,relevantes,0.42666666666666664
proceso,proceso,0.0
a menudo,moitas veces,0.5833333333333333
malo,malo,0.0
legitimidad,lexitimidade,0.09696969696969693
litigio,litixio,0.13333333333333341
eficaz,eficaz,0.0
cliche,cliche,0.0
adquisicion,adquisicion,0.0
indiferente,indiferente,0.0
pesar,a peso,0.3733333333333334
opcional,opcional,0.0
acondicionamiento,condicionamento,0.01777777777777767
entrega rapida,listo para entrega,0.4285714285714285
sustancial,substancial,0.013333333333333308
chica,rapaza,0.6799999999999999
proselitismo,proselitismo,0.0
percepcion,percepcion,0.0
deducir,deducir,0.0
democratizacion,democratizacion,0.0
amigable,amigable,0.0
pasable,transitable,0.19047619047619047
inventiva,ingenio,0.2952380952380952
moral,moral,0.0
convalecencia,convalecencia,0.0
mutual,mutuo,0.19999999999999996
el hizo,fixo,0.5166666666666666
ser,sendo,0.3555555555555556
sin embargo,con todo,0.5583333333333333
comprension,comprension,0.0
valiente,sen medo,0.5416666666666667
el vino,el veu,0.30000000000000016
impresionante,impresionante,0.0
entrada,entrada,0.0
ignorante,ignorante,0.0
equidad,equidade,0.01904761904761898
oportunista,oportunista,0.0
genocida,xenocida,0.1166666666666667
autentico,autentico,0.0
juzgar,para xulgar,0.3666666666666667
enfermedad,doenza,0.48888888888888893
paz,paz,0.0
disponer,dispor,0.03333333333333344
imparcialidad,imparcialidade,0.01025641025641022
modesto,modesto,0.0
itinerario,itinerario,0.0
anacronico,anacronico,0.0
noya,noia,0.2333333333333334
orgullo,orgullo,0.0
tonto,parvo,0.6666666666666667
adrede,deliberado,0.5
prodigio,prodixio,0.1166666666666667
usar,usar,0.0
extraordinario,extraordinario,0.0
base,base,0.0
factible,factible,0.0
fragmentacion,fragmentacion,0.0
pareja,parella,0.16666666666666663
ajetreo,axitacion,0.5238095238095238
