pt,en,Alignment Score
integralmente,fully,0.8
faccao,faction,0.3111111111111112
aplicabilidade,applicability,0.20512820512820495
lar,home,0.8666666666666667
sim,yes,0.5777777777777777
historia,history,0.1428571428571429
som,sound,0.3555555555555556
coragem,courage,0.13333333333333341
diligentemente,diligently,0.19999999999999984
ludibriar,deceive,0.6285714285714286
prognostico,prognosis,0.12592592592592589
precipuamente,precipitously,0.38461538461538447
pressuposto,assumption,0.3666666666666667
mitigar,mitigate,0.1428571428571429
generalizar,generalize,0.09999999999999987
mediocre,mediocre,0.0
elegibilidade,eligibility,0.2545454545454545
formal,formal,0.0
alta,high,0.8333333333333334
escroto,scrotum,0.2571428571428571
intrinseca,intrinsic,0.11851851851851858
vil,vile,0.04444444444444451
convem,suits,0.8400000000000001
sarcastico,sarcastic,0.014814814814814725
excecao,exception,0.2761904761904763
independencia,independence,0.08333333333333337
transgressao,transgression,0.0888888888888888
voce,you,0.6444444444444445
eco,echo,0.04444444444444451
dicionario,dictionary,0.17999999999999994
relativo,relative,0.1166666666666667
invasivo,invasive,0.1166666666666667
condolencias,condolences,0.09090909090909083
enfase,emphasis,0.4666666666666667
insubstituivel,irreplaceable,0.641025641025641
imanente,immanent,0.1166666666666667
meu,my,0.5
ansia,eagerness,0.42666666666666664
inenarravel,unspeakable,0.49090909090909096
futil,futile,0.026666666666666727
poder,power,0.18666666666666676
ater,land,0.6500000000000001
arbitrariedade,arbitrariness,0.20512820512820495
objeto,object,0.15555555555555556
medo,fear,0.6666666666666667
satisfacao,satisfaction,0.11333333333333329
tempo,time,0.45000000000000007
procrastinador,procrastinator,0.06666666666666665
mae,mother,0.3999999999999999
deboche,debauchery,0.17142857142857149
benevolente,benevolent,0.013333333333333308
eximir,exempt,0.4444444444444444
latifundiario,landowner,0.40740740740740744
alcunha,nickname,0.5238095238095238
reminiscencia,reminiscence,0.08333333333333337
soar,sound,0.45000000000000007
respeito,respect,0.1523809523809525
caracteristica,feature,0.5714285714285715
foco,focus,0.25
estratificacao,stratification,0.19047619047619035
relevante,relevant,0.016666666666666607
processo,process,0.01904761904761898
frequentemente,often,0.33333333333333337
mal,bad,0.6222222222222222
legitimidade,legitimacy,0.19333333333333325
contencioso,litigation,0.6
eficaz,effective,0.4666666666666667
cliche,cliche,0.0
aquisicao,acquisition,0.2222222222222222
indiferente,indifferent,0.08484848484848473
pesar,to weight,0.7466666666666667
facultativo,optional,0.5583333333333333
condicionado,conditioning,0.28888888888888886
pronta-entrega,ready-delivery,0.5523809523809524
substancial,substantial,0.08484848484848484
rapariga,girl,0.7166666666666668
proselitismo,proselytism,0.09696969696969693
percepcao,perception,0.20740740740740748
depreender,deduce,0.34444444444444455
democratizacao,democratization,0.1333333333333332
cordial,friendly,0.5142857142857143
passivel,passable,0.3250000000000002
desenvoltura,resourcefulness,0.5166666666666667
moral,moral,0.0
convalescenca,convalescence,0.07179487179487176
mutua,mutual,0.026666666666666727
fez,he did,0.6888888888888889
ente,being,0.4833333333333334
obstante,nevertheless,0.5666666666666667
compreensao,understanding,0.6303030303030304
impavido,fearless,0.7333333333333334
veio,he came,0.7
impressionante,impressive,0.11999999999999988
verbete,entry,0.56
ignorante,ignorant,0.016666666666666607
equidade,equity,0.3111111111111112
oportunista,opportunist,0.08484848484848473
genocida,genocidal,0.016666666666666607
autentico,authentic,0.10370370370370374
julgar,to judge,0.47777777777777775
mazela,ailment,0.5888888888888889
paz,peace,0.37777777777777777
dispor,dispose,0.16666666666666663
imparcialidade,impartiality,0.23333333333333317
modesto,modest,0.022222222222222143
itinerario,itinerary,0.11111111111111116
anacronico,anachronistic,0.11999999999999988
noia,noia,0.0
orgulho,pride,0.72
tolo,fool,0.45000000000000007
deliberar,deliberate,0.11111111111111116
prodigio,prodigy,0.1428571428571429
uso,use,0.3111111111111111
extraordinaria,extraordinary,0.07692307692307687
base,base,0.0
exequivel,feasible,0.5583333333333333
fragmentacao,fragmentation,0.15555555555555545
casal,couple,0.5333333333333333
afa,hustle,0.9111111111111111
