it,ro,Alignment Score
magniloquente,grandilocvent,0.3384615384615385
ovvero,aka,0.9111111111111111
diversita,diversitate,0.022222222222222143
trasformazione,transformare,0.16111111111111098
parzialita,partinire,0.40740740740740744
vagabondo,vagabond,0.016666666666666607
comorbilita,comorbiditate,0.10303030303030303
egida,egida,0.0
cio nonostante,cu toate acestea,0.4571428571428572
corollario,corolar,0.04761904761904767
in,in,0.0
contenuto,continut,0.13333333333333341
sezione,sectiune,0.2761904761904762
interlocutore,interlocutor,0.011111111111111072
prodigo,risipitor,0.5238095238095238
intrinseco,intrinsec,0.014814814814814725
ninfomane,nimfoman,0.13333333333333341
serenita,seninatate,0.24166666666666659
complicita,complicitate,0.019999999999999907
atroce,atroce,0.0
inserimento,inserare,0.25
strano,ciudat,0.7
discriminazione,discriminare,0.09444444444444422
di valore,in valoare de,0.14814814814814814
discrezionale,discretionara,0.20512820512820507
verbosita,verbiaj,0.161904761904762
discernimento,discernamant,0.16666666666666663
dio,dumnezeu,0.6888888888888889
indubitabile,indubitabil,0.012121212121212088
ricambio,de rezerva,0.6499999999999999
sottovalutare,subestima,0.5037037037037038
boia,calau,0.6666666666666667
reciprocita,reciprocitate,0.018181818181817966
lui,-l,0.5
perfezionista,perfectionist,0.1384615384615384
ruolo,rol,0.08888888888888902
saluto,salut,0.026666666666666727
congratulazioni,felicitari,0.5533333333333335
cattivo,obraznic,0.638095238095238
ambiguo,ambiguu,0.13333333333333341
ribadire,reitereaza,0.45000000000000007
una precisazione,clarificare,0.5151515151515151
anima,suflet,0.8400000000000001
bello,frumos,0.6933333333333334
bene,bun,0.3555555555555556
disprezzo,dispret,0.1523809523809524
interesse,interes,0.028571428571428692
tangente,tange,0.05333333333333323
nuovo,nou,0.3555555555555555
longanime,indelung rabdator,0.5481481481481483
impetuoso,impetuos,0.016666666666666607
fortemente,puternic,0.5666666666666667
bizzarro,bizar,0.06666666666666665
convenienza,comoditatea,0.4606060606060607
impersonalita,impersonalitate,0.015384615384615219
incredibile,incredibil,0.013333333333333308
generico,generic,0.01904761904761898
conoscenza,cunostinte,0.43333333333333346
avere,a avea,0.3733333333333334
firmatario,semnatar,0.3500000000000001
danno,in detriment,0.64
successivo,ulterior,0.475
atto,act,0.33333333333333337
professionale,profesional,0.024242424242424176
molto,foarte,0.5733333333333334
dissoluto,disolut,0.03809523809523818
non darmi,nu-mi da,0.43333333333333335
recalcitrante,recalcitrant,0.011111111111111072
possibilmente,eventual,0.575
differito,amanata,0.7428571428571429
limitare,restrange,0.5416666666666667
incommensurabile,nemasurata,0.4
sapienza,intelepciune,0.575
percio,prin urmare,0.5000000000000001
sinonimo,sinonim,0.01904761904761898
contestualizzare,contextualizati,0.18666666666666643
sanita mentale,sanatate psihica,0.43333333333333324
sovversivo,subversiv,0.20740740740740748
malinconia,melancolie,0.36
permissivita,permisivitatea,0.0888888888888888
arrogante,arogant,0.03809523809523818
incirconciso,necircumcis,0.2545454545454545
periodo d'oro,ziua de glorie,0.5384615384615384
innocuo,inofensiv,0.49523809523809537
lusingato,flatat,0.47777777777777775
stile ecclesiale,stilul eclesial,0.12888888888888883
meticoloso,meticulos,0.11851851851851858
benevolenza,bunavointa,0.3800000000000001
egemonia,hegemonie,0.13333333333333341
stigma,stigmatizarea,0.08888888888888857
retorica,retorica,0.0
implicito,implicit,0.016666666666666607
nave,nava,0.2333333333333334
infame,infam,0.026666666666666727
importante,important,0.014814814814814725
avidita,lacomie,0.6190476190476191
credere,crede,0.039999999999999925
intersezione,intersectie,0.1696969696969698
analogico,analogic,0.016666666666666607
clausura,claustrala,0.1416666666666666
endemico,endemice,0.1166666666666667
pazienza,rabdare,0.6285714285714286
analogia,analogie,0.1166666666666667
fornire,oferi,0.4
dissolutezza,depravare,0.5851851851851853
intolleranza,intoleranta,0.09696969696969682
giusto,jus,0.3999999999999999
spirito,spirit,0.022222222222222143
la zona,zona,0.06666666666666676
signore,domnule,0.6095238095238096
intuizione,perspicacitate,0.6133333333333333
procacciatore d'affari,intermediar,0.4181818181818183
legge,lege,0.033333333333333326
zoppo,schiop,0.5333333333333333
modestia,modestie,0.1166666666666667
esilio,exil,0.28333333333333355
opportunita,oportunitate,0.09090909090909083
amore,dragoste,0.42666666666666664
carattere,caracter,0.13333333333333341
