it,gl,Alignment Score
magniloquente,grandilocuente,0.2153846153846154
ovvero,tamen conecido como,0.6000000000000001
diversita,diversidade,0.12592592592592589
trasformazione,transformacion,0.1333333333333332
parzialita,parcialidade,0.20666666666666678
vagabondo,vagabundo,0.10370370370370374
comorbilita,comorbilidade,0.10303030303030292
egida,exido,0.3733333333333334
cio nonostante,con todo,0.40000000000000013
corollario,corolario,0.014814814814814725
in,en,0.4666666666666667
contenuto,contido,0.2666666666666667
sezione,seccion,0.2571428571428571
interlocutore,interlocutor,0.011111111111111072
prodigo,prodigo,0.0
intrinseco,intrinseca,0.09333333333333327
ninfomane,ninfomana,0.10370370370370374
serenita,serenidade,0.1416666666666666
complicita,complicidade,0.11333333333333329
atroce,atroz,0.19999999999999996
inserimento,insercion,0.21481481481481468
strano,estrano,0.022222222222222143
discriminazione,discriminacion,0.07619047619047614
di valore,vale,0.1166666666666667
discrezionale,discrecional,0.08888888888888902
verbosita,verborrea,0.28148148148148144
discernimento,discernimento,0.0
dio,deus,0.6000000000000001
indubitabile,indubidable,0.09696969696969704
ricambio,recambio,0.1166666666666667
sottovalutare,subestimar,0.44666666666666666
boia,verdugo,0.7
reciprocita,reciprocidade,0.10303030303030292
lui,el,0.5
perfezionista,perfeccionista,0.07692307692307687
ruolo,papel,0.6799999999999999
saluto,saudo,0.21333333333333337
congratulazioni,parabens,0.6083333333333334
cattivo,impertinente,0.6571428571428571
ambiguo,ambiguo,0.0
ribadire,reiterar,0.44166666666666676
una precisazione,aclaracion,0.40666666666666673
anima,alma,0.25
bello,fermosa,0.5733333333333334
bene,bo,0.5333333333333334
disprezzo,desprezo,0.13333333333333341
interesse,interese,0.016666666666666607
tangente,tanxe,0.2266666666666668
nuovo,novo,0.033333333333333326
longanime,longa paciencia,0.25185185185185177
impetuoso,impetuoso,0.0
fortemente,fortemente,0.0
bizzarro,estrano,0.6095238095238096
convenienza,conveniencia,0.09090909090909083
impersonalita,impersonalidade,0.08717948717948698
incredibile,incrible,0.04166666666666663
generico,xenerico,0.1166666666666667
conoscenza,conecemento,0.3599999999999999
avere,ter,0.37777777777777777
firmatario,asinante,0.575
danno,prexuizo,0.7066666666666668
successivo,posterior,0.5037037037037038
atto,actuar,0.4833333333333334
professionale,profesional,0.024242424242424176
molto,moi,0.3555555555555555
dissoluto,disolutamente,0.22962962962962952
non darmi,non me deas,0.311111111111111
recalcitrante,recalcitrante,0.0
possibilmente,posiblemente,0.08888888888888902
differito,aprazado,0.625
limitare,restrinxir,0.5666666666666667
incommensurabile,inconmensurable,0.07111111111111112
sapienza,sapiencia,0.125
percio,polo tanto,0.6
sinonimo,sinonimo,0.0
contestualizzare,contextualizar,0.08571428571428563
sanita mentale,cordura,0.780952380952381
sovversivo,subversivo,0.17333333333333334
malinconia,melancolia,0.2666666666666667
permissivita,permisividade,0.16111111111111098
arrogante,arrogante,0.0
incirconciso,incircunciso,0.07777777777777772
periodo d'oro,apoxeo,0.5111111111111111
innocuo,inocuo,0.022222222222222143
lusingato,halagado,0.45000000000000007
stile ecclesiale,estilo eclesial,0.1333333333333333
meticoloso,meticuloso,0.09333333333333338
benevolenza,benevolencia,0.09090909090909083
egemonia,hexemonia,0.1333333333333333
stigma,estigma,0.022222222222222143
retorica,retorica,0.0
implicito,implicito,0.0
nave,barco,0.6833333333333333
infame,infame,0.0
importante,importante,0.0
avidita,cobiza,0.5888888888888888
credere,crer,0.08333333333333337
intersezione,interseccion,0.1499999999999999
analogico,analoxico,0.10370370370370374
clausura,claustral,0.13333333333333341
endemico,endemica,0.1166666666666667
pazienza,paciencia,0.2416666666666667
analogia,analoxia,0.1166666666666667
fornire,proporcionar,0.4476190476190476
dissolutezza,libertinaxe,0.6181818181818182
intolleranza,intolerancia,0.1499999999999999
giusto,xus,0.3999999999999999
spirito,enxeno,0.7
la zona,area,0.5
signore,senor,0.22666666666666668
intuizione,perspicacia,0.6799999999999999
procacciatore d'affari,intermediario,0.40512820512820524
legge,lei,0.3555555555555555
zoppo,coxo,0.4833333333333334
modestia,modestia,0.0
esilio,exilio,0.15555555555555556
opportunita,oportunidade,0.17575757575757578
amore,amor,0.033333333333333326
carattere,personaxe,0.5555555555555556
