pt,it,Alignment Score
grandiloquente,magniloquente,0.14358974358974363
vulgo,ovvero,0.5333333333333333
diversidade,diversita,0.12592592592592589
transformacao,trasformazione,0.21025641025641006
parcialidade,parzialita,0.20666666666666678
vagabundo,vagabondo,0.10370370370370374
comorbidade,comorbilita,0.23636363636363633
egide,egida,0.18666666666666676
entretanto,cio nonostante,0.4666666666666667
corolario,corollario,0.014814814814814725
numa,in,0.5333333333333334
teor,contenuto,0.33333333333333337
secao,sezione,0.3866666666666667
interlocutor,interlocutore,0.011111111111111072
prodigo,prodigo,0.0
intrinseco,intrinseco,0.0
ninfomaniaco,ninfomane,0.12592592592592589
serenidade,serenita,0.1416666666666666
cumplicidade,complicita,0.20666666666666678
atroz,atroce,0.19999999999999996
insercao,inserimento,0.24166666666666659
esdruxulo,strano,0.48888888888888893
discriminacao,discriminazione,0.14871794871794863
valha,di valore,0.41333333333333344
discricionario,discrezionale,0.2717948717948716
verborragia,verbosita,0.21481481481481468
discernimento,discernimento,0.0
deus,dio,0.6000000000000001
indubitavel,indubitabile,0.16969696969696968
sobressalente,ricambio,0.6833333333333333
subestimar,sottovalutare,0.44666666666666666
algoz,boia,0.6499999999999999
reciprocidade,reciprocita,0.10303030303030292
lhe,lui,0.5777777777777777
perfeccionista,perfezionista,0.07692307692307687
rol,ruolo,0.08888888888888902
cumprimento,saluto,0.48888888888888893
congratulacoes,congratulazioni,0.195238095238095
impertinente,cattivo,0.6571428571428571
ambiguo,ambiguo,0.0
reiterar,ribadire,0.44166666666666676
esclarecimento,una precisazione,0.49523809523809537
alma,anima,0.25
assaz,bello,0.8266666666666667
boa,bene,0.6000000000000001
desdenhar,disprezzo,0.5703703703703704
interesse,interesse,0.0
tange,tangente,0.05333333333333323
novo,nuovo,0.033333333333333326
longanimidade,longanime,0.03703703703703709
impetuoso,impetuoso,0.0
veementemente,fortemente,0.2733333333333333
bizarro,bizzarro,0.01904761904761898
conveniencia,convenienza,0.09090909090909083
impessoalidade,impersonalita,0.2205128205128205
incrivel,incredibile,0.25
generico,generico,0.0
conhecimento,conoscenza,0.3666666666666667
ter,avere,0.37777777777777777
signatario,firmatario,0.2666666666666667
detrimento,danno,0.42666666666666664
subsequente,successivo,0.5866666666666667
ajo,atto,0.33333333333333337
profissional,professionale,0.08888888888888902
muito,molto,0.34666666666666657
dissolutamente,dissoluto,0.1407407407407406
nomade,non darmi,0.4666666666666668
recalcitrante,recalcitrante,0.0
eventualmente,possibilmente,0.4410256410256411
deferido,differito,0.2416666666666667
restringir,limitare,0.5666666666666667
imensuravel,incommensurabile,0.20000000000000007
sapiencia,sapienza,0.125
destarte,percio,0.6111111111111112
sinonimo,sinonimo,0.0
contextualizar,contestualizzare,0.08571428571428563
sanidade,sanita mentale,0.2833333333333332
subversivo,sovversivo,0.17333333333333334
melancolico,malinconia,0.3533333333333334
permissividade,permissivita,0.09444444444444422
prepotente,arrogante,0.4
incircunciso,incirconciso,0.07777777777777772
apogeu,periodo d'oro,0.6444444444444445
inocuo,innocuo,0.022222222222222143
lisonjeado,lusingato,0.40740740740740744
eclesiastico,stile ecclesiale,0.37777777777777777
meticuloso,meticoloso,0.09333333333333338
benevolencia,benevolenza,0.09090909090909083
hegemonia,egemonia,0.016666666666666607
estigma,stigma,0.022222222222222143
retorica,retorica,0.0
implicito,implicito,0.0
nau,nave,0.33333333333333337
infame,infame,0.0
importante,importante,0.0
avidez,avidita,0.30000000000000016
crer,credere,0.08333333333333337
interseccao,intersezione,0.24242424242424243
analogo,analogico,0.028571428571428692
enclausurado,clausura,0.04999999999999993
endemico,endemico,0.0
paciencia,pazienza,0.2416666666666667
analogia,analogia,0.0
proporcionar,fornire,0.4476190476190476
libertinagem,dissolutezza,0.6333333333333333
intolerancia,intolleranza,0.1499999999999999
jus,giusto,0.3999999999999999
sagacidade,spirito,0.638095238095238
area,la zona,0.5
mister,signore,0.5888888888888889
perspicacia,intuizione,0.6799999999999999
intermediario,procacciatore d'affari,0.40512820512820524
lei,legge,0.3555555555555555
coxo,zoppo,0.4833333333333334
modestia,modestia,0.0
exilio,esilio,0.15555555555555556
ensejo,opportunita,0.7444444444444445
amar,amore,0.2666666666666666
carater,carattere,0.03809523809523818
