fr,ro,Alignment Score
grandiloquent,grandilocvent,0.13333333333333341
alias,aka,0.37777777777777777
diversite,diversitate,0.022222222222222254
transformation,transformare,0.15555555555555545
partialite,partinire,0.2148148148148148
clochard,vagabond,0.6333333333333333
comorbidite,comorbiditate,0.018181818181817966
egide,egida,0.18666666666666676
neanmoins,cu toate acestea,0.6296296296296297
corollaire,corolar,0.05714285714285727
dans,in,0.5666666666666667
contenu,continut,0.1523809523809525
section,sectiune,0.1523809523809525
interlocuteur,interlocutor,0.08333333333333337
prodigue,risipitor,0.6333333333333333
intrinseque,intrinsec,0.11851851851851847
nymphomane,nimfoman,0.2583333333333334
serenite,seninatate,0.2333333333333334
complicite,complicitate,0.019999999999999907
atroce,atroce,0.0
insertion,inserare,0.32499999999999984
etrange,ciudat,0.7111111111111111
discrimination,discriminare,0.15555555555555545
valeur,in valoare de,0.37777777777777777
discretionnaire,discretionara,0.0923076923076922
verbiage,verbiaj,0.1428571428571429
discernement,discernamant,0.15555555555555556
dieu,dumnezeu,0.29999999999999993
indubitable,indubitabil,0.08484848484848473
de rechange,de rezerva,0.34666666666666657
sous-estimer,subestima,0.23703703703703694
bourreau,calau,0.5466666666666666
la reciprocite,reciprocitate,0.1384615384615384
lui,-l,0.5
perfectionniste,perfectionist,0.02051282051282044
role,rol,0.04444444444444451
salutation,salut,0.07999999999999985
toutes nos felicitations,felicitari,0.19999999999999996
vilain,obraznic,0.6111111111111112
ambigue,ambiguu,0.13333333333333341
reiterer,reitereaza,0.1333333333333333
clarification,clarificare,0.16969696969696957
ame,suflet,0.6666666666666667
joli,frumos,0.7
bien,bun,0.33333333333333337
mepris,dispret,0.5777777777777777
interet,interes,0.13333333333333341
tanger,tange,0.026666666666666727
nouveau,nou,0.11111111111111116
longue souffrance,indelung rabdator,0.5450980392156863
impetueux,impetuos,0.22499999999999998
fortement,puternic,0.5583333333333333
bizarre,bizar,0.039999999999999925
commodite,comoditatea,0.12592592592592589
impersonnalite,impersonalitate,0.0714285714285714
incroyable,incredibil,0.3466666666666668
generique,generic,0.1523809523809524
connaissance,cunostinte,0.45333333333333337
avoir,a avea,0.5333333333333333
signataire,semnatar,0.25
detriment,in detriment,0.029629629629629672
subsequent,ulterior,0.6499999999999999
acte,act,0.04444444444444451
professionnel,profesional,0.10303030303030292
tres,foarte,0.4833333333333334
dissoluement,disolut,0.06666666666666665
ne me donne pas,nu-mi da,0.4083333333333333
recalcitrant,recalcitrant,0.0
peut-etre,eventual,0.5583333333333333
differe,amanata,0.8190476190476191
limiter,restrange,0.6285714285714286
incommensurable,nemasurata,0.3933333333333332
sapience,intelepciune,0.4666666666666667
donc,prin urmare,0.7833333333333333
synonyme,sinonim,0.2857142857142858
contextualiser,contextualizati,0.1857142857142856
sante mentale,sanatate psihica,0.405128205128205
subversif,subversiv,0.10370370370370374
melancolique,melancolie,0.019999999999999907
permissivite,permisivitatea,0.09444444444444422
arrogant,arogant,0.01904761904761898
incirconcis,necircumcis,0.24242424242424243
apogee,ziua de glorie,0.5333333333333333
inoffensif,inofensiv,0.11851851851851858
flatte,flatat,0.15555555555555556
style ecclesiastique,stilul eclesial,0.26222222222222213
meticuleux,meticulos,0.19999999999999996
bienveillance,bunavointa,0.4733333333333334
hegemonie,hegemonie,0.0
stigmate,stigmatizarea,0.05833333333333324
rhetorique,retorica,0.24166666666666659
implicite,implicit,0.016666666666666607
bateau,nava,0.5166666666666666
infame,infam,0.026666666666666727
important,important,0.0
avidite,lacomie,0.49523809523809526
croire,crede,0.36
intersection,intersectie,0.09090909090909083
analogue,analogic,0.21666666666666667
cloitre,claustrala,0.4095238095238096
endemique,endemice,0.125
patience,rabdare,0.6190476190476191
analogie,analogie,0.0
fournir,oferi,0.41333333333333344
debauche,depravare,0.44166666666666676
intolerance,intoleranta,0.15757575757575748
jus,jus,0.0
esprit,spirit,0.15555555555555556
zone,zona,0.2333333333333334
monsieur,domnule,0.5142857142857143
apercu,perspicacitate,0.40000000000000013
intermediaire,intermediar,0.024242424242424176
loi,lege,0.6000000000000001
boiteux,schiop,0.7222222222222222
modestie,modestie,0.0
exile,exil,0.033333333333333326
opportunite,oportunitate,0.09090909090909083
amour,dragoste,0.5866666666666667
personnage,caracter,0.5666666666666667
