es,fr,Alignment Score
grandilocuente,grandiloquent,0.08205128205128209
alias,alias,0.0
diversidad,diversite,0.19999999999999996
transformacion,transformation,0.06666666666666665
parcialidad,partialite,0.2733333333333333
vagabundo,clochard,0.6499999999999999
comorbilidad,comorbidite,0.23636363636363633
egida,egide,0.18666666666666676
sin embargo,neanmoins,0.49629629629629635
corolario,corollaire,0.2148148148148148
en,dans,0.5666666666666667
contenido,contenu,0.1523809523809524
seccion,section,0.13333333333333341
interlocutor,interlocuteur,0.08333333333333337
prodigo,prodigue,0.1428571428571429
intrinseco,intrinseque,0.17999999999999994
ninfomana,nymphomane,0.3925925925925926
serenidad,serenite,0.22499999999999998
complicidad,complicite,0.17999999999999994
atroz,atroce,0.19999999999999996
insercion,insertion,0.10370370370370374
extrano,etrange,0.2571428571428571
discriminacion,discrimination,0.06666666666666665
valer,valeur,0.026666666666666727
discrecional,discretionnaire,0.1777777777777776
verbosidad,verbiage,0.25
discernimiento,discernement,0.10000000000000009
dios,dieu,0.43333333333333335
indudable,indubitable,0.11851851851851858
repuesto,de rechange,0.5583333333333333
subestimar,sous-estimer,0.20666666666666678
verdugo,bourreau,0.6285714285714286
reciprocidad,la reciprocite,0.22777777777777763
a el,lui,0.6000000000000001
perfeccionista,perfectionniste,0.1428571428571429
role,role,0.0
saludo,salutation,0.21111111111111125
felicidades,toutes nos felicitations,0.32727272727272716
travieso,vilain,0.5888888888888888
ambiguo,ambigue,0.13333333333333341
reiterar,reiterer,0.1166666666666667
aclaracion,clarification,0.20666666666666678
alma,ame,0.3555555555555556
bonito,joli,0.5166666666666668
bien,bien,0.0
desden,mepris,0.5777777777777777
interes,interet,0.13333333333333341
tange,tanger,0.026666666666666727
nuevo,nouveau,0.40000000000000013
longanimidad,longue souffrance,0.4444444444444444
impetuoso,impetueux,0.28148148148148144
fuertemente,fortement,0.12592592592592589
extrano,bizarre,0.7047619047619048
conveniencia,commodite,0.49629629629629635
impersonalidad,impersonnalite,0.1857142857142856
increible,incroyable,0.20000000000000007
generico,generique,0.22499999999999998
conocimiento,connaissance,0.48888888888888893
tener,avoir,0.6666666666666667
signatario,signataire,0.17999999999999994
detrimento,detriment,0.014814814814814725
subsecuente,subsequent,0.10666666666666669
acto,acte,0.2333333333333334
profesional,professionnel,0.10303030303030292
muy,tres,0.8666666666666667
en disolucion,dissoluement,0.3666666666666666
no me des,ne me donne pas,0.16296296296296287
recalcitrante,recalcitrant,0.011111111111111072
posiblemente,peut-etre,0.41481481481481486
diferido,differe,0.2666666666666666
restringir,limiter,0.5333333333333333
inconmensurable,incommensurable,0.06222222222222218
sapiencia,sapience,0.125
por lo tanto,donc,0.6166666666666667
sinonimo,synonyme,0.3500000000000001
contextualizar,contextualiser,0.1238095238095237
cordura,sante mentale,0.7714285714285714
subversivo,subversif,0.11111111111111116
melancolia,melancolique,0.10666666666666658
permisividad,permissivite,0.21666666666666645
arrogante,arrogant,0.016666666666666607
incircunciso,incirconcis,0.09696969696969693
apogeo,apogee,0.15555555555555556
inofensivo,inoffensif,0.17999999999999994
halagada,flatte,0.6000000000000001
estilo eclesial!,style ecclesiastique,0.2999999999999998
meticuloso,meticuleux,0.2533333333333333
benevolencia,bienveillance,0.37222222222222223
hegemonia,hegemonie,0.10370370370370374
estigma,stigmate,0.1428571428571429
retorica,rhetorique,0.24166666666666659
implicito,implicite,0.10370370370370374
barco,bateau,0.52
infame,infame,0.0
importante,important,0.014814814814814725
codicia,avidite,0.6095238095238096
creer,croire,0.36
interseccion,intersection,0.07777777777777772
termino analogo,analogue,0.2833333333333333
conventual,cloitre,0.523809523809524
endemico,endemique,0.22499999999999998
paciencia,patience,0.2416666666666667
analogia,analogie,0.1166666666666667
proporcionar,fournir,0.4476190476190476
libertinaje,debauche,0.5666666666666667
intolerancia,intolerance,0.09090909090909083
jus,jus,0.0
ingenio,esprit,0.6000000000000001
area,zone,0.6499999999999999
senor,monsieur,0.41333333333333333
conocimiento,apercu,0.7666666666666667
intermediario,intermediaire,0.1384615384615382
ley,loi,0.5777777777777777
aburrido,boiteux,0.6095238095238096
modestia,modestie,0.1166666666666667
exilio,exile,0.19999999999999996
oportunidad,opportunite,0.23636363636363633
amar,amour,0.25
personaje,personnage,0.11851851851851858
