en,es,Alignment Score
grandiloquent,grandilocuente,0.08205128205128209
aka,alias,0.37777777777777777
diversity,diversidad,0.19999999999999996
transformation,transformacion,0.06666666666666665
partiality,parcialidad,0.2733333333333333
tramp,vagabundo,0.7466666666666667
comorbidity,comorbilidad,0.23636363636363633
aegis,egida,0.3600000000000001
nonetheless,sin embargo,0.6727272727272727
corollary,corolario,0.19999999999999996
in,en,0.4666666666666667
content,contenido,0.1523809523809524
section,seccion,0.13333333333333341
interlocutor,interlocutor,0.0
prodigal,prodigo,0.1428571428571429
intrinsic,intrinseco,0.11851851851851858
nymphomaniac,ninfomana,0.31851851851851853
serenity,serenidad,0.22499999999999998
complicity,complicidad,0.17999999999999994
atrocious,atroz,0.2400000000000001
insertion,insercion,0.10370370370370374
strange,extrano,0.38095238095238093
discrimination,discriminacion,0.06666666666666665
worth,valer,0.6799999999999999
discretionary,discrecional,0.16111111111111098
verbiage,verbosidad,0.25
discernment,discernimiento,0.036363636363636376
god,dios,0.6000000000000001
indubitable,indudable,0.11851851851851858
spare,repuesto,0.5466666666666666
underestimate,subestimar,0.29333333333333333
executioner,verdugo,0.5523809523809524
reciprocity,reciprocidad,0.16363636363636347
him,a el,0.8666666666666667
perfectionist,perfeccionista,0.08205128205128209
role,role,0.0
greeting,saludo,0.8444444444444446
congratulations,felicidades,0.6303030303030304
naughty,travieso,0.7238095238095238
ambiguous,ambiguo,0.028571428571428692
reiterate,reiterar,0.125
clarification,aclaracion,0.20666666666666678
soul,alma,0.6500000000000001
pretty,bonito,0.7111111111111111
good,bien,0.8333333333333334
disdain,desden,0.3222222222222223
interest,interes,0.01904761904761898
tange,tange,0.0
new,nuevo,0.37777777777777777
longsuffering,longanimidad,0.4944444444444446
impetuous,impetuoso,0.10370370370370374
strongly,fuertemente,0.675
bizarre,extrano,0.7047619047619048
convenience,conveniencia,0.09090909090909083
impersonality,impersonalidad,0.1384615384615382
incredible,increible,0.014814814814814725
generic,generico,0.01904761904761898
knowledge,conocimiento,0.5925925925925926
to have,tener,0.5333333333333333
signatory,signatario,0.19999999999999996
detriment,detrimento,0.014814814814814725
subsequent,subsecuente,0.10666666666666669
act,acto,0.04444444444444451
professional,profesional,0.012121212121212088
very,muy,0.6000000000000001
dissolutely,en disolucion,0.3999999999999999
do not give me,no me des,0.3555555555555556
recalcitrant,recalcitrante,0.011111111111111072
possibly,posiblemente,0.2583333333333332
deferred,diferido,0.3416666666666667
restrict,restringir,0.23333333333333328
immeasurable,inconmensurable,0.17222222222222228
sapience,sapiencia,0.125
therefore,por lo tanto,0.6666666666666667
synonym,sinonimo,0.2857142857142858
contextualize,contextualizar,0.07692307692307687
sanity,cordura,0.711111111111111
subversive,subversivo,0.09333333333333327
melancholic,melancolia,0.10666666666666658
permissiveness,permisividad,0.2944444444444443
arrogant,arrogante,0.016666666666666607
uncircumcised,incircunciso,0.23888888888888893
heyday,apogeo,0.7
harmless,inofensivo,0.6583333333333334
flattered,halagada,0.55
ecclesial!style,estilo eclesial!,0.33777777777777773
meticulous,meticuloso,0.09333333333333327
benevolence,benevolencia,0.09090909090909083
hegemony,hegemonia,0.125
stigma,estigma,0.022222222222222143
rhetoric,retorica,0.1166666666666667
implicit,implicito,0.016666666666666607
ship,barco,0.85
infamous,infame,0.1777777777777777
important,importante,0.014814814814814725
greed,codicia,0.7066666666666668
believe,creer,0.56
intersection,interseccion,0.07777777777777772
analogue,termino analogo,0.2833333333333333
cloistered,conventual,0.5933333333333334
endemic,endemico,0.01904761904761898
patience,paciencia,0.2416666666666667
analogy,analogia,0.1428571428571429
provide,proporcionar,0.4285714285714287
debauchery,libertinaje,0.6
intolerance,intolerancia,0.09090909090909083
jus,jus,0.0
wit,ingenio,0.6888888888888889
area,area,0.0
mister,senor,0.3733333333333333
insight,conocimiento,0.5428571428571429
intermediary,intermediario,0.08333333333333337
law,ley,0.5777777777777777
lame,aburrido,0.7166666666666668
modesty,modestia,0.1428571428571429
exile,exilio,0.19999999999999996
opportunity,oportunidad,0.23636363636363633
love,amar,0.8333333333333334
character,personaje,0.5777777777777777
