fr,gl,Alignment Score
grandiloquent,grandilocuente,0.08205128205128209
alias,tamen conecido como,0.7333333333333334
diversite,diversidade,0.11851851851851847
transformation,transformacion,0.06666666666666665
partialite,parcialidade,0.19999999999999996
clochard,vagabundo,0.6499999999999999
comorbidite,comorbilidade,0.16969696969696968
egide,exido,0.3733333333333334
neanmoins,con todo,0.6416666666666666
corollaire,corolario,0.2148148148148148
dans,en,0.5666666666666667
contenu,contido,0.36190476190476195
section,seccion,0.13333333333333341
interlocuteur,interlocutor,0.08333333333333337
prodigue,prodigo,0.1428571428571429
intrinseque,intrinseca,0.17999999999999994
nymphomane,ninfomana,0.3925925925925926
serenite,serenidade,0.1333333333333333
complicite,complicidade,0.10666666666666669
atroce,atroz,0.19999999999999996
insertion,insercion,0.10370370370370374
etrange,estrano,0.2571428571428571
discrimination,discriminacion,0.06666666666666665
valeur,vale,0.050000000000000155
discretionnaire,discrecional,0.1777777777777776
verbiage,verborrea,0.33333333333333337
discernement,discernimento,0.08888888888888902
dieu,deus,0.2333333333333334
indubitable,indubidable,0.08484848484848484
de rechange,recambio,0.45833333333333337
sous-estimer,subestimar,0.20666666666666678
bourreau,verdugo,0.6285714285714286
la reciprocite,reciprocidade,0.20512820512820507
lui,el,0.5
perfectionniste,perfeccionista,0.1428571428571429
role,papel,0.6666666666666667
salutation,saudo,0.28000000000000014
toutes nos felicitations,parabens,0.6583333333333334
vilain,impertinente,0.5111111111111112
ambigue,ambiguo,0.13333333333333341
reiterer,reiterar,0.1166666666666667
clarification,aclaracion,0.20666666666666678
ame,alma,0.3555555555555556
joli,fermosa,0.7166666666666668
bien,bo,0.5333333333333334
mepris,desprezo,0.47777777777777786
interet,interese,0.1428571428571429
tanger,tanxe,0.21333333333333337
nouveau,novo,0.30000000000000016
longue souffrance,longa paciencia,0.41333333333333333
impetueux,impetuoso,0.28148148148148144
fortement,fortemente,0.014814814814814725
bizarre,estrano,0.7047619047619048
commodite,conveniencia,0.49629629629629635
impersonnalite,impersonalidade,0.1333333333333332
incroyable,incrible,0.13333333333333341
generique,xenerico,0.3416666666666667
connaissance,conecemento,0.4606060606060607
avoir,ter,0.6222222222222222
signataire,asinante,0.25
detriment,prexuizo,0.6499999999999999
subsequent,posterior,0.6518518518518519
acte,actuar,0.2666666666666667
professionnel,profesional,0.10303030303030292
tres,moi,0.8666666666666667
dissoluement,disolutamente,0.16111111111111098
ne me donne pas,non me deas,0.19393939393939386
recalcitrant,recalcitrante,0.011111111111111072
peut-etre,posiblemente,0.41481481481481486
differe,aprazado,0.7238095238095238
limiter,restrinxir,0.5333333333333333
incommensurable,inconmensurable,0.06222222222222218
sapience,sapiencia,0.125
donc,polo tanto,0.5833333333333333
synonyme,sinonimo,0.3500000000000001
contextualiser,contextualizar,0.1238095238095237
sante mentale,cordura,0.7714285714285714
subversif,subversivo,0.11111111111111116
melancolique,melancolia,0.10666666666666658
permissivite,permisividade,0.15555555555555545
arrogant,arrogante,0.016666666666666607
incirconcis,incircunciso,0.09696969696969693
apogee,apoxeo,0.30000000000000016
inoffensif,inocuo,0.4666666666666668
flatte,halagado,0.6000000000000001
style ecclesiastique,estilo eclesial,0.27111111111111086
meticuleux,meticuloso,0.2533333333333333
bienveillance,benevolencia,0.37222222222222223
hegemonie,hexemonia,0.20740740740740748
stigmate,estigma,0.1428571428571429
rhetorique,retorica,0.24166666666666659
implicite,implicito,0.10370370370370374
bateau,barco,0.52
infame,infame,0.0
important,importante,0.014814814814814725
avidite,cobiza,0.7
croire,crer,0.2666666666666666
intersection,interseccion,0.07777777777777772
analogue,analoxico,0.32499999999999984
cloitre,claustral,0.40000000000000013
endemique,endemica,0.22499999999999998
patience,paciencia,0.2416666666666667
analogie,analoxia,0.2333333333333334
fournir,proporcionar,0.4476190476190476
debauche,libertinaxe,0.5666666666666667
intolerance,intolerancia,0.09090909090909083
jus,xus,0.3111111111111112
esprit,enxeno,0.6888888888888889
zone,area,0.6499999999999999
monsieur,senor,0.41333333333333333
apercu,perspicacia,0.3666666666666667
intermediaire,intermediario,0.1384615384615382
loi,lei,0.3111111111111112
boiteux,coxo,0.5166666666666666
modestie,modestia,0.1166666666666667
exile,exilio,0.19999999999999996
opportunite,oportunidade,0.1696969696969698
amour,amor,0.033333333333333326
personnage,personaxe,0.11851851851851858
