pt,en,es,fr,it,gl,ro
grandiloquente,grandiloquent,grandilocuente,grandiloquent,magniloquente,grandilocuente,grandilocvent
vulgo,aka,alias,alias,ovvero,tamen conecido como,aka
diversidade,diversity,diversidad,diversite,diversita,diversidade,diversitate
transformacao,transformation,transformacion,transformation,trasformazione,transformacion,transformare
parcialidade,partiality,parcialidad,partialite,parzialita,parcialidade,partinire
vagabundo,tramp,vagabundo,clochard,vagabondo,vagabundo,vagabond
comorbidade,comorbidity,comorbilidad,comorbidite,comorbilita,comorbilidade,comorbiditate
egide,aegis,egida,egide,egida,exido,egida
entretanto,nonetheless,sin embargo,neanmoins,cio nonostante,con todo,cu toate acestea
corolario,corollary,corolario,corollaire,corollario,corolario,corolar
numa,in,en,dans,in,en,in
teor,content,contenido,contenu,contenuto,contido,continut
secao,section,seccion,section,sezione,seccion,sectiune
interlocutor,interlocutor,interlocutor,interlocuteur,interlocutore,interlocutor,interlocutor
prodigo,prodigal,prodigo,prodigue,prodigo,prodigo,risipitor
intrinseco,intrinsic,intrinseco,intrinseque,intrinseco,intrinseca,intrinsec
ninfomaniaco,nymphomaniac,ninfomana,nymphomane,ninfomane,ninfomana,nimfoman
serenidade,serenity,serenidad,serenite,serenita,serenidade,seninatate
cumplicidade,complicity,complicidad,complicite,complicita,complicidade,complicitate
atroz,atrocious,atroz,atroce,atroce,atroz,atroce
insercao,insertion,insercion,insertion,inserimento,insercion,inserare
esdruxulo,strange,extrano,etrange,strano,estrano,ciudat
discriminacao,discrimination,discriminacion,discrimination,discriminazione,discriminacion,discriminare
valha,worth,valer,valeur,di valore,vale,in valoare de
discricionario,discretionary,discrecional,discretionnaire,discrezionale,discrecional,discretionara
verborragia,verbiage,verbosidad,verbiage,verbosita,verborrea,verbiaj
discernimento,discernment,discernimiento,discernement,discernimento,discernimento,discernamant
deus,god,dios,dieu,dio,deus,dumnezeu
indubitavel,indubitable,indudable,indubitable,indubitabile,indubidable,indubitabil
sobressalente,spare,repuesto,de rechange,ricambio,recambio,de rezerva
subestimar,underestimate,subestimar,sous-estimer,sottovalutare,subestimar,subestima
algoz,executioner,verdugo,bourreau,boia,verdugo,calau
reciprocidade,reciprocity,reciprocidad,la reciprocite,reciprocita,reciprocidade,reciprocitate
lhe,him,a el,lui,lui,el,-l
perfeccionista,perfectionist,perfeccionista,perfectionniste,perfezionista,perfeccionista,perfectionist
rol,role,role,role,ruolo,papel,rol
cumprimento,greeting,saludo,salutation,saluto,saudo,salut
congratulacoes,congratulations,felicidades,toutes nos felicitations,congratulazioni,parabens,felicitari
impertinente,naughty,travieso,vilain,cattivo,impertinente,obraznic
ambiguo,ambiguous,ambiguo,ambigue,ambiguo,ambiguo,ambiguu
reiterar,reiterate,reiterar,reiterer,ribadire,reiterar,reitereaza
esclarecimento,clarification,aclaracion,clarification,una precisazione,aclaracion,clarificare
alma,soul,alma,ame,anima,alma,suflet
assaz,pretty,bonito,joli,bello,fermosa,frumos
boa,good,bien,bien,bene,bo,bun
desdenhar,disdain,desden,mepris,disprezzo,desprezo,dispret
interesse,interest,interes,interet,interesse,interese,interes
tange,tange,tange,tanger,tangente,tanxe,tange
novo,new,nuevo,nouveau,nuovo,novo,nou
longanimidade,longsuffering,longanimidad,longue souffrance,longanime,longa paciencia,indelung rabdator
impetuoso,impetuous,impetuoso,impetueux,impetuoso,impetuoso,impetuos
veementemente,strongly,fuertemente,fortement,fortemente,fortemente,puternic
bizarro,bizarre,extrano,bizarre,bizzarro,estrano,bizar
conveniencia,convenience,conveniencia,commodite,convenienza,conveniencia,comoditatea
impessoalidade,impersonality,impersonalidad,impersonnalite,impersonalita,impersonalidade,impersonalitate
incrivel,incredible,increible,incroyable,incredibile,incrible,incredibil
generico,generic,generico,generique,generico,xenerico,generic
conhecimento,knowledge,conocimiento,connaissance,conoscenza,conecemento,cunostinte
ter,to have,tener,avoir,avere,ter,a avea
signatario,signatory,signatario,signataire,firmatario,asinante,semnatar
detrimento,detriment,detrimento,detriment,danno,prexuizo,in detriment
subsequente,subsequent,subsecuente,subsequent,successivo,posterior,ulterior
ajo,act,acto,acte,atto,actuar,act
profissional,professional,profesional,professionnel,professionale,profesional,profesional
muito,very,muy,tres,molto,moi,foarte
dissolutamente,dissolutely,en disolucion,dissoluement,dissoluto,disolutamente,disolut
nomade,do not give me,no me des,ne me donne pas,non darmi,non me deas,nu-mi da
recalcitrante,recalcitrant,recalcitrante,recalcitrant,recalcitrante,recalcitrante,recalcitrant
eventualmente,possibly,posiblemente,peut-etre,possibilmente,posiblemente,eventual
deferido,deferred,diferido,differe,differito,aprazado,amanata
restringir,restrict,restringir,limiter,limitare,restrinxir,restrange
imensuravel,immeasurable,inconmensurable,incommensurable,incommensurabile,inconmensurable,nemasurata
sapiencia,sapience,sapiencia,sapience,sapienza,sapiencia,intelepciune
destarte,therefore,por lo tanto,donc,percio,polo tanto,prin urmare
sinonimo,synonym,sinonimo,synonyme,sinonimo,sinonimo,sinonim
contextualizar,contextualize,contextualizar,contextualiser,contestualizzare,contextualizar,contextualizati
sanidade,sanity,cordura,sante mentale,sanita mentale,cordura,sanatate psihica
subversivo,subversive,subversivo,subversif,sovversivo,subversivo,subversiv
melancolico,melancholic,melancolia,melancolique,malinconia,melancolia,melancolie
permissividade,permissiveness,permisividad,permissivite,permissivita,permisividade,permisivitatea
prepotente,arrogant,arrogante,arrogant,arrogante,arrogante,arogant
incircunciso,uncircumcised,incircunciso,incirconcis,incirconciso,incircunciso,necircumcis
apogeu,heyday,apogeo,apogee,periodo d'oro,apoxeo,ziua de glorie
inocuo,harmless,inofensivo,inoffensif,innocuo,inocuo,inofensiv
lisonjeado,flattered,halagada,flatte,lusingato,halagado,flatat
eclesiastico,ecclesial!style,estilo eclesial!,style ecclesiastique,stile ecclesiale,estilo eclesial,stilul eclesial
meticuloso,meticulous,meticuloso,meticuleux,meticoloso,meticuloso,meticulos
benevolencia,benevolence,benevolencia,bienveillance,benevolenza,benevolencia,bunavointa
hegemonia,hegemony,hegemonia,hegemonie,egemonia,hexemonia,hegemonie
estigma,stigma,estigma,stigmate,stigma,estigma,stigmatizarea
retorica,rhetoric,retorica,rhetorique,retorica,retorica,retorica
implicito,implicit,implicito,implicite,implicito,implicito,implicit
nau,ship,barco,bateau,nave,barco,nava
infame,infamous,infame,infame,infame,infame,infam
importante,important,importante,important,importante,importante,important
avidez,greed,codicia,avidite,avidita,cobiza,lacomie
