pt,es,Alignment Score
grandiloquente,grandilocuente,0.06666666666666665
vulgo,alias,0.6933333333333334
diversidade,diversidad,0.013333333333333308
transformacao,transformacion,0.08205128205128198
parcialidade,parcialidad,0.012121212121212088
vagabundo,vagabundo,0.0
comorbidade,comorbilidad,0.09090909090909094
egide,egida,0.18666666666666676
entretanto,sin embargo,0.54
corolario,corolario,0.0
numa,en,0.5333333333333334
teor,contenido,0.33333333333333337
secao,seccion,0.2266666666666668
interlocutor,interlocutor,0.0
prodigo,prodigo,0.0
intrinseco,intrinseco,0.0
ninfomaniaco,ninfomana,0.03703703703703687
serenidade,serenidad,0.014814814814814725
cumplicidade,complicidad,0.09696969696969693
atroz,atroz,0.0
insercao,insercion,0.13333333333333341
esdruxulo,extrano,0.5047619047619047
discriminacao,discriminacion,0.08205128205128198
valha,valer,0.3466666666666668
discricionario,discrecional,0.16666666666666652
verborragia,verbosidad,0.2733333333333333
discernimento,discernimiento,0.01025641025641022
deus,dios,0.43333333333333335
indubitavel,indudable,0.3037037037037037
sobressalente,repuesto,0.4833333333333334
subestimar,subestimar,0.0
algoz,verdugo,0.5466666666666666
reciprocidade,reciprocidad,0.011111111111111072
lhe,a el,0.6000000000000001
perfeccionista,perfeccionista,0.0
rol,role,0.04444444444444451
cumprimento,saludo,0.6333333333333333
congratulacoes,felicidades,0.5575757575757576
impertinente,travieso,0.5666666666666667
ambiguo,ambiguo,0.0
reiterar,reiterar,0.0
esclarecimento,aclaracion,0.30666666666666664
alma,alma,0.0
assaz,bonito,0.8400000000000001
boa,bien,0.6000000000000001
desdenhar,desden,0.04444444444444429
interesse,interes,0.028571428571428692
tange,tange,0.0
novo,nuevo,0.25
longanimidade,longanimidad,0.011111111111111072
impetuoso,impetuoso,0.0
veementemente,fuertemente,0.2545454545454545
bizarro,extrano,0.6
conveniencia,conveniencia,0.0
impessoalidade,impersonalidad,0.13333333333333341
incrivel,increible,0.2333333333333334
generico,generico,0.0
conhecimento,conocimiento,0.1499999999999999
ter,tener,0.06666666666666665
signatario,signatario,0.0
detrimento,detrimento,0.0
subsequente,subsecuente,0.08484848484848484
ajo,acto,0.33333333333333337
profissional,profesional,0.09090909090909094
muito,muy,0.3555555555555556
dissolutamente,en disolucion,0.3999999999999998
nomade,no me des,0.21111111111111125
recalcitrante,recalcitrante,0.0
eventualmente,posiblemente,0.41666666666666663
deferido,diferido,0.1166666666666667
restringir,restringir,0.0
imensuravel,inconmensurable,0.19393939393939386
sapiencia,sapiencia,0.0
destarte,por lo tanto,0.5833333333333333
sinonimo,sinonimo,0.0
contextualizar,contextualizar,0.0
sanidade,cordura,0.6190476190476191
subversivo,subversivo,0.0
melancolico,melancolia,0.09999999999999987
permissividade,permisividad,0.022222222222222143
prepotente,arrogante,0.4
incircunciso,incircunciso,0.0
apogeu,apogeo,0.15555555555555556
inocuo,inofensivo,0.3333333333333335
lisonjeado,halagada,0.5583333333333333
eclesiastico,estilo eclesial!,0.37222222222222223
meticuloso,meticuloso,0.0
benevolencia,benevolencia,0.0
hegemonia,hegemonia,0.0
estigma,estigma,0.0
retorica,retorica,0.0
implicito,implicito,0.0
nau,barco,0.6666666666666667
infame,infame,0.0
importante,importante,0.0
avidez,codicia,0.7
crer,creer,0.033333333333333326
interseccao,interseccion,0.09696969696969682
analogo,termino analogo,0.08571428571428574
enclausurado,conventual,0.5333333333333333
endemico,endemico,0.0
paciencia,paciencia,0.0
analogia,analogia,0.0
proporcionar,proporcionar,0.0
libertinagem,libertinaje,0.09696969696969682
intolerancia,intolerancia,0.0
jus,jus,0.0
sagacidade,ingenio,0.638095238095238
area,area,0.0
mister,senor,0.3733333333333333
perspicacia,conocimiento,0.6181818181818182
intermediario,intermediario,0.0
lei,ley,0.3111111111111111
coxo,aburrido,0.7
modestia,modestia,0.0
exilio,exilio,0.0
ensejo,oportunidad,0.7444444444444445
amar,amar,0.0
carater,personaje,0.5333333333333334
