en,it,Alignment Score
grandiloquent,magniloquente,0.20512820512820518
aka,ovvero,0.9111111111111111
diversity,diversita,0.10370370370370374
transformation,trasformazione,0.1333333333333332
partiality,parzialita,0.18666666666666676
tramp,vagabondo,0.7466666666666667
comorbidity,comorbilita,0.16969696969696968
aegis,egida,0.3600000000000001
nonetheless,cio nonostante,0.48484848484848486
corollary,corollario,0.11111111111111116
in,in,0.0
content,contenuto,0.03809523809523818
section,sezione,0.2571428571428571
interlocutor,interlocutore,0.011111111111111072
prodigal,prodigo,0.1428571428571429
intrinsic,intrinseco,0.11851851851851858
nymphomaniac,ninfomane,0.40740740740740744
serenity,serenita,0.1166666666666667
complicity,complicita,0.09333333333333327
atrocious,atroce,0.18888888888888877
insertion,inserimento,0.21481481481481468
strange,strano,0.16666666666666663
discrimination,discriminazione,0.07619047619047614
worth,di valore,0.5866666666666667
discretionary,discrezionale,0.20512820512820507
verbiage,verbosita,0.2333333333333334
discernment,discernimento,0.024242424242424176
god,dio,0.5777777777777777
indubitable,indubitabile,0.012121212121212088
spare,ricambio,0.72
underestimate,sottovalutare,0.523076923076923
executioner,boia,0.7833333333333333
reciprocity,reciprocita,0.08484848484848473
him,lui,0.6000000000000001
perfectionist,perfezionista,0.1384615384615384
role,ruolo,0.2666666666666667
greeting,saluto,0.7333333333333334
congratulations,congratulazioni,0.12444444444444436
naughty,cattivo,0.6190476190476191
ambiguous,ambiguo,0.028571428571428692
reiterate,ribadire,0.44166666666666665
clarification,una precisazione,0.4307692307692308
soul,anima,0.85
pretty,bello,0.7066666666666668
good,bene,0.8333333333333334
disdain,disprezzo,0.49523809523809537
interest,interesse,0.125
tange,tangente,0.05333333333333323
new,nuovo,0.6222222222222222
longsuffering,longanime,0.40740740740740755
impetuous,impetuoso,0.10370370370370374
strongly,fortemente,0.6583333333333334
bizarre,bizzarro,0.1523809523809525
convenience,convenienza,0.15757575757575748
impersonality,impersonalita,0.07179487179487176
incredible,incredibile,0.013333333333333308
generic,generico,0.01904761904761898
knowledge,conoscenza,0.5777777777777777
to have,avere,0.3733333333333333
signatory,firmatario,0.49629629629629635
detriment,danno,0.5866666666666667
subsequent,successivo,0.5866666666666667
act,atto,0.33333333333333337
professional,professionale,0.011111111111111072
very,molto,0.85
dissolutely,dissoluto,0.11851851851851847
do not give me,non darmi,0.5259259259259259
recalcitrant,recalcitrante,0.011111111111111072
possibly,possibilmente,0.16666666666666663
deferred,differito,0.44166666666666676
restrict,limitare,0.6166666666666667
immeasurable,incommensurabile,0.11111111111111116
sapience,sapienza,0.21666666666666667
therefore,percio,0.48888888888888893
synonym,sinonimo,0.2857142857142858
contextualize,contestualizzare,0.0923076923076922
sanity,sanita mentale,0.24444444444444413
subversive,sovversivo,0.2666666666666667
melancholic,malinconia,0.3733333333333334
permissiveness,permissivita,0.222222222222222
arrogant,arrogante,0.016666666666666607
uncircumcised,incirconciso,0.3055555555555556
heyday,periodo d'oro,0.6777777777777778
harmless,innocuo,0.8285714285714286
flattered,lusingato,0.562962962962963
ecclesial!style,stile ecclesiale,0.2799999999999999
meticulous,meticoloso,0.18666666666666676
benevolence,benevolenza,0.15757575757575748
hegemony,egemonia,0.22499999999999998
stigma,stigma,0.0
rhetoric,retorica,0.1166666666666667
implicit,implicito,0.016666666666666607
ship,nave,0.8333333333333334
infamous,infame,0.1777777777777777
important,importante,0.014814814814814725
greed,avidita,0.7066666666666667
believe,credere,0.5142857142857143
intersection,intersezione,0.1499999999999999
analogue,analogico,0.22499999999999998
cloistered,clausura,0.4666666666666668
endemic,endemico,0.01904761904761898
patience,pazienza,0.33333333333333337
analogy,analogia,0.1428571428571429
provide,fornire,0.5142857142857143
debauchery,dissolutezza,0.6000000000000001
intolerance,intolleranza,0.16969696969696957
jus,giusto,0.3999999999999999
wit,spirito,0.4222222222222223
area,la zona,0.5
mister,signore,0.5888888888888889
insight,intuizione,0.5047619047619049
intermediary,procacciatore d'affari,0.45000000000000007
law,legge,0.6222222222222222
lame,zoppo,0.85
modesty,modestia,0.1428571428571429
exile,esilio,0.3866666666666667
opportunity,opportunita,0.08484848484848473
love,amore,0.4833333333333334
character,carattere,0.20740740740740748
