gl,ro,Alignment Score
grandilocuente,grandilocvent,0.08205128205128198
tamen conecido como,aka,0.9555555555555556
diversidade,diversitate,0.1696969696969698
transformacion,transformare,0.15555555555555545
parcialidade,partinire,0.33333333333333337
vagabundo,vagabond,0.13333333333333341
comorbilidade,comorbiditate,0.20512820512820507
exido,egida,0.3733333333333334
con todo,cu toate acestea,0.5000000000000002
corolario,corolar,0.028571428571428692
en,in,0.4666666666666667
contido,continut,0.2571428571428571
seccion,sectiune,0.2857142857142858
interlocutor,interlocutor,0.0
prodigo,risipitor,0.5238095238095238
intrinseca,intrinsec,0.014814814814814725
ninfomana,nimfoman,0.13333333333333341
serenidade,seninatate,0.3533333333333334
complicidade,complicitate,0.15555555555555545
atroz,atroce,0.19999999999999996
insercion,inserare,0.32499999999999984
estrano,ciudat,0.711111111111111
discriminacion,discriminare,0.15555555555555545
vale,in valoare de,0.18333333333333346
discrecional,discretionara,0.16111111111111098
verborrea,verbiaj,0.2761904761904763
discernimento,discernamant,0.16666666666666663
deus,dumnezeu,0.30000000000000016
indubidable,indubitabil,0.1696969696969698
recambio,de rezerva,0.55
subestimar,subestima,0.014814814814814725
verdugo,calau,0.7066666666666668
reciprocidade,reciprocitate,0.1435897435897434
el,-l,0.4666666666666667
perfeccionista,perfectionist,0.08205128205128209
papel,rol,0.6222222222222222
saudo,salut,0.3600000000000001
parabens,felicitari,0.6499999999999999
impertinente,obraznic,0.6833333333333333
ambiguo,ambiguu,0.13333333333333341
reiterar,reitereaza,0.1333333333333333
aclaracion,clarificare,0.43333333333333335
alma,suflet,0.7
fermosa,frumos,0.1777777777777778
bo,bun,0.5
desprezo,dispret,0.2761904761904762
interese,interes,0.01904761904761898
tanxe,tange,0.18666666666666676
novo,nou,0.33333333333333337
longa paciencia,indelung rabdator,0.528888888888889
impetuoso,impetuos,0.016666666666666607
fortemente,puternic,0.5666666666666667
estrano,bizar,0.7066666666666667
conveniencia,comoditatea,0.4666666666666668
impersonalidade,impersonalitate,0.12444444444444436
incrible,incredibil,0.14166666666666672
xenerico,generic,0.1523809523809525
conecemento,cunostinte,0.5133333333333334
ter,a avea,0.6888888888888889
asinante,semnatar,0.45000000000000007
prexuizo,in detriment,0.675
posterior,ulterior,0.22499999999999998
actuar,act,0.08888888888888902
profesional,profesional,0.0
moi,foarte,0.6888888888888889
disolutamente,disolut,0.06666666666666665
non me deas,nu-mi da,0.375
recalcitrante,recalcitrant,0.011111111111111072
posiblemente,eventual,0.4750000000000001
aprazado,amanata,0.5142857142857143
restrinxir,restrange,0.3037037037037037
inconmensurable,nemasurata,0.3933333333333332
sapiencia,intelepciune,0.5037037037037038
polo tanto,prin urmare,0.6066666666666667
sinonimo,sinonim,0.01904761904761898
contextualizar,contextualizati,0.0714285714285714
cordura,sanatate psihica,0.6761904761904762
subversivo,subversiv,0.014814814814814725
melancolia,melancolie,0.09333333333333327
permisividade,permisivitatea,0.15384615384615363
arrogante,arogant,0.03809523809523818
incircunciso,necircumcis,0.18181818181818177
apoxeo,ziua de glorie,0.5444444444444445
inocuo,inofensiv,0.4555555555555557
halagado,flatat,0.48888888888888893
estilo eclesial,stilul eclesial,0.1200000000000001
meticuloso,meticulos,0.014814814814814725
benevolencia,bunavointa,0.3733333333333334
hexemonia,hegemonie,0.20740740740740748
estigma,stigmatizarea,0.19047619047619035
retorica,retorica,0.0
implicito,implicit,0.016666666666666607
barco,nava,0.6666666666666667
infame,infam,0.026666666666666727
importante,important,0.014814814814814725
cobiza,lacomie,0.4666666666666667
crer,crede,0.25
interseccion,intersectie,0.17575757575757567
analoxico,analogic,0.13333333333333341
claustral,claustrala,0.014814814814814725
endemica,endemice,0.1166666666666667
paciencia,rabdare,0.638095238095238
analoxia,analogie,0.2333333333333334
proporcionar,oferi,0.4666666666666668
libertinaxe,depravare,0.5037037037037038
intolerancia,intoleranta,0.09090909090909083
xus,jus,0.3111111111111112
enxeno,spirit,0.8222222222222223
area,zona,0.6333333333333333
senor,domnule,0.7066666666666667
perspicacia,perspicacitate,0.030303030303030276
intermediario,intermediar,0.018181818181817966
lei,lege,0.33333333333333337
coxo,schiop,0.5
modestia,modestie,0.1166666666666667
exilio,exil,0.050000000000000155
oportunidade,oportunitate,0.15555555555555545
amor,dragoste,0.55
personaxe,caracter,0.5583333333333333
