pt,ro,Alignment Score
grandiloquente,grandilocvent,0.1435897435897434
vulgo,aka,0.8888888888888888
diversidade,diversitate,0.1696969696969698
transformacao,transformare,0.1499999999999999
parcialidade,partinire,0.33333333333333337
vagabundo,vagabond,0.13333333333333341
comorbidade,comorbiditate,0.10303030303030303
egide,egida,0.18666666666666676
entretanto,cu toate acestea,0.56
corolario,corolar,0.028571428571428692
numa,in,0.5333333333333334
teor,continut,0.7
secao,sectiune,0.3866666666666667
interlocutor,interlocutor,0.0
prodigo,risipitor,0.5238095238095238
intrinseco,intrinsec,0.014814814814814725
ninfomaniaco,nimfoman,0.15833333333333321
serenidade,seninatate,0.3533333333333334
cumplicidade,complicitate,0.2333333333333334
atroz,atroce,0.19999999999999996
insercao,inserare,0.22499999999999998
esdruxulo,ciudat,0.7444444444444445
discriminacao,discriminare,0.1499999999999999
valha,in valoare de,0.32000000000000006
discricionario,discretionara,0.21025641025641018
verborragia,verbiaj,0.17142857142857149
discernimento,discernamant,0.16666666666666663
deus,dumnezeu,0.30000000000000016
indubitavel,indubitabil,0.1575757575757576
sobressalente,de rezerva,0.6133333333333333
subestimar,subestima,0.014814814814814725
algoz,calau,0.52
reciprocidade,reciprocitate,0.1435897435897434
lhe,-l,0.5
perfeccionista,perfectionist,0.08205128205128209
rol,rol,0.0
cumprimento,salut,0.6133333333333333
congratulacoes,felicitari,0.6266666666666667
impertinente,obraznic,0.6833333333333333
ambiguo,ambiguu,0.13333333333333341
reiterar,reitereaza,0.1333333333333333
esclarecimento,clarificare,0.4121212121212121
alma,suflet,0.7
assaz,frumos,0.6933333333333334
boa,bun,0.5777777777777777
desdenhar,dispret,0.5238095238095238
interesse,interes,0.028571428571428692
tange,tange,0.0
novo,nou,0.33333333333333337
longanimidade,indelung rabdator,0.49230769230769234
impetuoso,impetuos,0.016666666666666607
veementemente,puternic,0.5916666666666666
bizarro,bizar,0.039999999999999925
conveniencia,comoditatea,0.4666666666666668
impessoalidade,impersonalitate,0.20952380952380945
incrivel,incredibil,0.2333333333333334
generico,generic,0.01904761904761898
conhecimento,cunostinte,0.45333333333333337
ter,a avea,0.6888888888888889
signatario,semnatar,0.24166666666666659
detrimento,in detriment,0.10666666666666669
subsequente,ulterior,0.5583333333333333
ajo,act,0.5777777777777777
profissional,profesional,0.09090909090909094
muito,foarte,0.6933333333333334
dissolutamente,disolut,0.08571428571428563
nomade,nu-mi da,0.4666666666666667
recalcitrante,recalcitrant,0.011111111111111072
eventualmente,eventual,0.04999999999999982
deferido,amanata,0.8285714285714286
restringir,restrange,0.2148148148148148
imensuravel,nemasurata,0.43333333333333335
sapiencia,intelepciune,0.5037037037037038
destarte,prin urmare,0.55
sinonimo,sinonim,0.01904761904761898
contextualizar,contextualizati,0.0714285714285714
sanidade,sanatate psihica,0.4
subversivo,subversiv,0.014814814814814725
melancolico,melancolie,0.09999999999999987
permissividade,permisivitatea,0.19999999999999984
prepotente,arogant,0.4285714285714286
incircunciso,necircumcis,0.18181818181818177
apogeu,ziua de glorie,0.5444444444444445
inocuo,inofensiv,0.4555555555555557
lisonjeado,flatat,0.6222222222222222
eclesiastico,stilul eclesial,0.3666666666666667
meticuloso,meticulos,0.014814814814814725
benevolencia,bunavointa,0.3733333333333334
hegemonia,hegemonie,0.10370370370370374
estigma,stigmatizarea,0.19047619047619035
retorica,retorica,0.0
implicito,implicit,0.016666666666666607
nau,nava,0.33333333333333337
infame,infam,0.026666666666666727
importante,important,0.014814814814814725
avidez,lacomie,0.4666666666666667
crer,crede,0.25
interseccao,intersectie,0.23030303030303023
analogo,analogic,0.1428571428571429
enclausurado,claustrala,0.28666666666666674
endemico,endemice,0.1166666666666667
paciencia,rabdare,0.638095238095238
analogia,analogie,0.1166666666666667
proporcionar,oferi,0.4666666666666668
libertinagem,depravare,0.5185185185185186
intolerancia,intoleranta,0.09090909090909083
jus,jus,0.0
sagacidade,spirit,0.6222222222222222
area,zona,0.6333333333333333
mister,domnule,0.5888888888888889
perspicacia,perspicacitate,0.030303030303030276
intermediario,intermediar,0.018181818181817966
lei,lege,0.33333333333333337
coxo,schiop,0.5
modestia,modestie,0.1166666666666667
exilio,exil,0.050000000000000155
ensejo,oportunitate,0.6555555555555557
amar,dragoste,0.7166666666666668
carater,caracter,0.01904761904761898
