pt,gl,Alignment Score
grandiloquente,grandilocuente,0.06666666666666665
vulgo,tamen conecido como,0.8533333333333334
diversidade,diversidade,0.0
transformacao,transformacion,0.08205128205128198
parcialidade,parcialidade,0.0
vagabundo,vagabundo,0.0
comorbidade,comorbilidade,0.018181818181818188
egide,exido,0.3733333333333334
entretanto,con todo,0.55
corolario,corolario,0.0
numa,en,0.5333333333333334
teor,contido,0.5166666666666666
secao,seccion,0.2266666666666668
interlocutor,interlocutor,0.0
prodigo,prodigo,0.0
intrinseco,intrinseca,0.09333333333333327
ninfomaniaco,ninfomana,0.03703703703703687
serenidade,serenidade,0.0
cumplicidade,complicidade,0.07777777777777772
atroz,atroz,0.0
insercao,insercion,0.13333333333333341
esdruxulo,estrano,0.4
discriminacao,discriminacion,0.08205128205128198
valha,vale,0.25
discricionario,discrecional,0.16666666666666652
verborragia,verborrea,0.11851851851851847
discernimento,discernimento,0.0
deus,deus,0.0
indubitavel,indubidable,0.24848484848484853
sobressalente,recambio,0.5833333333333333
subestimar,subestimar,0.0
algoz,verdugo,0.5466666666666666
reciprocidade,reciprocidade,0.0
lhe,el,0.5
perfeccionista,perfeccionista,0.0
rol,papel,0.6222222222222222
cumprimento,saudo,0.6133333333333333
congratulacoes,parabens,0.4916666666666667
impertinente,impertinente,0.0
ambiguo,ambiguo,0.0
reiterar,reiterar,0.0
esclarecimento,aclaracion,0.30666666666666664
alma,alma,0.0
assaz,fermosa,0.5466666666666666
boa,bo,0.06666666666666676
desdenhar,desprezo,0.43333333333333346
interesse,interese,0.016666666666666607
tange,tanxe,0.18666666666666676
novo,novo,0.0
longanimidade,longa paciencia,0.33846153846153837
impetuoso,impetuoso,0.0
veementemente,fortemente,0.2733333333333333
bizarro,estrano,0.6
conveniencia,conveniencia,0.0
impessoalidade,impersonalidade,0.07619047619047625
incrivel,incrible,0.22499999999999998
generico,xenerico,0.1166666666666667
conhecimento,conecemento,0.09696969696969704
ter,ter,0.0
signatario,asinante,0.3583333333333334
detrimento,prexuizo,0.5583333333333333
subsequente,posterior,0.5703703703703704
ajo,actuar,0.6444444444444444
profissional,profesional,0.09090909090909094
muito,moi,0.3555555555555555
dissolutamente,disolutamente,0.01025641025641022
nomade,non me deas,0.2333333333333335
recalcitrante,recalcitrante,0.0
eventualmente,posiblemente,0.41666666666666663
deferido,aprazado,0.5333333333333334
restringir,restrinxir,0.09333333333333338
imensuravel,inconmensurable,0.19393939393939386
sapiencia,sapiencia,0.0
destarte,polo tanto,0.5666666666666667
sinonimo,sinonimo,0.0
contextualizar,contextualizar,0.0
sanidade,cordura,0.6190476190476191
subversivo,subversivo,0.0
melancolico,melancolia,0.09999999999999987
permissividade,permisividade,0.01025641025641022
prepotente,arrogante,0.4
incircunciso,incircunciso,0.0
apogeu,apoxeo,0.3111111111111112
inocuo,inocuo,0.0
lisonjeado,halagado,0.44166666666666676
eclesiastico,estilo eclesial,0.3666666666666666
meticuloso,meticuloso,0.0
benevolencia,benevolencia,0.0
hegemonia,hexemonia,0.10370370370370374
estigma,estigma,0.0
retorica,retorica,0.0
implicito,implicito,0.0
nau,barco,0.6666666666666667
infame,infame,0.0
importante,importante,0.0
avidez,cobiza,0.5777777777777777
crer,crer,0.0
interseccao,interseccion,0.09696969696969682
analogo,analoxico,0.1523809523809524
enclausurado,claustral,0.23703703703703694
endemico,endemica,0.1166666666666667
paciencia,paciencia,0.0
analogia,analoxia,0.1166666666666667
proporcionar,proporcionar,0.0
libertinagem,libertinaxe,0.09696969696969682
intolerancia,intolerancia,0.0
jus,xus,0.3111111111111112
sagacidade,enxeno,0.7333333333333334
area,area,0.0
mister,senor,0.3733333333333333
perspicacia,perspicacia,0.0
intermediario,intermediario,0.0
lei,lei,0.0
coxo,coxo,0.0
modestia,modestia,0.0
exilio,exilio,0.0
ensejo,oportunidade,0.6555555555555557
amar,amor,0.2333333333333334
carater,personaxe,0.5333333333333334
