es,gl,Alignment Score
grandilocuente,grandilocuente,0.0
alias,tamen conecido como,0.7333333333333334
diversidad,diversidade,0.013333333333333308
transformacion,transformacion,0.0
parcialidad,parcialidade,0.012121212121212088
vagabundo,vagabundo,0.0
comorbilidad,comorbilidade,0.011111111111111072
egida,exido,0.3733333333333334
sin embargo,con todo,0.5583333333333333
corolario,corolario,0.0
en,en,0.0
contenido,contido,0.028571428571428692
seccion,seccion,0.0
interlocutor,interlocutor,0.0
prodigo,prodigo,0.0
intrinseco,intrinseca,0.09333333333333327
ninfomana,ninfomana,0.0
serenidad,serenidade,0.014814814814814725
complicidad,complicidade,0.012121212121212088
atroz,atroz,0.0
insercion,insercion,0.0
extrano,estrano,0.13333333333333341
discriminacion,discriminacion,0.0
valer,vale,0.033333333333333326
discrecional,discrecional,0.0
verbosidad,verborrea,0.2962962962962963
discernimiento,discernimento,0.01025641025641022
dios,deus,0.43333333333333335
indudable,indubidable,0.022222222222222254
repuesto,recambio,0.5166666666666666
subestimar,subestimar,0.0
verdugo,verdugo,0.0
reciprocidad,reciprocidade,0.011111111111111072
a el,el,0.09999999999999998
perfeccionista,perfeccionista,0.0
role,papel,0.6666666666666667
saludo,saudo,0.026666666666666727
felicidades,parabens,0.5666666666666667
travieso,impertinente,0.5666666666666667
ambiguo,ambiguo,0.0
reiterar,reiterar,0.0
aclaracion,aclaracion,0.0
alma,alma,0.0
bonito,fermosa,0.7111111111111111
bien,bo,0.5333333333333334
desden,desprezo,0.3333333333333335
interes,interese,0.01904761904761898
tange,tanxe,0.18666666666666676
nuevo,novo,0.25
longanimidad,longa paciencia,0.30555555555555547
impetuoso,impetuoso,0.0
fuertemente,fortemente,0.09999999999999998
extrano,estrano,0.13333333333333341
conveniencia,conveniencia,0.0
impersonalidad,impersonalidade,0.00952380952380949
increible,incrible,0.016666666666666607
generico,xenerico,0.1166666666666667
conocimiento,conecemento,0.18181818181818177
tener,ter,0.06666666666666665
signatario,asinante,0.3583333333333334
detrimento,prexuizo,0.5583333333333333
subsecuente,posterior,0.5703703703703704
acto,actuar,0.2666666666666667
profesional,profesional,0.0
muy,moi,0.5777777777777777
en disolucion,disolutamente,0.3897435897435896
no me des,non me deas,0.029629629629629672
recalcitrante,recalcitrante,0.0
posiblemente,posiblemente,0.0
diferido,aprazado,0.5333333333333334
restringir,restrinxir,0.09333333333333338
inconmensurable,inconmensurable,0.0
sapiencia,sapiencia,0.0
por lo tanto,polo tanto,0.020000000000000018
sinonimo,sinonimo,0.0
contextualizar,contextualizar,0.0
cordura,cordura,0.0
subversivo,subversivo,0.0
melancolia,melancolia,0.0
permisividad,permisividade,0.011111111111111072
arrogante,arrogante,0.0
incircunciso,incircunciso,0.0
apogeo,apoxeo,0.15555555555555556
inofensivo,inocuo,0.3333333333333335
halagada,halagado,0.1166666666666667
estilo eclesial!,estilo eclesial,0.008888888888888835
meticuloso,meticuloso,0.0
benevolencia,benevolencia,0.0
hegemonia,hexemonia,0.10370370370370374
estigma,estigma,0.0
retorica,retorica,0.0
implicito,implicito,0.0
barco,barco,0.0
infame,infame,0.0
importante,importante,0.0
codicia,cobiza,0.3111111111111112
creer,crer,0.033333333333333326
interseccion,interseccion,0.0
termino analogo,analoxico,0.33333333333333337
conventual,claustral,0.4740740740740741
endemico,endemica,0.1166666666666667
paciencia,paciencia,0.0
analogia,analoxia,0.1166666666666667
proporcionar,proporcionar,0.0
libertinaje,libertinaxe,0.08484848484848473
intolerancia,intolerancia,0.0
jus,xus,0.3111111111111112
ingenio,enxeno,0.33333333333333337
area,area,0.0
senor,senor,0.0
conocimiento,perspicacia,0.6181818181818182
intermediario,intermediario,0.0
ley,lei,0.3111111111111111
aburrido,coxo,0.7
modestia,modestia,0.0
exilio,exilio,0.0
oportunidad,oportunidade,0.012121212121212088
amar,amor,0.2333333333333334
personaje,personaxe,0.10370370370370374
