en,gl,Alignment Score
grandiloquent,grandilocuente,0.08205128205128209
aka,tamen conecido como,0.9555555555555556
diversity,diversidade,0.20740740740740737
transformation,transformacion,0.06666666666666665
partiality,parcialidade,0.2799999999999999
tramp,vagabundo,0.7466666666666667
comorbidity,comorbilidade,0.2484848484848483
aegis,exido,0.5466666666666666
nonetheless,con todo,0.575
corollary,corolario,0.19999999999999996
in,en,0.4666666666666667
content,contido,0.36190476190476195
section,seccion,0.13333333333333341
interlocutor,interlocutor,0.0
prodigal,prodigo,0.1428571428571429
intrinsic,intrinseca,0.11851851851851858
nymphomaniac,ninfomana,0.31851851851851853
serenity,serenidade,0.23333333333333328
complicity,complicidade,0.18666666666666665
atrocious,atroz,0.2400000000000001
insertion,insercion,0.10370370370370374
strange,estrano,0.2571428571428571
discrimination,discriminacion,0.06666666666666665
worth,vale,0.85
discretionary,discrecional,0.16111111111111098
verbiage,verborrea,0.33333333333333337
discernment,discernimento,0.024242424242424176
god,deus,0.6000000000000001
indubitable,indubidable,0.08484848484848484
spare,recambio,0.5466666666666666
underestimate,subestimar,0.29333333333333333
executioner,verdugo,0.5523809523809524
reciprocity,reciprocidade,0.16969696969696957
him,el,0.9
perfectionist,perfeccionista,0.08205128205128209
role,papel,0.6666666666666667
greeting,saudo,0.8666666666666667
congratulations,parabens,0.4916666666666667
naughty,impertinente,0.6571428571428571
ambiguous,ambiguo,0.028571428571428692
reiterate,reiterar,0.125
clarification,aclaracion,0.20666666666666678
soul,alma,0.6500000000000001
pretty,fermosa,0.7222222222222222
good,bo,0.5666666666666667
disdain,desprezo,0.6190476190476191
interest,interese,0.1166666666666667
tange,tanxe,0.18666666666666676
new,novo,0.6000000000000001
longsuffering,longa paciencia,0.4666666666666668
impetuous,impetuoso,0.10370370370370374
strongly,fortemente,0.6583333333333334
bizarre,estrano,0.7047619047619048
convenience,conveniencia,0.09090909090909083
impersonality,impersonalidade,0.1435897435897434
incredible,incrible,0.025000000000000022
generic,xenerico,0.1523809523809525
knowledge,conecemento,0.5925925925925926
to have,ter,0.3999999999999999
signatory,asinante,0.3500000000000001
detriment,prexuizo,0.6499999999999999
subsequent,posterior,0.6518518518518519
act,actuar,0.08888888888888902
professional,profesional,0.012121212121212088
very,moi,0.8666666666666667
dissolutely,disolutamente,0.2484848484848483
do not give me,non me deas,0.4303030303030304
recalcitrant,recalcitrante,0.011111111111111072
possibly,posiblemente,0.2583333333333332
deferred,aprazado,0.6416666666666666
restrict,restrinxir,0.23333333333333328
immeasurable,inconmensurable,0.17222222222222228
sapience,sapiencia,0.125
therefore,polo tanto,0.6518518518518519
synonym,sinonimo,0.2857142857142858
contextualize,contextualizar,0.07692307692307687
sanity,cordura,0.711111111111111
subversive,subversivo,0.09333333333333327
melancholic,melancolia,0.10666666666666658
permissiveness,permisividade,0.2666666666666665
arrogant,arrogante,0.016666666666666607
uncircumcised,incircunciso,0.23888888888888893
heyday,apoxeo,0.7
harmless,inocuo,0.8444444444444446
flattered,halagado,0.55
ecclesial!style,estilo eclesial,0.3866666666666666
meticulous,meticuloso,0.09333333333333327
benevolence,benevolencia,0.09090909090909083
hegemony,hexemonia,0.2416666666666667
stigma,estigma,0.022222222222222143
rhetoric,retorica,0.1166666666666667
implicit,implicito,0.016666666666666607
ship,barco,0.85
infamous,infame,0.1777777777777777
important,importante,0.014814814814814725
greed,cobiza,0.8400000000000001
believe,crer,0.7
intersection,interseccion,0.07777777777777772
analogue,analoxico,0.32499999999999984
cloistered,claustral,0.40000000000000013
endemic,endemica,0.01904761904761898
patience,paciencia,0.2416666666666667
analogy,analoxia,0.2571428571428571
provide,proporcionar,0.4285714285714287
debauchery,libertinaxe,0.6
intolerance,intolerancia,0.09090909090909083
jus,xus,0.3111111111111112
wit,enxeno,0.9111111111111111
area,area,0.0
mister,senor,0.3733333333333333
insight,perspicacia,0.6571428571428571
intermediary,intermediario,0.08333333333333337
law,lei,0.5777777777777777
lame,coxo,0.8333333333333334
modesty,modestia,0.1428571428571429
exile,exilio,0.19999999999999996
opportunity,oportunidade,0.24242424242424243
love,amor,0.6666666666666667
character,personaxe,0.5777777777777777
