fr,it,Alignment Score
grandiloquent,magniloquente,0.20512820512820518
alias,ovvero,0.8400000000000001
diversite,diversita,0.10370370370370374
transformation,trasformazione,0.1333333333333332
partialite,parzialita,0.18666666666666676
clochard,vagabondo,0.6499999999999999
comorbidite,comorbilita,0.16969696969696968
egide,egida,0.18666666666666676
neanmoins,cio nonostante,0.5185185185185186
corollaire,corollario,0.17999999999999994
dans,in,0.5666666666666667
contenu,contenuto,0.028571428571428692
section,sezione,0.2571428571428571
interlocuteur,interlocutore,0.1333333333333332
prodigue,prodigo,0.1428571428571429
intrinseque,intrinseco,0.17999999999999994
nymphomane,ninfomane,0.28888888888888886
serenite,serenita,0.1166666666666667
complicite,complicita,0.09333333333333327
atroce,atroce,0.0
insertion,inserimento,0.21481481481481468
etrange,strano,0.3222222222222223
discrimination,discriminazione,0.07619047619047614
valeur,di valore,0.33333333333333337
discretionnaire,discrezionale,0.15897435897435885
verbiage,verbosita,0.2333333333333334
discernement,discernimento,0.08888888888888902
dieu,dio,0.33333333333333337
indubitable,indubitabile,0.012121212121212088
de rechange,ricambio,0.575
sous-estimer,sottovalutare,0.5000000000000001
bourreau,boia,0.31666666666666676
la reciprocite,reciprocita,0.10909090909090902
lui,lui,0.0
perfectionniste,perfezionista,0.15897435897435885
role,ruolo,0.2666666666666667
salutation,saluto,0.06666666666666665
toutes nos felicitations,congratulazioni,0.5022222222222222
vilain,cattivo,0.6000000000000001
ambigue,ambiguo,0.13333333333333341
reiterer,ribadire,0.43333333333333335
clarification,una precisazione,0.4307692307692308
ame,anima,0.37777777777777777
joli,bello,0.6666666666666667
bien,bene,0.2333333333333334
mepris,disprezzo,0.6
interet,interesse,0.1523809523809524
tanger,tangente,0.1777777777777777
nouveau,nuovo,0.40000000000000013
longue souffrance,longanime,0.2592592592592593
impetueux,impetuoso,0.28148148148148144
fortement,fortemente,0.014814814814814725
bizarre,bizzarro,0.1523809523809525
commodite,convenienza,0.48888888888888893
impersonnalite,impersonalita,0.08205128205128198
incroyable,incredibile,0.2666666666666667
generique,generico,0.22499999999999998
connaissance,conoscenza,0.36
avoir,avere,0.36
signataire,firmatario,0.44666666666666677
detriment,danno,0.5866666666666667
subsequent,successivo,0.5866666666666667
acte,atto,0.45000000000000007
professionnel,professionale,0.1384615384615382
tres,molto,0.6666666666666667
dissoluement,dissoluto,0.12592592592592589
ne me donne pas,non darmi,0.44444444444444453
recalcitrant,recalcitrante,0.011111111111111072
peut-etre,possibilmente,0.5037037037037038
differe,differito,0.1523809523809524
limiter,limitare,0.1428571428571429
incommensurable,incommensurabile,0.008888888888888835
sapience,sapienza,0.21666666666666667
donc,percio,0.6833333333333333
synonyme,sinonimo,0.3500000000000001
contextualiser,contestualizzare,0.2047619047619046
sante mentale,sanita mentale,0.08205128205128209
subversif,sovversivo,0.3037037037037037
melancolique,malinconia,0.3733333333333333
permissivite,permissivita,0.07777777777777772
arrogant,arrogante,0.016666666666666607
incirconcis,incirconciso,0.012121212121212088
apogee,periodo d'oro,0.6444444444444444
inoffensif,innocuo,0.5047619047619049
flatte,lusingato,0.47777777777777775
style ecclesiastique,stile ecclesiale,0.1333333333333332
meticuleux,meticoloso,0.34666666666666657
bienveillance,benevolenza,0.4121212121212121
hegemonie,egemonia,0.13333333333333341
stigmate,stigma,0.03333333333333344
rhetorique,retorica,0.24166666666666659
implicite,implicito,0.10370370370370374
bateau,nave,0.5166666666666668
infame,infame,0.0
important,importante,0.014814814814814725
avidite,avidita,0.13333333333333341
croire,credere,0.30000000000000004
intersection,intersezione,0.1499999999999999
analogue,analogico,0.22499999999999998
cloitre,clausura,0.5047619047619049
endemique,endemico,0.22499999999999998
patience,pazienza,0.33333333333333337
analogie,analogia,0.1166666666666667
fournir,fornire,0.13333333333333341
debauche,dissolutezza,0.5666666666666667
intolerance,intolleranza,0.16969696969696957
jus,giusto,0.3999999999999999
esprit,spirito,0.1777777777777778
zone,la zona,0.30000000000000016
monsieur,signore,0.49523809523809526
apercu,intuizione,0.7444444444444445
intermediaire,procacciatore d'affari,0.4717948717948719
loi,legge,0.6222222222222222
boiteux,zoppo,0.7066666666666668
modestie,modestia,0.1166666666666667
exile,esilio,0.3866666666666667
opportunite,opportunita,0.08484848484848473
amour,amore,0.18666666666666676
personnage,carattere,0.5629629629629629
