en,fr,Alignment Score
grandiloquent,grandiloquent,0.0
aka,alias,0.37777777777777777
diversity,diversite,0.10370370370370374
transformation,transformation,0.0
partiality,partialite,0.09333333333333327
tramp,clochard,0.7333333333333334
comorbidity,comorbidite,0.08484848484848473
aegis,egide,0.3600000000000001
nonetheless,neanmoins,0.4814814814814815
corollary,corollaire,0.11851851851851858
in,dans,0.5666666666666667
content,contenu,0.13333333333333341
section,section,0.0
interlocutor,interlocuteur,0.08333333333333337
prodigal,prodigue,0.21666666666666667
intrinsic,intrinseque,0.20740740740740737
nymphomaniac,nymphomane,0.10666666666666658
serenity,serenite,0.1166666666666667
complicity,complicite,0.09333333333333327
atrocious,atroce,0.18888888888888877
insertion,insertion,0.0
strange,etrange,0.13333333333333341
discrimination,discrimination,0.0
worth,valeur,0.6933333333333334
discretionary,discretionnaire,0.0923076923076922
verbiage,verbiage,0.0
discernment,discernement,0.012121212121212088
god,dieu,0.6000000000000001
indubitable,indubitable,0.0
spare,de rechange,0.6
underestimate,sous-estimer,0.3666666666666667
executioner,bourreau,0.6583333333333334
reciprocity,la reciprocite,0.10909090909090902
him,lui,0.6000000000000001
perfectionist,perfectionniste,0.02051282051282044
role,role,0.0
greeting,salutation,0.55
congratulations,toutes nos felicitations,0.37777777777777777
naughty,vilain,0.7
ambiguous,ambigue,0.1523809523809524
reiterate,reiterer,0.125
clarification,clarification,0.0
soul,ame,0.8666666666666667
pretty,joli,0.8666666666666667
good,bien,0.8333333333333334
disdain,mepris,0.5777777777777777
interest,interet,0.01904761904761898
tange,tanger,0.026666666666666727
new,nouveau,0.42222222222222217
longsuffering,longue souffrance,0.24102564102564095
impetuous,impetueux,0.20740740740740748
strongly,fortement,0.6499999999999999
bizarre,bizarre,0.0
convenience,commodite,0.48888888888888893
impersonality,impersonnalite,0.08205128205128198
incredible,incroyable,0.2533333333333334
generic,generique,0.1523809523809524
knowledge,connaissance,0.674074074074074
to have,avoir,0.5466666666666666
signatory,signataire,0.2148148148148148
detriment,detriment,0.0
subsequent,subsequent,0.0
act,acte,0.04444444444444451
professional,professionnel,0.08333333333333337
very,tres,0.6666666666666667
dissolutely,dissoluement,0.23636363636363633
do not give me,ne me donne pas,0.5333333333333334
recalcitrant,recalcitrant,0.0
possibly,peut-etre,0.7250000000000001
deferred,differe,0.2761904761904762
restrict,limiter,0.6190476190476191
immeasurable,incommensurable,0.10000000000000009
sapience,sapience,0.0
therefore,donc,0.75
synonym,synonyme,0.01904761904761898
contextualize,contextualiser,0.08205128205128198
sanity,sante mentale,0.3777777777777779
subversive,subversif,0.11111111111111116
melancholic,melancolique,0.16969696969696957
permissiveness,permissivite,0.15555555555555545
arrogant,arrogant,0.0
uncircumcised,incirconcis,0.2606060606060606
heyday,apogee,0.7
harmless,inoffensif,0.6583333333333334
flattered,flatte,0.04444444444444429
ecclesial!style,style ecclesiastique,0.2533333333333332
meticulous,meticuleux,0.18666666666666676
benevolence,bienveillance,0.25454545454545463
hegemony,hegemonie,0.125
stigma,stigmate,0.03333333333333344
rhetoric,rhetorique,0.1333333333333333
implicit,implicite,0.016666666666666607
ship,bateau,0.8666666666666667
infamous,infame,0.1777777777777777
important,important,0.0
greed,avidite,0.7066666666666667
believe,croire,0.5888888888888889
intersection,intersection,0.0
analogue,analogue,0.0
cloistered,cloitre,0.05714285714285727
endemic,endemique,0.1523809523809524
patience,patience,0.0
analogy,analogie,0.1428571428571429
provide,fournir,0.6285714285714286
debauchery,debauche,0.025000000000000022
intolerance,intolerance,0.0
jus,jus,0.0
wit,esprit,0.37777777777777777
area,zone,0.6499999999999999
mister,monsieur,0.3222222222222223
insight,apercu,0.8333333333333334
intermediary,intermediaire,0.0888888888888888
law,loi,0.5777777777777777
lame,boiteux,0.7
modesty,modestie,0.1428571428571429
exile,exile,0.0
opportunity,opportunite,0.08484848484848473
love,amour,0.6833333333333333
character,personnage,0.5851851851851853
