es,it,Alignment Score
grandilocuente,magniloquente,0.2153846153846154
alias,ovvero,0.8400000000000001
diversidad,diversita,0.11851851851851858
transformacion,trasformazione,0.1333333333333332
parcialidad,parzialita,0.19999999999999996
vagabundo,vagabondo,0.10370370370370374
comorbilidad,comorbilita,0.09696969696969682
egida,egida,0.0
sin embargo,cio nonostante,0.6303030303030304
corolario,corollario,0.014814814814814725
en,in,0.4666666666666667
contenido,contenuto,0.19259259259259254
seccion,sezione,0.2571428571428571
interlocutor,interlocutore,0.011111111111111072
prodigo,prodigo,0.0
intrinseco,intrinseco,0.0
ninfomana,ninfomane,0.10370370370370374
serenidad,serenita,0.13333333333333341
complicidad,complicita,0.10666666666666669
atroz,atroce,0.19999999999999996
insercion,inserimento,0.21481481481481468
extrano,strano,0.16666666666666663
discriminacion,discriminazione,0.07619047619047614
valer,di valore,0.2533333333333334
discrecional,discrezionale,0.08888888888888902
verbosidad,verbosita,0.11851851851851858
discernimiento,discernimento,0.01025641025641022
dios,dio,0.04444444444444451
indudable,indubitabile,0.13333333333333341
repuesto,ricambio,0.6166666666666667
subestimar,sottovalutare,0.44666666666666666
verdugo,boia,0.7
reciprocidad,reciprocita,0.09696969696969682
a el,lui,0.6000000000000001
perfeccionista,perfezionista,0.07692307692307687
role,ruolo,0.2666666666666667
saludo,saluto,0.15555555555555556
felicidades,congratulazioni,0.6424242424242425
travieso,cattivo,0.5047619047619049
ambiguo,ambiguo,0.0
reiterar,ribadire,0.44166666666666676
aclaracion,una precisazione,0.40666666666666673
alma,anima,0.25
bonito,bello,0.52
bien,bene,0.2333333333333334
desden,disprezzo,0.5
interes,interesse,0.028571428571428692
tange,tangente,0.05333333333333323
nuevo,nuovo,0.18666666666666676
longanimidad,longanime,0.12592592592592589
impetuoso,impetuoso,0.0
fuertemente,fortemente,0.09999999999999998
extrano,bizzarro,0.6095238095238096
conveniencia,convenienza,0.09090909090909083
impersonalidad,impersonalita,0.08205128205128198
increible,incredibile,0.029629629629629672
generico,generico,0.0
conocimiento,conoscenza,0.2799999999999999
tener,avere,0.52
signatario,firmatario,0.2666666666666667
detrimento,danno,0.42666666666666664
subsecuente,successivo,0.5133333333333334
acto,atto,0.2333333333333334
profesional,professionale,0.024242424242424176
muy,molto,0.6222222222222222
en disolucion,dissoluto,0.24444444444444446
no me des,non darmi,0.4740740740740741
recalcitrante,recalcitrante,0.0
posiblemente,possibilmente,0.08888888888888902
diferido,differito,0.13333333333333341
restringir,limitare,0.5666666666666667
inconmensurable,incommensurabile,0.07111111111111112
sapiencia,sapienza,0.125
por lo tanto,percio,0.5111111111111111
sinonimo,sinonimo,0.0
contextualizar,contestualizzare,0.08571428571428563
cordura,sanita mentale,0.780952380952381
subversivo,sovversivo,0.17333333333333334
melancolia,malinconia,0.2666666666666667
permisividad,permissivita,0.15555555555555545
arrogante,arrogante,0.0
incircunciso,incirconciso,0.07777777777777772
apogeo,periodo d'oro,0.5111111111111111
inofensivo,innocuo,0.40000000000000013
halagada,lusingato,0.55
estilo eclesial!,stile ecclesiale,0.17499999999999993
meticuloso,meticoloso,0.09333333333333338
benevolencia,benevolenza,0.09090909090909083
hegemonia,egemonia,0.016666666666666607
estigma,stigma,0.022222222222222143
retorica,retorica,0.0
implicito,implicito,0.0
barco,nave,0.6833333333333333
infame,infame,0.0
importante,importante,0.0
codicia,avidita,0.49523809523809526
creer,credere,0.053333333333333344
interseccion,intersezione,0.1499999999999999
termino analogo,analogico,0.23703703703703694
conventual,clausura,0.55
endemico,endemico,0.0
paciencia,pazienza,0.2416666666666667
analogia,analogia,0.0
proporcionar,fornire,0.4476190476190476
libertinaje,dissolutezza,0.6181818181818182
intolerancia,intolleranza,0.1499999999999999
jus,giusto,0.3999999999999999
ingenio,spirito,0.49523809523809526
area,la zona,0.5
senor,signore,0.22666666666666668
conocimiento,intuizione,0.52
intermediario,procacciatore d'affari,0.40512820512820524
ley,legge,0.3555555555555555
aburrido,zoppo,0.7066666666666668
modestia,modestia,0.0
exilio,esilio,0.15555555555555556
oportunidad,opportunita,0.1696969696969698
amar,amore,0.2666666666666666
personaje,carattere,0.5555555555555556
