en,ro,Alignment Score
grandiloquent,grandilocvent,0.13333333333333341
aka,aka,0.0
diversity,diversitate,0.11851851851851847
transformation,transformare,0.15555555555555545
partiality,partinire,0.3037037037037037
tramp,vagabond,0.7333333333333334
comorbidity,comorbiditate,0.09696969696969682
aegis,egida,0.3600000000000001
nonetheless,cu toate acestea,0.5212121212121212
corollary,corolar,0.03809523809523818
in,in,0.0
content,continut,0.1523809523809525
section,sectiune,0.1523809523809525
interlocutor,interlocutor,0.0
prodigal,risipitor,0.6333333333333333
intrinsic,intrinsec,0.10370370370370374
nymphomaniac,nimfoman,0.275
serenity,seninatate,0.35
complicity,complicitate,0.10666666666666658
atrocious,atroce,0.18888888888888877
insertion,inserare,0.32499999999999984
strange,ciudat,0.7111111111111111
discrimination,discriminare,0.15555555555555545
worth,in valoare de,0.6533333333333333
discretionary,discretionara,0.07179487179487176
verbiage,verbiaj,0.1428571428571429
discernment,discernamant,0.09696969696969704
god,dumnezeu,0.6888888888888889
indubitable,indubitabil,0.08484848484848473
spare,de rezerva,0.5866666666666667
underestimate,subestima,0.23703703703703694
executioner,calau,0.6
reciprocity,reciprocitate,0.09696969696969682
him,-l,0.9
perfectionist,perfectionist,0.0
role,rol,0.04444444444444451
greeting,salut,0.72
congratulations,felicitari,0.56
naughty,obraznic,0.7238095238095238
ambiguous,ambiguu,0.03809523809523818
reiterate,reitereaza,0.19999999999999996
clarification,clarificare,0.16969696969696957
soul,suflet,0.28333333333333355
pretty,frumos,0.7111111111111111
good,bun,0.8666666666666667
disdain,dispret,0.4761904761904763
interest,interes,0.01904761904761898
tange,tange,0.0
new,nou,0.5777777777777777
longsuffering,indelung rabdator,0.594871794871795
impetuous,impetuos,0.016666666666666607
strongly,puternic,0.55
bizarre,bizar,0.039999999999999925
convenience,comoditatea,0.5393939393939394
impersonality,impersonalitate,0.08205128205128198
incredible,incredibil,0.09333333333333327
generic,generic,0.0
knowledge,cunostinte,0.5703703703703704
to have,a avea,0.3222222222222223
signatory,semnatar,0.3500000000000001
detriment,in detriment,0.029629629629629672
subsequent,ulterior,0.6499999999999999
act,act,0.0
professional,profesional,0.012121212121212088
very,foarte,0.6833333333333333
dissolutely,disolut,0.05714285714285716
do not give me,nu-mi da,0.6000000000000001
recalcitrant,recalcitrant,0.0
possibly,eventual,0.7250000000000001
deferred,amanata,0.8285714285714286
restrict,restrange,0.32499999999999984
immeasurable,nemasurata,0.3666666666666667
sapience,intelepciune,0.4666666666666667
therefore,prin urmare,0.5777777777777777
synonym,sinonim,0.2666666666666667
contextualize,contextualizati,0.08205128205128198
sanity,sanatate psihica,0.4111111111111112
subversive,subversiv,0.014814814814814725
melancholic,melancolie,0.10666666666666658
permissiveness,permisivitatea,0.3047619047619047
arrogant,arogant,0.01904761904761898
uncircumcised,necircumcis,0.10303030303030303
heyday,ziua de glorie,0.7888888888888889
harmless,inofensiv,0.6499999999999999
flattered,flatat,0.18888888888888877
ecclesial!style,stilul eclesial,0.3866666666666666
meticulous,meticulos,0.014814814814814725
benevolence,bunavointa,0.4600000000000001
hegemony,hegemonie,0.125
stigma,stigmatizarea,0.08888888888888857
rhetoric,retorica,0.1166666666666667
implicit,implicit,0.0
ship,nava,0.8333333333333334
infamous,infam,0.05333333333333323
important,important,0.0
greed,lacomie,0.7066666666666667
believe,crede,0.56
intersection,intersectie,0.09090909090909083
analogue,analogic,0.21666666666666667
cloistered,claustrala,0.43333333333333346
endemic,endemice,0.01904761904761898
patience,rabdare,0.6190476190476191
analogy,analogie,0.1428571428571429
provide,oferi,0.56
debauchery,depravare,0.48888888888888904
intolerance,intoleranta,0.15757575757575748
jus,jus,0.0
wit,spirit,0.37777777777777777
area,zona,0.6333333333333333
mister,domnule,0.5888888888888889
insight,perspicacitate,0.5714285714285714
intermediary,intermediar,0.012121212121212088
law,lege,0.6000000000000001
lame,schiop,0.8666666666666667
modesty,modestie,0.1428571428571429
exile,exil,0.033333333333333326
opportunity,oportunitate,0.16969696969696957
love,dragoste,0.5333333333333334
character,caracter,0.016666666666666607
