en,it,Alignment Score
live,vivere,0.2833333333333333
gift,regalo,0.6833333333333333
good,bene,0.8333333333333334
relativize,relativizzare,0.026666666666666616
hurry,fretta,0.7066666666666668
paradigm,paradigma,0.016666666666666607
contradictory,contraddittorio,0.15897435897435885
privilege,privilegio,0.11111111111111116
heal,guarire,0.7
pose,posa,0.2333333333333334
clan,clan,0.0
concept,concetto,0.1428571428571429
it was,era,0.6666666666666667
someone else,qualcun altro,0.6444444444444445
fraternity,fraternita,0.09333333333333327
intercurrence,intercorrenza,0.20512820512820507
design,progetto,0.7333333333333334
uninterrupted,ininterrotto,0.3055555555555556
assess,valutare,0.6000000000000001
cynicism,cinismo,0.2761904761904762
behavior,comportamento,0.6666666666666667
force,forza,0.3466666666666668
term,termine,0.06666666666666676
relocation,trasferimento,0.5333333333333333
lies,bugie,0.4666666666666667
aforementioned,suddetto,0.6000000000000001
give,dare,0.6333333333333333
resplendent,splendente,0.09999999999999998
worthy,degno,0.6933333333333334
plausible,plausibile,0.014814814814814725
i love,io amo,0.4444444444444444
morbid,morboso,0.30000000000000016
relevance,pertinenza,0.5777777777777778
soon,presto,0.4833333333333334
cia,cia,0.0
authenticity,autenticita,0.09696969696969682
reflect,riflettere,0.2952380952380953
anathema,anatema,0.01904761904761898
presumptuous,presuntuoso,0.17575757575757567
leisure,tempo libero,0.5523809523809524
offspring,prole,0.5733333333333334
dream,sogno,0.8266666666666667
current,attuale,0.6190476190476191
licentiousness,licenziosita,0.29999999999999993
demagogue,demagogo,0.125
saga,saga,0.0
description,descrizione,0.16363636363636358
peculiarity,peculiarita,0.08484848484848473
compassionate,compassionevole,0.1435897435897434
misogynist,misogino,0.24166666666666659
too,pure,0.8666666666666667
inference,inferenza,0.19259259259259254
simplicity,semplicita,0.18666666666666676
claim,reclamo,0.22666666666666668
fate,destino,0.7
peak,picco,0.6499999999999999
erudite,erudito,0.13333333333333341
phlegmatic,flemmatico,0.27333333333333343
procedure,procedura,0.10370370370370374
nor,ne,0.5
printing,stampa,0.7222222222222222
circumspect,circospetto,0.24242424242424243
company,azienda,0.6095238095238096
to develop,sviluppare,0.6066666666666667
determination,determinazione,0.08205128205128198
as,come,0.9333333333333333
diligent,diligente,0.016666666666666607
playful,giocoso,0.8190476190476191
duty,dovere,0.6666666666666667
resolution,risoluzione,0.19999999999999996
turn,giro,0.6666666666666667
labaro,labaro,0.0
constancy,costanza,0.2333333333333334
thesis,tesi,0.06666666666666676
myth,mito,0.4666666666666667
to be,essere,0.6799999999999999
incident,incidente,0.016666666666666607
characterize,caratterizzare,0.16666666666666663
road,strada,0.2833333333333333
genre,genere,0.026666666666666727
responsible,responsabile,0.09090909090909094
impute,imputare,0.03333333333333344
epistemological,epistemologico,0.0714285714285714
happiness,felicita,0.7333333333333334
task,compito,0.7
great,grande,0.3600000000000001
not(c)member,non(c)membro,0.15555555555555545
cunning,astuzia,0.6285714285714286
lucubration,elucubrazione,0.10909090909090913
scope,scopo,0.18666666666666676
self,se stesso,0.5166666666666668
beyond,al di la,0.7222222222222222
inconsequential,irrilevante,0.5636363636363637
context,contesto,0.1523809523809525
humility,umilta,0.20000000000000007
impartial,imparziale,0.11851851851851858
pro,pro,0.0
hypocrisy,ipocrisia,0.2962962962962963
meaning,senso,0.5733333333333334
although,sebbene,0.8285714285714286
detachment,distacco,0.45000000000000007
quota,quota,0.0
racism,razzismo,0.18888888888888888
autonomy,autonomia,0.125
cleanliness,pulizia,0.6476190476190475
indispensable,indispensabile,0.01025641025641022
remaining,residuo,0.5142857142857143
wish,desiderio,0.75
to give,dare,0.6833333333333333
synthetic,sintetico,0.20740740740740748
until,fino a,0.7066666666666668
prominent,prominente,0.014814814814814725
consent,consenso,0.1428571428571429
concerning,riguardante,0.5933333333333334
implementation,implementazione,0.07619047619047614
long-winded,prolisso,0.6499999999999999
consonance,consonanza,0.17333333333333334
apology,scuse,0.8533333333333334
primordial,primordiale,0.013333333333333308
