es,ro,Alignment Score
en vivo,trai,0.7
regalo,cadou,0.56
bien,bun,0.33333333333333337
relativizar,relativiza,0.013333333333333308
apurarse,graba,0.5733333333333334
paradigma,paradigma,0.0
contradictorio,contradictoriu,0.06666666666666665
privilegio,privilegiu,0.09333333333333327
sanar,vindeca,0.56
pose,poza,0.43333333333333335
clan,clan,0.0
concepto,concept,0.01904761904761898
fue,era,0.5777777777777777
alguien mas,altcineva,0.41481481481481497
fraternidad,fraternitate,0.17575757575757567
intercurrencia,intercurente,0.16111111111111098
diseno,proiecta,0.6111111111111112
ininterrumpido,neintrerupta,0.31666666666666665
evaluar,evalua,0.022222222222222143
cinismo,cinism,0.022222222222222143
comportamiento,comportament,0.022222222222222143
fuerza,forta,0.3866666666666667
termino,termen,0.1777777777777778
reubicacion,relocare,0.45833333333333337
mentiras,minciuni,0.5333333333333334
citado,mentionate mai sus,0.6
dar,da,0.06666666666666676
resplandeciente,splendid,0.30833333333333324
valioso,vrednic,0.6095238095238096
plausible,plauzibil,0.20740740740740748
amo,iubesc,0.9111111111111111
morbido,morbid,0.022222222222222143
relevancia,relevanta,0.11111111111111116
pronto,curand,0.6000000000000001
cia,cia,0.0
autenticidad,autenticitate,0.16111111111111098
reflejar,reflectati,0.25
anatema,anatema,0.0
presuntuoso,prezumtios,0.29333333333333345
ocio,agrement,0.9
descendencia,descendenti,0.09696969696969682
sueno,vis,0.6222222222222222
actual,actual,0.0
libertinaje,imoralitate,0.4666666666666667
demagogo,demagog,0.01904761904761898
saga,saga,0.0
descripcion,descriere,0.29629629629629617
peculiaridad,particularitate,0.3222222222222223
compasivo,milos,0.43999999999999995
misogino,misogin,0.01904761904761898
tambien,de asemenea,0.4285714285714286
inferencia,deducere,0.5416666666666667
sencillez,simplitate,0.48888888888888893
afirmar,revendicare,0.5333333333333333
destino,soarta,0.5777777777777777
cima,varf,0.6500000000000001
erudito,erudit,0.022222222222222143
flematico,flegmatic,0.10370370370370374
procedimiento,procedura,0.3111111111111109
ni,nici,0.09999999999999998
impresion,imprimare,0.37037037037037035
circunspecto,circumspect,0.09696969696969693
compania,companie,0.1166666666666667
desarrollar,a dezvolta,0.44666666666666666
determinacion,determinare,0.16969696969696957
como,la fel de,0.9166666666666667
diligente,harnic,0.7444444444444445
jugueton,jucaus,0.4666666666666667
deber,datorie,0.5333333333333333
resolucion,rezolutie,0.31851851851851853
doblar,intoarce,0.4666666666666667
labaro,labaro,0.0
constancia,constanta,0.11111111111111116
tesis,teza,0.45000000000000007
mito,mit,0.04444444444444451
ser,a fi,0.8666666666666667
incidente,incident,0.016666666666666607
caracterizar,caracteriza,0.012121212121212088
camino,drum,0.6833333333333333
genero,gen,0.08888888888888902
responsable,responsabil,0.08484848484848473
imputar,imputa,0.022222222222222143
epistemologico,epistemologica,0.06666666666666665
felicidad,fericire,0.3416666666666667
tarea,sarcina,0.4
excelente,grozav,0.8555555555555556
not(c)miembro,nu(c)membre,0.18787878787878776
astuto,viclean,0.711111111111111
elucubracion,elucubratia,0.17575757575757567
alcance,domeniul de aplicare,0.4
ser,de sine,0.4222222222222223
mas alla de,dincolo,0.7523809523809524
inconsecuente,neinsemnata,0.4181818181818183
contexto,context,0.01904761904761898
humildad,umilinta,0.33333333333333337
imparcial,impartial,0.10370370370370374
pro,pro,0.0
hipocresia,ipocrizie,0.2962962962962963
significado,sens,0.5833333333333333
a pesar de,cu toate ca,0.6
desapego,detasare,0.33333333333333337
cuota,cota,0.033333333333333326
racismo,rasism,0.1777777777777778
autonomia,autonomie,0.10370370370370374
limpieza,curatenie,0.6333333333333333
indispensable,indispensabil,0.07179487179487176
restante,ramas,0.56
desear,dori,0.4833333333333334
dar,a da,0.33333333333333337
sintetico,sintetic,0.016666666666666607
hasta,pana cand,0.6
prominente,proeminent,0.09333333333333327
consentir,consimtamant,0.311111111111111
sobre,cu privire la,0.6266666666666667
implementacion,implementare,0.15555555555555545
prolijo,prelungit,0.4095238095238096
consonancia,consonanta,0.09999999999999998
disculpa,scuze,0.4
primordial,primordial,0.0
