es,gl,Alignment Score
en vivo,en directo,0.2952380952380954
regalo,agasallo,0.3222222222222223
bien,bo,0.5333333333333334
relativizar,relativizar,0.0
apurarse,presa,0.41333333333333333
paradigma,paradigma,0.0
contradictorio,contraditorio,0.01025641025641022
privilegio,privilexio,0.09333333333333338
sanar,curar,0.5066666666666666
pose,pose,0.0
clan,clan,0.0
concepto,concepto,0.0
fue,foi,0.5777777777777777
alguien mas,alguen mais,0.08484848484848473
fraternidad,fraternidade,0.012121212121212088
intercurrencia,intercorrencia,0.06666666666666665
diseno,deseno,0.15555555555555556
ininterrumpido,ininterrompido,0.06666666666666665
evaluar,avaliar,0.2666666666666667
cinismo,cinismo,0.0
comportamiento,comportamento,0.01025641025641022
fuerza,forza,0.19999999999999996
termino,termo,0.04000000000000015
reubicacion,traslado,0.5666666666666667
mentiras,mentiras,0.0
citado,mencionado anteriormente,0.377777777777778
dar,dar,0.0
resplandeciente,resplandeciente,0.0
valioso,digno,0.56
plausible,plausible,0.0
amo,encantame,0.4666666666666667
morbido,morboso,0.24761904761904763
relevancia,relevancia,0.0
pronto,en breve,0.7333333333333334
cia,cia,0.0
autenticidad,autenticidade,0.011111111111111072
reflejar,reflexo,0.2571428571428571
anatema,anatema,0.0
presuntuoso,presuntuoso,0.0
ocio,lecer,0.6833333333333333
descendencia,descendencia,0.0
sueno,sono,0.25
actual,actual,0.0
libertinaje,libertinaxe,0.08484848484848473
demagogo,demagogo,0.0
saga,saga,0.0
descripcion,descricion,0.013333333333333308
peculiaridad,peculiaridade,0.011111111111111072
compasivo,compasivo,0.0
misogino,misoxina,0.2333333333333334
tambien,tamen,0.04000000000000015
inferencia,conclusion,0.5933333333333334
sencillez,sinxeleza,0.3777777777777779
afirmar,reclamacion,0.5333333333333334
destino,destino,0.0
cima,pico,0.6499999999999999
erudito,erudito,0.0
flematico,flematico,0.0
procedimiento,procedemento,0.08888888888888902
ni,nin tampouco,0.3666666666666668
impresion,impresion,0.0
circunspecto,circunspecto,0.0
compania,empresa,0.5047619047619049
desarrollar,desenvolver,0.38787878787878804
determinacion,determinacion,0.0
como,como,0.0
diligente,dilixente,0.10370370370370374
jugueton,xogueton,0.21666666666666667
deber,deber,0.0
resolucion,resolucion,0.0
doblar,quenda,0.5666666666666667
labaro,labaro,0.0
constancia,constancia,0.0
tesis,tese,0.25
mito,mito,0.0
ser,ser,0.0
incidente,incidente,0.0
caracterizar,caracterizar,0.0
camino,estrada,0.711111111111111
genero,xenero,0.15555555555555556
responsable,responsable,0.0
imputar,imputar,0.0
epistemologico,epistemoloxico,0.06666666666666665
felicidad,felicidade,0.014814814814814725
tarea,tarefa,0.026666666666666727
excelente,xenial,0.47777777777777786
not(c)miembro,non e membro,0.28888888888888886
astuto,astucia,0.30000000000000016
elucubracion,elucubracion,0.0
alcance,ambito,0.7
ser,propio,0.6666666666666667
mas alla de,mais alo,0.25
inconsecuente,intranscendente,0.28205128205128205
contexto,contexto,0.0
humildad,humildade,0.016666666666666607
imparcial,imparcial,0.0
pro,pro,0.0
hipocresia,hipocrisia,0.09333333333333338
significado,significado,0.0
a pesar de,ainda que,0.4888888888888888
desapego,desprendemento,0.2833333333333332
cuota,cota,0.033333333333333326
racismo,racismo,0.0
autonomia,autonomia,0.0
limpieza,limpeza,0.01904761904761898
indispensable,indispensable,0.0
restante,restante,0.0
desear,desexo,0.288888888888889
dar,dar,0.0
sintetico,sintetica,0.10370370370370374
hasta,ata que,0.3866666666666667
prominente,destacado,0.674074074074074
consentir,consentimento,0.1333333333333333
sobre,referente,0.56
implementacion,implementacion,0.0
prolijo,longo vento,0.638095238095238
consonancia,consonancia,0.0
disculpa,desculpas,0.13333333333333341
primordial,primordial,0.0
