pt,fr,Alignment Score
avido,en direct,0.7466666666666667
dadiva,cadeau,0.4555555555555556
bom,bien,0.6000000000000001
relativizar,relativiser,0.1575757575757576
pressa,depechez-vous,0.5222222222222223
paradigma,paradigme,0.10370370370370374
contraditorio,contradictoire,0.14871794871794863
privilegio,privilege,0.11111111111111116
sanar,guerir,0.6799999999999999
pose,pose,0.0
cla,clan,0.04444444444444451
conceito,concept,0.1523809523809525
era,c'etait,0.4444444444444444
outrem,quelqu'un d'autre,0.42222222222222217
fraternidade,fraternite,0.10666666666666669
intercorrencia,intercurrence,0.14871794871794863
concepcao,conception,0.20740740740740748
ininterrupto,ininterrompu,0.21111111111111092
aferir,evaluer,0.4555555555555555
cinismo,cynisme,0.2666666666666667
comportamento,comportement,0.08888888888888902
vigor,forcer,0.5333333333333333
termo,terme,0.18666666666666676
remanejamento,demenagement,0.3111111111111112
jaz,mensonges,0.9777777777777779
supracitado,susmentionne,0.5393939393939394
des,donner,0.3999999999999999
resplandecente,resplendissant,0.30952380952380953
digno,digne,0.18666666666666676
plausivel,plausible,0.19999999999999996
amo,j'aime,0.42222222222222217
morbido,morbide,0.13333333333333341
relevancia,pertinence,0.5133333333333334
logo,bientot,0.7
cia,cia,0.0
autenticidade,authenticite,0.15555555555555545
refletir,refleter,0.1166666666666667
anatema,anatheme,0.1523809523809525
presuncoso,presomptueux,0.42666666666666664
ocio,loisirs,0.5166666666666666
prole,progeniture,0.26666666666666683
sonho,reve,0.85
vigente,actuel,0.5888888888888889
licenciosidade,licence,0.07619047619047592
demagogo,demagogue,0.125
saga,saga,0.0
descricao,description,0.21481481481481468
peculiaridade,particularite,0.33333333333333337
compassivo,compatissant,0.2733333333333332
misogino,misogyne,0.2333333333333334
demasiado,aussi,0.41333333333333344
inferencia,inference,0.11111111111111116
simplicidade,simplicite,0.10666666666666669
reivindicar,reclamer,0.3500000000000001
sina,destin,0.2833333333333333
auge,culminer,0.55
erudito,erudit,0.022222222222222143
fleumatico,flegmatique,0.2733333333333333
procedimento,procedure,0.2222222222222222
nem,ni,0.5
impressao,impression,0.11851851851851858
circunspecto,circonspect,0.09696969696969693
companhia,entreprise,0.674074074074074
desenvolver,developper,0.3533333333333334
determinacao,determination,0.15555555555555545
como,comme,0.25
diligente,diligent,0.016666666666666607
ludico,espiegle,0.7222222222222222
dever,devoir,0.19999999999999996
resolucao,resolution,0.20740740740740748
vez,tourner,0.7111111111111111
labaro,labaro,0.0
constancia,constance,0.11111111111111116
tese,these,0.033333333333333326
mito,mythe,0.4833333333333334
ser,etre,0.3555555555555556
incidente,incident,0.016666666666666607
caracterizar,caracteriser,0.14444444444444438
rua,route,0.37777777777777777
genro,genre,0.18666666666666676
irresponsavel,responsable,0.18181818181818177
imputar,imputer,0.13333333333333341
epistemologico,epistemologique,0.12857142857142834
felicidade,bonheur,0.7428571428571429
incumbencia,tache,0.6266666666666667
excelente,super,0.7333333333333334
nescio,pas(c)membre,0.6555555555555556
astuto,ruse,0.7
elucubracao,lucubration,0.24242424242424243
escopo,portee,0.5555555555555556
auto,soi,0.6222222222222222
alem,au-dela,0.5
inconsequente,sans consequence,0.16410256410256407
contexto,contexte,0.1166666666666667
humildade,humilite,0.22499999999999998
imparcial,impartial,0.10370370370370374
pro,pro,0.0
hipocrisia,hypocrisie,0.18666666666666676
significado,signification,0.10303030303030292
embora,bien que,0.7111111111111111
desprendimento,detachement,0.33333333333333337
cota,quota,0.25
racismo,racisme,0.13333333333333341
autonomia,autonomie,0.10370370370370374
asseio,proprete,0.7222222222222222
indispensavel,indispensable,0.1384615384615382
remanescente,restant,0.3142857142857144
anseio,souhait,0.5777777777777777
dar,donner,0.37777777777777777
sintetico,synthetique,0.31851851851851853
ate,jusqu'a,0.6666666666666667
proeminente,eminent,0.05714285714285727
anuencia,consentement,0.5833333333333333
concernente,concernant,0.10666666666666669
implementacao,mise en oeuvre,0.5384615384615385
prolixo,verbeux,0.6190476190476191
consonancia,consonance,0.09999999999999987
apologia,excuses,0.8285714285714286
primordial,primordial,0.0
