en,gl,Alignment Score
live,en directo,0.5833333333333333
gift,agasallo,0.7166666666666668
good,bo,0.5666666666666667
relativize,relativizar,0.09999999999999987
hurry,presa,0.6933333333333334
paradigm,paradigma,0.016666666666666607
contradictory,contraditorio,0.1384615384615382
privilege,privilexio,0.19999999999999996
heal,curar,0.6833333333333333
pose,pose,0.0
clan,clan,0.0
concept,concepto,0.01904761904761898
it was,foi,0.6444444444444445
someone else,alguen mais,0.5575757575757576
fraternity,fraternidade,0.18666666666666665
intercurrence,intercorrencia,0.14871794871794863
design,deseno,0.30000000000000016
uninterrupted,ininterrompido,0.28717948717948727
assess,avaliar,0.7
cynicism,cinismo,0.2761904761904762
behavior,comportamento,0.6666666666666667
force,forza,0.3466666666666668
term,termo,0.033333333333333326
relocation,traslado,0.475
lies,mentiras,0.5166666666666666
aforementioned,mencionado anteriormente,0.4190476190476191
give,dar,0.8666666666666667
resplendent,resplandeciente,0.12121212121212122
worthy,digno,0.6933333333333334
plausible,plausible,0.0
i love,encantame,0.7222222222222222
morbid,morboso,0.30000000000000016
relevance,relevancia,0.11111111111111116
soon,en breve,0.7166666666666668
cia,cia,0.0
authenticity,autenticidade,0.222222222222222
reflect,reflexo,0.24761904761904763
anathema,anatema,0.01904761904761898
presumptuous,presuntuoso,0.17575757575757567
leisure,lecer,0.3866666666666667
offspring,descendencia,0.6888888888888889
dream,sono,0.85
current,actual,0.5777777777777777
licentiousness,libertinaxe,0.35151515151515156
demagogue,demagogo,0.125
saga,saga,0.0
description,descricion,0.09999999999999998
peculiarity,peculiaridade,0.16969696969696957
compassionate,compasivo,0.1407407407407406
misogynist,misoxina,0.3500000000000001
too,tamen,0.6222222222222222
inference,conclusion,0.6518518518518519
simplicity,sinxeleza,0.5703703703703704
claim,reclamacion,0.28
fate,destino,0.7
peak,pico,0.6333333333333333
erudite,erudito,0.13333333333333341
phlegmatic,flematico,0.2148148148148148
procedure,procedemento,0.21481481481481468
nor,nin tampouco,0.5111111111111111
printing,impresion,0.44166666666666676
circumspect,circunspecto,0.09696969696969693
company,empresa,0.49523809523809526
to develop,desenvolver,0.5133333333333334
determination,determinacion,0.07179487179487176
as,como,0.9333333333333333
diligent,dilixente,0.13333333333333341
playful,xogueton,0.7333333333333334
duty,deber,0.6499999999999999
resolution,resolucion,0.09333333333333338
turn,quenda,0.5166666666666668
labaro,labaro,0.0
constancy,constancia,0.11111111111111116
thesis,tese,0.2833333333333333
myth,mito,0.4666666666666667
to be,ser,0.6444444444444445
incident,incidente,0.016666666666666607
characterize,caracterizar,0.1499999999999999
road,estrada,0.30000000000000016
genre,xenero,0.3866666666666667
responsible,responsable,0.08484848484848484
impute,imputar,0.16666666666666663
epistemological,epistemoloxico,0.13809523809523805
happiness,felicidade,0.6666666666666667
task,tarefa,0.4666666666666667
great,xenial,0.56
not(c)member,non e membro,0.3555555555555556
cunning,astucia,0.6095238095238096
lucubration,elucubracion,0.09696969696969704
scope,ambito,0.6933333333333334
self,propio,0.8666666666666667
beyond,mais alo,0.7222222222222222
inconsequential,intranscendente,0.4044444444444445
context,contexto,0.01904761904761898
humility,humildade,0.32499999999999984
impartial,imparcial,0.10370370370370374
pro,pro,0.0
hypocrisy,hipocrisia,0.2148148148148148
meaning,significado,0.6476190476190476
although,ainda que,0.6416666666666666
detachment,desprendemento,0.3666666666666667
quota,cota,0.25
racism,racismo,0.022222222222222143
autonomy,autonomia,0.125
cleanliness,limpeza,0.5333333333333334
indispensable,indispensable,0.0
remaining,restante,0.45000000000000007
wish,desexo,0.7
to give,dar,0.9333333333333333
synthetic,sintetica,0.20740740740740748
until,ata que,0.7066666666666667
prominent,destacado,0.6592592592592592
consent,consentimento,0.06666666666666665
concerning,referente,0.5777777777777778
implementation,implementacion,0.06666666666666665
long-winded,longo vento,0.4606060606060607
consonance,consonancia,0.09999999999999987
apology,desculpas,0.7333333333333334
primordial,primordial,0.0
