en,es,Alignment Score
live,en vivo,0.5166666666666666
gift,regalo,0.6833333333333333
good,bien,0.8333333333333334
relativize,relativizar,0.09999999999999987
hurry,apurarse,0.42666666666666664
paradigm,paradigma,0.016666666666666607
contradictory,contradictorio,0.07692307692307687
privilege,privilegio,0.11111111111111116
heal,sanar,0.6833333333333333
pose,pose,0.0
clan,clan,0.0
concept,concepto,0.01904761904761898
it was,fue,0.9111111111111111
someone else,alguien mas,0.5575757575757576
fraternity,fraternidad,0.17999999999999994
intercurrence,intercurrencia,0.07692307692307687
design,diseno,0.43333333333333335
uninterrupted,ininterrumpido,0.2205128205128205
assess,evaluar,0.711111111111111
cynicism,cinismo,0.2761904761904762
behavior,comportamiento,0.6000000000000001
force,fuerza,0.5333333333333333
term,termino,0.06666666666666676
relocation,reubicacion,0.27333333333333343
lies,mentiras,0.5166666666666666
aforementioned,citado,0.6555555555555556
give,dar,0.8666666666666667
resplendent,resplandeciente,0.12121212121212122
worthy,valioso,0.711111111111111
plausible,plausible,0.0
i love,amo,0.6666666666666667
morbid,morbido,0.022222222222222143
relevance,relevancia,0.11111111111111116
soon,pronto,0.4833333333333334
cia,cia,0.0
authenticity,autenticidad,0.21666666666666645
reflect,reflejar,0.2571428571428571
anathema,anatema,0.01904761904761898
presumptuous,presuntuoso,0.17575757575757567
leisure,ocio,0.7166666666666668
offspring,descendencia,0.6888888888888889
dream,sueno,0.6933333333333334
current,actual,0.5777777777777777
licentiousness,libertinaje,0.35151515151515156
demagogue,demagogo,0.125
saga,saga,0.0
description,descripcion,0.08484848484848484
peculiarity,peculiaridad,0.16363636363636347
compassionate,compasivo,0.1407407407407406
misogynist,misogino,0.24166666666666659
too,tambien,0.6666666666666667
inference,inferencia,0.11111111111111116
simplicity,sencillez,0.5703703703703704
claim,afirmar,0.4
fate,destino,0.7
peak,cima,0.6499999999999999
erudite,erudito,0.13333333333333341
phlegmatic,flematico,0.2148148148148148
procedure,procedimiento,0.22962962962962952
nor,ni,0.5
printing,impresion,0.44166666666666676
circumspect,circunspecto,0.09696969696969693
company,compania,0.1428571428571429
to develop,desarrollar,0.6
determination,determinacion,0.07179487179487176
as,como,0.9333333333333333
diligent,diligente,0.016666666666666607
playful,jugueton,0.7333333333333334
duty,deber,0.6499999999999999
resolution,resolucion,0.09333333333333338
turn,doblar,0.6833333333333333
labaro,labaro,0.0
constancy,constancia,0.11111111111111116
thesis,tesis,0.026666666666666727
myth,mito,0.4666666666666667
to be,ser,0.6444444444444445
incident,incidente,0.016666666666666607
characterize,caracterizar,0.1499999999999999
road,camino,0.6833333333333333
genre,genero,0.19999999999999996
responsible,responsable,0.08484848484848484
impute,imputar,0.16666666666666663
epistemological,epistemologico,0.0714285714285714
happiness,felicidad,0.7407407407407407
task,tarea,0.45000000000000007
great,excelente,0.5866666666666667
not(c)member,not(c)miembro,0.0888888888888888
cunning,astuto,0.7222222222222222
lucubration,elucubracion,0.09696969696969704
scope,alcance,0.5466666666666666
self,ser,0.33333333333333337
beyond,mas alla de,0.7555555555555555
inconsequential,inconsecuente,0.15384615384615385
context,contexto,0.01904761904761898
humility,humildad,0.31666666666666654
impartial,imparcial,0.10370370370370374
pro,pro,0.0
hypocrisy,hipocresia,0.311111111111111
meaning,significado,0.6476190476190476
although,a pesar de,0.7333333333333334
detachment,desapego,0.4666666666666667
quota,cuota,0.18666666666666676
racism,racismo,0.022222222222222143
autonomy,autonomia,0.125
cleanliness,limpieza,0.5583333333333333
indispensable,indispensable,0.0
remaining,restante,0.45000000000000007
wish,desear,0.7
to give,dar,0.9333333333333333
synthetic,sintetico,0.20740740740740748
until,hasta,0.6933333333333334
prominent,prominente,0.014814814814814725
consent,consentir,0.028571428571428692
concerning,sobre,0.6133333333333333
implementation,implementacion,0.06666666666666665
long-winded,prolijo,0.638095238095238
consonance,consonancia,0.09999999999999987
apology,disculpa,0.7142857142857143
primordial,primordial,0.0
