it,gl,Alignment Score
vivere,en directo,0.47777777777777786
regalo,agasallo,0.3222222222222223
bene,bo,0.5333333333333334
relativizzare,relativizar,0.024242424242424176
fretta,presa,0.3866666666666667
paradigma,paradigma,0.0
contraddittorio,contraditorio,0.02051282051282044
privilegio,privilexio,0.09333333333333338
guarire,curar,0.4
posa,pose,0.2333333333333334
clan,clan,0.0
concetto,concepto,0.1166666666666667
era,foi,0.8444444444444444
qualcun altro,alguen mais,0.4181818181818181
fraternita,fraternidade,0.11333333333333329
intercorrenza,intercorrencia,0.07692307692307687
progetto,deseno,0.6000000000000001
ininterrotto,ininterrompido,0.15555555555555545
valutare,avaliar,0.2761904761904763
cinismo,cinismo,0.0
comportamento,comportamento,0.0
forza,forza,0.0
termine,termo,0.21333333333333337
trasferimento,traslado,0.3583333333333334
bugie,mentiras,0.72
suddetto,mencionado anteriormente,0.6833333333333333
dare,dar,0.04444444444444451
splendente,resplandeciente,0.14
degno,digno,0.18666666666666676
plausibile,plausible,0.014814814814814725
io amo,encantame,0.6111111111111112
morboso,morboso,0.0
pertinenza,relevancia,0.5133333333333334
presto,en breve,0.6000000000000001
cia,cia,0.0
autenticita,autenticidade,0.10303030303030292
riflettere,reflexo,0.4095238095238096
anatema,anatema,0.0
presuntuoso,presuntuoso,0.0
tempo libero,lecer,0.4666666666666667
prole,descendencia,0.7733333333333333
sogno,sono,0.033333333333333326
attuale,actual,0.1777777777777778
licenziosita,libertinaxe,0.4727272727272728
demagogo,demagogo,0.0
saga,saga,0.0
descrizione,descricion,0.10666666666666669
peculiarita,peculiaridade,0.10303030303030292
compassionevole,compasivo,0.06666666666666654
misogino,misoxina,0.2333333333333334
pure,tamen,0.6666666666666667
inferenza,conclusion,0.6518518518518519
semplicita,sinxeleza,0.4814814814814815
reclamo,reclamacion,0.05714285714285716
destino,destino,0.0
picco,pico,0.033333333333333326
erudito,erudito,0.0
flemmatico,flematico,0.014814814814814725
procedura,procedemento,0.3037037037037036
ne,nin tampouco,0.8
stampa,impresion,0.6111111111111112
circospetto,circunspecto,0.17575757575757578
azienda,empresa,0.6
sviluppare,desenvolver,0.5333333333333333
determinazione,determinacion,0.08205128205128198
come,como,0.2333333333333334
diligente,dilixente,0.10370370370370374
giocoso,xogueton,0.6190476190476191
dovere,deber,0.3733333333333334
risoluzione,resolucion,0.19999999999999996
giro,quenda,0.8666666666666667
labaro,labaro,0.0
costanza,constancia,0.1416666666666666
tesi,tese,0.2333333333333334
mito,mito,0.0
essere,ser,0.11111111111111116
incidente,incidente,0.0
caratterizzare,caracterizar,0.09999999999999987
strada,estrada,0.022222222222222143
genere,xenero,0.3111111111111112
responsabile,responsable,0.012121212121212088
imputare,imputar,0.01904761904761898
epistemologico,epistemoloxico,0.06666666666666665
felicita,felicidade,0.1416666666666666
compito,tarefa,0.711111111111111
grande,xenial,0.7
non(c)membro,non e membro,0.21111111111111114
astuzia,astucia,0.13333333333333341
elucubrazione,elucubracion,0.08888888888888902
scopo,ambito,0.6799999999999999
se stesso,propio,0.7222222222222223
al di la,mais alo,0.44166666666666676
irrilevante,intranscendente,0.4060606060606061
contesto,contexto,0.1166666666666667
umilta,humildade,0.21111111111111114
imparziale,imparcial,0.11851851851851858
pro,pro,0.0
ipocrisia,hipocrisia,0.014814814814814725
senso,significado,0.45333333333333337
sebbene,ainda que,0.6190476190476191
distacco,desprendemento,0.4833333333333334
quota,cota,0.25
razzismo,racismo,0.1428571428571429
autonomia,autonomia,0.0
pulizia,limpeza,0.37142857142857144
indispensabile,indispensable,0.01025641025641022
residuo,restante,0.4857142857142859
desiderio,desexo,0.20000000000000007
dare,dar,0.04444444444444451
sintetico,sintetica,0.10370370370370374
fino a,ata que,0.7
prominente,destacado,0.674074074074074
consenso,consentimento,0.15833333333333321
riguardante,referente,0.4
implementazione,implementacion,0.07619047619047614
prolisso,longo vento,0.6499999999999999
consonanza,consonancia,0.09999999999999998
scuse,desculpas,0.2533333333333334
primordiale,primordial,0.013333333333333308
