pt,es,Alignment Score
avido,en vivo,0.4
dadiva,regalo,0.7
bom,bien,0.6000000000000001
relativizar,relativizar,0.0
pressa,apurarse,0.4666666666666667
paradigma,paradigma,0.0
contraditorio,contradictorio,0.01025641025641022
privilegio,privilegio,0.0
sanar,sanar,0.0
pose,pose,0.0
cla,clan,0.04444444444444451
conceito,concepto,0.1166666666666667
era,fue,0.5777777777777777
outrem,alguien mas,0.5222222222222223
fraternidade,fraternidad,0.012121212121212088
intercorrencia,intercurrencia,0.06666666666666665
concepcao,diseno,0.6000000000000001
ininterrupto,ininterrumpido,0.09444444444444422
aferir,evaluar,0.5666666666666667
cinismo,cinismo,0.0
comportamento,comportamiento,0.01025641025641022
vigor,fuerza,0.6933333333333334
termo,termino,0.04000000000000015
remanejamento,reubicacion,0.5454545454545456
jaz,mentiras,0.7333333333333334
supracitado,citado,0.06666666666666665
des,dar,0.5777777777777777
resplandecente,resplandeciente,0.00952380952380949
digno,valioso,0.56
plausivel,plausible,0.19999999999999996
amo,amo,0.0
morbido,morbido,0.0
relevancia,relevancia,0.0
logo,pronto,0.5
cia,cia,0.0
autenticidade,autenticidad,0.011111111111111072
refletir,reflejar,0.21666666666666667
anatema,anatema,0.0
presuncoso,presuntuoso,0.09999999999999998
ocio,ocio,0.0
prole,descendencia,0.7733333333333333
sonho,sueno,0.36
vigente,actual,0.7222222222222222
licenciosidade,libertinaje,0.4181818181818183
demagogo,demagogo,0.0
saga,saga,0.0
descricao,descripcion,0.13333333333333341
peculiaridade,peculiaridad,0.011111111111111072
compassivo,compasivo,0.014814814814814725
misogino,misogino,0.0
demasiado,tambien,0.6476190476190476
inferencia,inferencia,0.0
simplicidade,sencillez,0.5037037037037038
reivindicar,afirmar,0.5238095238095238
sina,destino,0.31666666666666676
auge,cima,0.6333333333333333
erudito,erudito,0.0
fleumatico,flematico,0.014814814814814725
procedimento,procedimiento,0.011111111111111072
nem,ni,0.5
impressao,impresion,0.19999999999999996
circunspecto,circunspecto,0.0
companhia,compania,0.016666666666666607
desenvolver,desarrollar,0.38787878787878804
determinacao,determinacion,0.0888888888888888
como,como,0.0
diligente,diligente,0.0
ludico,jugueton,0.6111111111111112
dever,deber,0.18666666666666676
resolucao,resolucion,0.11851851851851858
vez,doblar,0.9111111111111111
labaro,labaro,0.0
constancia,constancia,0.0
tese,tesis,0.25
mito,mito,0.0
ser,ser,0.0
incidente,incidente,0.0
caracterizar,caracterizar,0.0
rua,camino,0.6666666666666667
genro,genero,0.026666666666666727
irresponsavel,responsable,0.18181818181818177
imputar,imputar,0.0
epistemologico,epistemologico,0.0
felicidade,felicidad,0.014814814814814725
incumbencia,tarea,0.6
excelente,excelente,0.0
nescio,not(c)miembro,0.38888888888888884
astuto,astuto,0.0
elucubracao,elucubracion,0.09696969696969682
escopo,alcance,0.7
auto,ser,0.8666666666666667
alem,mas alla de,0.3666666666666667
inconsequente,inconsecuente,0.07179487179487176
contexto,contexto,0.0
humildade,humildad,0.016666666666666607
imparcial,imparcial,0.0
pro,pro,0.0
hipocrisia,hipocresia,0.09333333333333338
significado,significado,0.0
embora,a pesar de,0.6222222222222222
desprendimento,desapego,0.2833333333333332
cota,cuota,0.033333333333333326
racismo,racismo,0.0
autonomia,autonomia,0.0
asseio,limpieza,0.7111111111111111
indispensavel,indispensable,0.1384615384615382
remanescente,restante,0.2583333333333334
anseio,desear,0.5777777777777777
dar,dar,0.0
sintetico,sintetico,0.0
ate,hasta,0.3999999999999999
proeminente,prominente,0.013333333333333308
anuencia,consentir,0.4750000000000001
concernente,sobre,0.4666666666666667
implementacao,implementacion,0.08205128205128198
prolixo,prolijo,0.13333333333333341
consonancia,consonancia,0.0
apologia,disculpa,0.625
primordial,primordial,0.0
