fr,gl,Alignment Score
en direct,en directo,0.014814814814814725
cadeau,agasallo,0.6111111111111112
bien,bo,0.5333333333333334
relativiser,relativizar,0.1575757575757576
depechez-vous,presa,0.48
paradigme,paradigma,0.10370370370370374
contradictoire,contraditorio,0.14871794871794863
privilege,privilexio,0.19999999999999996
guerir,curar,0.4
pose,pose,0.0
clan,clan,0.0
concept,concepto,0.01904761904761898
c'etait,foi,0.6888888888888889
quelqu'un d'autre,alguen mais,0.5151515151515152
fraternite,fraternidade,0.10666666666666669
intercurrence,intercorrencia,0.14871794871794863
conception,deseno,0.6222222222222222
ininterrompu,ininterrompido,0.0888888888888888
evaluer,avaliar,0.38095238095238104
cynisme,cinismo,0.2666666666666667
comportement,comportamento,0.08888888888888902
forcer,forza,0.3600000000000001
terme,termo,0.18666666666666676
demenagement,traslado,0.75
mensonges,mentiras,0.42500000000000016
susmentionne,mencionado anteriormente,0.36111111111111094
donner,dar,0.37777777777777777
resplendissant,resplandeciente,0.26190476190476186
digne,digno,0.18666666666666676
plausible,plausible,0.0
j'aime,encantame,0.4666666666666667
morbide,morboso,0.36190476190476195
pertinence,relevancia,0.5133333333333334
bientot,en breve,0.6095238095238096
cia,cia,0.0
authenticite,autenticidade,0.15555555555555545
refleter,reflexo,0.2571428571428571
anatheme,anatema,0.1523809523809525
presomptueux,presuntuoso,0.3939393939393939
loisirs,lecer,0.5466666666666666
progeniture,descendencia,0.6181818181818182
reve,sono,0.8333333333333334
actuel,actual,0.15555555555555556
licence,libertinaxe,0.3142857142857144
demagogue,demagogo,0.125
saga,saga,0.0
description,descricion,0.09999999999999998
particularite,peculiaridade,0.33333333333333337
compatissant,compasivo,0.311111111111111
misogyne,misoxina,0.33333333333333337
aussi,tamen,0.6799999999999999
inference,conclusion,0.6518518518518519
simplicite,sinxeleza,0.4814814814814815
reclamer,reclamacion,0.24166666666666659
destin,destino,0.022222222222222143
culminer,pico,0.7166666666666668
erudit,erudito,0.022222222222222143
flegmatique,flematico,0.21481481481481468
procedure,procedemento,0.21481481481481468
ni,nin tampouco,0.3666666666666668
impression,impresion,0.014814814814814725
circonspect,circunspecto,0.09696969696969693
entreprise,empresa,0.4095238095238096
developper,desenvolver,0.3533333333333334
determination,determinacion,0.07179487179487176
comme,como,0.25
diligent,dilixente,0.13333333333333341
espiegle,xogueton,0.6416666666666666
devoir,deber,0.36
resolution,resolucion,0.09333333333333338
tourner,quenda,0.6000000000000001
labaro,labaro,0.0
constance,constancia,0.11111111111111116
these,tese,0.033333333333333326
mythe,mito,0.4833333333333334
etre,ser,0.3555555555555556
incident,incidente,0.016666666666666607
caracteriser,caracterizar,0.14444444444444438
route,estrada,0.6933333333333334
genre,xenero,0.3866666666666667
responsable,responsable,0.0
imputer,imputar,0.13333333333333341
epistemologique,epistemoloxico,0.195238095238095
bonheur,felicidade,0.7428571428571429
tache,tarefa,0.3733333333333334
super,xenial,0.7066666666666668
pas(c)membre,non e membro,0.48888888888888893
ruse,astucia,0.7166666666666668
lucubration,elucubracion,0.09696969696969704
portee,ambito,0.7
soi,propio,0.4222222222222223
au-dela,mais alo,0.6190476190476191
sans consequence,intranscendente,0.41333333333333333
contexte,contexto,0.1166666666666667
humilite,humildade,0.22499999999999998
impartial,imparcial,0.10370370370370374
pro,pro,0.0
hypocrisie,hipocrisia,0.18666666666666676
signification,significado,0.10303030303030292
bien que,ainda que,0.2416666666666667
detachement,desprendemento,0.32727272727272727
quota,cota,0.25
racisme,racismo,0.13333333333333341
autonomie,autonomia,0.10370370370370374
proprete,limpeza,0.6095238095238096
indispensable,indispensable,0.0
restant,restante,0.01904761904761898
souhait,desexo,0.5777777777777777
donner,dar,0.37777777777777777
synthetique,sintetica,0.31851851851851853
jusqu'a,ata que,0.6095238095238096
eminent,destacado,0.6285714285714286
consentement,consentimento,0.08888888888888902
concernant,referente,0.4888888888888888
mise en oeuvre,implementacion,0.5571428571428572
verbeux,longo vento,0.638095238095238
consonance,consonancia,0.09999999999999987
excuses,desculpas,0.4095238095238096
primordial,primordial,0.0
