it,ro,Alignment Score
vivere,trai,0.6833333333333333
regalo,cadou,0.56
bene,bun,0.3555555555555556
relativizzare,relativiza,0.033333333333333215
fretta,graba,0.5466666666666666
paradigma,paradigma,0.0
contraddittorio,contradictoriu,0.1428571428571429
privilegio,privilegiu,0.09333333333333327
guarire,vindeca,0.6190476190476191
posa,poza,0.2333333333333334
clan,clan,0.0
concetto,concept,0.1428571428571429
era,era,0.0
qualcun altro,altcineva,0.4370370370370371
fraternita,fraternitate,0.019999999999999907
intercorrenza,intercurente,0.22777777777777763
progetto,proiecta,0.3416666666666667
ininterrotto,neintrerupta,0.37222222222222223
valutare,evalua,0.18888888888888888
cinismo,cinism,0.022222222222222143
comportamento,comportament,0.011111111111111072
forza,forta,0.18666666666666676
termine,termen,0.16666666666666674
trasferimento,relocare,0.4833333333333334
bugie,minciuni,0.5866666666666667
suddetto,mentionate mai sus,0.6333333333333333
dare,da,0.09999999999999998
splendente,splendid,0.23333333333333328
degno,vrednic,0.56
plausibile,plauzibil,0.11851851851851858
io amo,iubesc,0.6888888888888889
morboso,morbid,0.30000000000000016
pertinenza,relevanta,0.4888888888888888
presto,curand,0.7111111111111111
cia,cia,0.0
autenticita,autenticitate,0.018181818181817966
riflettere,reflectati,0.36
anatema,anatema,0.0
presuntuoso,prezumtios,0.29333333333333345
tempo libero,agrement,0.575
prole,descendenti,0.76
sogno,vis,0.6222222222222222
attuale,actual,0.1777777777777778
licenziosita,imoralitate,0.4727272727272728
demagogo,demagog,0.01904761904761898
saga,saga,0.0
descrizione,descriere,0.20740740740740737
peculiarita,particularitate,0.19393939393939386
compassionevole,milos,0.52
misogino,misogin,0.01904761904761898
pure,de asemenea,0.7666666666666667
inferenza,deducere,0.5333333333333334
semplicita,simplitate,0.2666666666666667
reclamo,revendicare,0.4190476190476191
destino,soarta,0.5777777777777777
picco,varf,0.85
erudito,erudit,0.022222222222222143
flemmatico,flegmatic,0.11851851851851858
procedura,procedura,0.0
ne,nici,0.5333333333333334
stampa,imprimare,0.47777777777777775
circospetto,circumspect,0.24242424242424243
azienda,companie,0.5047619047619049
sviluppare,a dezvolta,0.6066666666666667
determinazione,determinare,0.10303030303030292
come,la fel de,0.7166666666666668
diligente,harnic,0.7444444444444445
giocoso,jucaus,0.6000000000000001
dovere,datorie,0.3111111111111112
risoluzione,rezolutie,0.31851851851851853
giro,intoarce,0.5333333333333334
labaro,labaro,0.0
costanza,constanta,0.13333333333333341
tesi,teza,0.43333333333333335
mito,mit,0.04444444444444451
essere,a fi,0.8666666666666667
incidente,incident,0.016666666666666607
caratterizzare,caracteriza,0.11515151515151512
strada,drum,0.6833333333333333
genere,gen,0.08888888888888902
responsabile,responsabil,0.012121212121212088
imputare,imputa,0.03333333333333344
epistemologico,epistemologica,0.06666666666666665
felicita,fericire,0.33333333333333337
compito,sarcina,0.6095238095238096
grande,grozav,0.43333333333333335
non(c)membro,nu(c)membre,0.17575757575757567
astuzia,viclean,0.6095238095238096
elucubrazione,elucubratia,0.18181818181818166
scopo,domeniul de aplicare,0.7466666666666667
se stesso,de sine,0.4095238095238096
al di la,dincolo,0.5142857142857143
irrilevante,neinsemnata,0.5575757575757576
contesto,context,0.1523809523809525
umilta,umilinta,0.03333333333333344
imparziale,impartial,0.11851851851851858
pro,pro,0.0
ipocrisia,ipocrizie,0.20740740740740748
senso,sens,0.033333333333333326
sebbene,cu toate ca,0.7523809523809525
distacco,detasare,0.5333333333333334
quota,cota,0.25
razzismo,rasism,0.18888888888888888
autonomia,autonomie,0.10370370370370374
pulizia,curatenie,0.638095238095238
indispensabile,indispensabil,0.01025641025641022
residuo,ramas,0.5466666666666666
desiderio,dori,0.33333333333333337
dare,a da,0.43333333333333335
sintetico,sintetic,0.016666666666666607
fino a,pana cand,0.5
prominente,proeminent,0.09333333333333327
consenso,consimtamant,0.3666666666666667
riguardante,cu privire la,0.5515151515151515
implementazione,implementare,0.09444444444444422
prolisso,prelungit,0.45000000000000007
consonanza,consonanta,0.09333333333333338
scuse,scuze,0.18666666666666676
primordiale,primordial,0.013333333333333308
