en,ro,Alignment Score
live,trai,0.6500000000000001
gift,cadou,0.85
good,bun,0.8666666666666667
relativize,relativiza,0.09333333333333327
hurry,graba,0.6933333333333334
paradigm,paradigma,0.016666666666666607
contradictory,contradictoriu,0.07692307692307687
privilege,privilegiu,0.11111111111111116
heal,vindeca,0.5166666666666666
pose,poza,0.43333333333333335
clan,clan,0.0
concept,concept,0.0
it was,era,0.6666666666666667
someone else,altcineva,0.674074074074074
fraternity,fraternitate,0.10666666666666658
intercurrence,intercurente,0.0888888888888888
design,proiecta,0.7333333333333334
uninterrupted,neintrerupta,0.23888888888888893
assess,evalua,0.6888888888888889
cynicism,cinism,0.18888888888888888
behavior,comportament,0.6583333333333334
force,forta,0.3466666666666668
term,termen,0.050000000000000155
relocation,relocare,0.23333333333333328
lies,minciuni,0.7166666666666667
aforementioned,mentionate mai sus,0.3809523809523808
give,da,0.9333333333333333
resplendent,splendid,0.25
worthy,vrednic,0.7222222222222222
plausible,plauzibil,0.20740740740740748
i love,iubesc,0.5666666666666667
morbid,morbid,0.0
relevance,relevanta,0.19259259259259254
soon,curand,0.6833333333333333
cia,cia,0.0
authenticity,autenticitate,0.15555555555555545
reflect,reflectati,0.03809523809523796
anathema,anatema,0.01904761904761898
presumptuous,prezumtios,0.21333333333333337
leisure,agrement,0.6095238095238096
offspring,descendenti,0.674074074074074
dream,vis,0.8888888888888888
current,actual,0.5777777777777777
licentiousness,imoralitate,0.5575757575757576
demagogue,demagog,0.028571428571428692
saga,saga,0.0
description,descriere,0.29629629629629617
peculiarity,particularitate,0.2727272727272727
compassionate,milos,0.4933333333333334
misogynist,misogin,0.17142857142857149
too,de asemenea,1.0222222222222221
inference,deducere,0.5333333333333334
simplicity,simplitate,0.2599999999999999
claim,revendicare,0.6133333333333334
fate,soarta,0.5166666666666666
peak,varf,0.6666666666666667
erudite,erudit,0.022222222222222143
phlegmatic,flegmatic,0.11111111111111116
procedure,procedura,0.10370370370370374
nor,nici,0.6000000000000001
printing,imprimare,0.5333333333333334
circumspect,circumspect,0.0
company,companie,0.1428571428571429
to develop,a dezvolta,0.44000000000000006
determination,determinare,0.16969696969696957
as,la fel de,0.7333333333333334
diligent,harnic,0.7333333333333334
playful,jucaus,0.6000000000000001
duty,datorie,0.5166666666666666
resolution,rezolutie,0.2148148148148148
turn,intoarce,0.55
labaro,labaro,0.0
constancy,constanta,0.19259259259259254
thesis,teza,0.4833333333333334
myth,mit,0.3555555555555556
to be,a fi,0.6833333333333333
incident,incident,0.0
characterize,caracteriza,0.09696969696969682
road,drum,0.6333333333333333
genre,gen,0.06666666666666687
responsible,responsabil,0.16363636363636358
impute,imputa,0.15555555555555556
epistemological,epistemologica,0.00952380952380949
happiness,fericire,0.6499999999999999
task,sarcina,0.7
great,grozav,0.3866666666666667
not(c)member,nu(c)membre,0.17575757575757567
cunning,viclean,0.6095238095238096
lucubration,elucubratia,0.16363636363636347
scope,domeniul de aplicare,0.5733333333333334
self,de sine,0.5
beyond,dincolo,0.7
inconsequential,neinsemnata,0.35757575757575766
context,context,0.0
humility,umilinta,0.2333333333333334
impartial,impartial,0.0
pro,pro,0.0
hypocrisy,ipocrizie,0.3851851851851852
meaning,sens,0.5333333333333334
although,cu toate ca,0.6583333333333334
detachment,detasare,0.3416666666666668
quota,cota,0.25
racism,rasism,0.15555555555555556
autonomy,autonomie,0.125
cleanliness,curatenie,0.41481481481481497
indispensable,indispensabil,0.07179487179487176
remaining,ramas,0.42666666666666686
wish,dori,0.6500000000000001
to give,a da,0.7166666666666668
synthetic,sintetic,0.13333333333333341
until,pana cand,0.7466666666666667
prominent,proeminent,0.014814814814814725
consent,consimtamant,0.18095238095238098
concerning,cu privire la,0.6133333333333333
implementation,implementare,0.15555555555555545
long-winded,prelungit,0.5037037037037038
consonance,consonanta,0.17333333333333334
apology,scuze,0.8533333333333334
primordial,primordial,0.0
