pt,en,es,fr,it,gl,ro
avido,live,en vivo,en direct,vivere,en directo,trai
dadiva,gift,regalo,cadeau,regalo,agasallo,cadou
bom,good,bien,bien,bene,bo,bun
relativizar,relativize,relativizar,relativiser,relativizzare,relativizar,relativiza
pressa,hurry,apurarse,depechez-vous,fretta,presa,graba
paradigma,paradigm,paradigma,paradigme,paradigma,paradigma,paradigma
contraditorio,contradictory,contradictorio,contradictoire,contraddittorio,contraditorio,contradictoriu
privilegio,privilege,privilegio,privilege,privilegio,privilexio,privilegiu
sanar,heal,sanar,guerir,guarire,curar,vindeca
pose,pose,pose,pose,posa,pose,poza
cla,clan,clan,clan,clan,clan,clan
conceito,concept,concepto,concept,concetto,concepto,concept
era,it was,fue,c'etait,era,foi,era
outrem,someone else,alguien mas,quelqu'un d'autre,qualcun altro,alguen mais,altcineva
fraternidade,fraternity,fraternidad,fraternite,fraternita,fraternidade,fraternitate
intercorrencia,intercurrence,intercurrencia,intercurrence,intercorrenza,intercorrencia,intercurente
concepcao,design,diseno,conception,progetto,deseno,proiecta
ininterrupto,uninterrupted,ininterrumpido,ininterrompu,ininterrotto,ininterrompido,neintrerupta
aferir,assess,evaluar,evaluer,valutare,avaliar,evalua
cinismo,cynicism,cinismo,cynisme,cinismo,cinismo,cinism
comportamento,behavior,comportamiento,comportement,comportamento,comportamento,comportament
vigor,force,fuerza,forcer,forza,forza,forta
termo,term,termino,terme,termine,termo,termen
remanejamento,relocation,reubicacion,demenagement,trasferimento,traslado,relocare
jaz,lies,mentiras,mensonges,bugie,mentiras,minciuni
supracitado,aforementioned,citado,susmentionne,suddetto,mencionado anteriormente,mentionate mai sus
des,give,dar,donner,dare,dar,da
resplandecente,resplendent,resplandeciente,resplendissant,splendente,resplandeciente,splendid
digno,worthy,valioso,digne,degno,digno,vrednic
plausivel,plausible,plausible,plausible,plausibile,plausible,plauzibil
amo,i love,amo,j'aime,io amo,encantame,iubesc
morbido,morbid,morbido,morbide,morboso,morboso,morbid
relevancia,relevance,relevancia,pertinence,pertinenza,relevancia,relevanta
logo,soon,pronto,bientot,presto,en breve,curand
cia,cia,cia,cia,cia,cia,cia
autenticidade,authenticity,autenticidad,authenticite,autenticita,autenticidade,autenticitate
refletir,reflect,reflejar,refleter,riflettere,reflexo,reflectati
anatema,anathema,anatema,anatheme,anatema,anatema,anatema
presuncoso,presumptuous,presuntuoso,presomptueux,presuntuoso,presuntuoso,prezumtios
ocio,leisure,ocio,loisirs,tempo libero,lecer,agrement
prole,offspring,descendencia,progeniture,prole,descendencia,descendenti
sonho,dream,sueno,reve,sogno,sono,vis
vigente,current,actual,actuel,attuale,actual,actual
licenciosidade,licentiousness,libertinaje,licence,licenziosita,libertinaxe,imoralitate
demagogo,demagogue,demagogo,demagogue,demagogo,demagogo,demagog
saga,saga,saga,saga,saga,saga,saga
descricao,description,descripcion,description,descrizione,descricion,descriere
peculiaridade,peculiarity,peculiaridad,particularite,peculiarita,peculiaridade,particularitate
compassivo,compassionate,compasivo,compatissant,compassionevole,compasivo,milos
misogino,misogynist,misogino,misogyne,misogino,misoxina,misogin
demasiado,too,tambien,aussi,pure,tamen,de asemenea
inferencia,inference,inferencia,inference,inferenza,conclusion,deducere
simplicidade,simplicity,sencillez,simplicite,semplicita,sinxeleza,simplitate
reivindicar,claim,afirmar,reclamer,reclamo,reclamacion,revendicare
sina,fate,destino,destin,destino,destino,soarta
auge,peak,cima,culminer,picco,pico,varf
erudito,erudite,erudito,erudit,erudito,erudito,erudit
fleumatico,phlegmatic,flematico,flegmatique,flemmatico,flematico,flegmatic
procedimento,procedure,procedimiento,procedure,procedura,procedemento,procedura
nem,nor,ni,ni,ne,nin tampouco,nici
impressao,printing,impresion,impression,stampa,impresion,imprimare
circunspecto,circumspect,circunspecto,circonspect,circospetto,circunspecto,circumspect
companhia,company,compania,entreprise,azienda,empresa,companie
desenvolver,to develop,desarrollar,developper,sviluppare,desenvolver,a dezvolta
determinacao,determination,determinacion,determination,determinazione,determinacion,determinare
como,as,como,comme,come,como,la fel de
diligente,diligent,diligente,diligent,diligente,dilixente,harnic
ludico,playful,jugueton,espiegle,giocoso,xogueton,jucaus
dever,duty,deber,devoir,dovere,deber,datorie
resolucao,resolution,resolucion,resolution,risoluzione,resolucion,rezolutie
vez,turn,doblar,tourner,giro,quenda,intoarce
labaro,labaro,labaro,labaro,labaro,labaro,labaro
constancia,constancy,constancia,constance,costanza,constancia,constanta
tese,thesis,tesis,these,tesi,tese,teza
mito,myth,mito,mythe,mito,mito,mit
ser,to be,ser,etre,essere,ser,a fi
incidente,incident,incidente,incident,incidente,incidente,incident
caracterizar,characterize,caracterizar,caracteriser,caratterizzare,caracterizar,caracteriza
rua,road,camino,route,strada,estrada,drum
genro,genre,genero,genre,genere,xenero,gen
irresponsavel,responsible,responsable,responsable,responsabile,responsable,responsabil
imputar,impute,imputar,imputer,imputare,imputar,imputa
epistemologico,epistemological,epistemologico,epistemologique,epistemologico,epistemoloxico,epistemologica
felicidade,happiness,felicidad,bonheur,felicita,felicidade,fericire
incumbencia,task,tarea,tache,compito,tarefa,sarcina
excelente,great,excelente,super,grande,xenial,grozav
nescio,not(c)member,not(c)miembro,pas(c)membre,non(c)membro,non e membro,nu(c)membre
