fr,ro,Alignment Score
en direct,trai,0.7166666666666667
cadeau,cadou,0.19999999999999996
bien,bun,0.33333333333333337
relativiser,relativiza,0.17999999999999994
depechez-vous,graba,0.9333333333333333
paradigme,paradigma,0.10370370370370374
contradictoire,contradictoriu,0.12857142857142834
privilege,privilegiu,0.11111111111111116
guerir,vindeca,0.7222222222222222
pose,poza,0.43333333333333335
clan,clan,0.0
concept,concept,0.0
c'etait,era,0.4444444444444444
quelqu'un d'autre,altcineva,0.6370370370370371
fraternite,fraternitate,0.019999999999999907
intercurrence,intercurente,0.0888888888888888
conception,proiecta,0.575
ininterrompu,neintrerupta,0.36111111111111116
evaluer,evalua,0.16666666666666663
cynisme,cinism,0.1777777777777778
comportement,comportament,0.07777777777777772
forcer,forta,0.3600000000000001
terme,termen,0.026666666666666727
demenagement,relocare,0.5916666666666668
mensonges,minciuni,0.5583333333333333
susmentionne,mentionate mai sus,0.3222222222222221
donner,da,0.6000000000000001
resplendissant,splendid,0.17499999999999982
digne,vrednic,0.56
plausible,plauzibil,0.20740740740740748
j'aime,iubesc,0.5777777777777777
morbide,morbid,0.022222222222222143
pertinence,relevanta,0.5777777777777778
bientot,curand,0.7222222222222222
cia,cia,0.0
authenticite,autenticitate,0.08333333333333337
refleter,reflectati,0.24166666666666659
anatheme,anatema,0.1523809523809525
presomptueux,prezumtios,0.44666666666666677
loisirs,agrement,0.7333333333333334
progeniture,descendenti,0.6060606060606061
reve,vis,0.6222222222222222
actuel,actual,0.15555555555555556
licence,imoralitate,0.5238095238095238
demagogue,demagog,0.028571428571428692
saga,saga,0.0
description,descriere,0.29629629629629617
particularite,particularitate,0.015384615384615219
compatissant,milos,0.4666666666666667
misogyne,misogin,0.1523809523809525
aussi,de asemenea,0.6133333333333333
inference,deducere,0.5333333333333334
simplicite,simplitate,0.17333333333333334
reclamer,revendicare,0.3583333333333334
destin,soarta,0.5777777777777777
culminer,varf,0.7166666666666668
erudit,erudit,0.0
flegmatique,flegmatic,0.11851851851851847
procedure,procedura,0.10370370370370374
ni,nici,0.09999999999999998
impression,imprimare,0.37777777777777777
circonspect,circumspect,0.1575757575757577
entreprise,companie,0.55
developper,a dezvolta,0.5133333333333334
determination,determinare,0.16969696969696957
comme,la fel de,0.72
diligent,harnic,0.7333333333333334
espiegle,jucaus,0.7222222222222222
devoir,datorie,0.4555555555555555
resolution,rezolutie,0.2148148148148148
tourner,intoarce,0.4095238095238096
labaro,labaro,0.0
constance,constanta,0.19259259259259254
these,teza,0.45000000000000007
mythe,mit,0.37777777777777777
etre,a fi,0.8333333333333334
incident,incident,0.0
caracteriser,caracteriza,0.16363636363636347
route,drum,0.4833333333333334
genre,gen,0.06666666666666687
responsable,responsabil,0.08484848484848473
imputer,imputa,0.16666666666666663
epistemologique,epistemologica,0.12857142857142834
bonheur,fericire,0.6190476190476191
tache,sarcina,0.5733333333333334
super,grozav,0.6933333333333334
pas(c)membre,nu(c)membre,0.16363636363636358
ruse,viclean,0.7
lucubration,elucubratia,0.16363636363636347
portee,domeniul de aplicare,0.6
soi,de sine,0.4222222222222223
au-dela,dincolo,0.6190476190476191
sans consequence,neinsemnata,0.509090909090909
contexte,context,0.01904761904761898
humilite,umilinta,0.2333333333333334
impartial,impartial,0.0
pro,pro,0.0
hypocrisie,ipocrizie,0.2148148148148148
signification,sens,0.6000000000000001
bien que,cu toate ca,0.6583333333333334
detachement,detasare,0.3500000000000001
quota,cota,0.25
racisme,rasism,0.1777777777777778
autonomie,autonomie,0.0
proprete,curatenie,0.55
indispensable,indispensabil,0.07179487179487176
restant,ramas,0.5466666666666666
souhait,dori,0.5333333333333334
donner,a da,0.6833333333333333
synthetique,sintetic,0.2666666666666666
jusqu'a,pana cand,0.7333333333333334
eminent,proeminent,0.03809523809523818
consentement,consimtamant,0.30000000000000016
concernant,cu privire la,0.6133333333333333
mise en oeuvre,implementare,0.45000000000000007
verbeux,prelungit,0.5333333333333334
consonance,consonanta,0.17333333333333334
excuses,scuze,0.41333333333333333
primordial,primordial,0.0
