es,fr,Alignment Score
en vivo,en direct,0.40000000000000013
regalo,cadeau,0.5888888888888889
bien,bien,0.0
relativizar,relativiser,0.1575757575757576
apurarse,depechez-vous,0.5833333333333333
paradigma,paradigme,0.10370370370370374
contradictorio,contradictoire,0.12857142857142834
privilegio,privilege,0.11111111111111116
sanar,guerir,0.6799999999999999
pose,pose,0.0
clan,clan,0.0
concepto,concept,0.01904761904761898
fue,c'etait,0.6888888888888889
alguien mas,quelqu'un d'autre,0.5212121212121212
fraternidad,fraternite,0.17999999999999994
intercurrencia,intercurrence,0.07692307692307687
diseno,conception,0.6222222222222222
ininterrumpido,ininterrompu,0.16666666666666652
evaluar,evaluer,0.13333333333333341
cinismo,cynisme,0.2666666666666667
comportamiento,comportement,0.10000000000000009
fuerza,forcer,0.43333333333333335
termino,terme,0.21333333333333337
reubicacion,demenagement,0.6303030303030304
mentiras,mensonges,0.42500000000000016
citado,susmentionne,0.6444444444444445
dar,donner,0.37777777777777777
resplandeciente,resplendissant,0.26190476190476186
valioso,digne,0.72
plausible,plausible,0.0
amo,j'aime,0.42222222222222217
morbido,morbide,0.13333333333333341
relevancia,pertinence,0.5133333333333334
pronto,bientot,0.4444444444444444
cia,cia,0.0
autenticidad,authenticite,0.21666666666666645
reflejar,refleter,0.21666666666666667
anatema,anatheme,0.1523809523809525
presuntuoso,presomptueux,0.3939393939393939
ocio,loisirs,0.5166666666666666
descendencia,progeniture,0.6181818181818182
sueno,reve,0.6666666666666667
actual,actuel,0.15555555555555556
libertinaje,licence,0.3142857142857144
demagogo,demagogue,0.125
saga,saga,0.0
descripcion,description,0.08484848484848484
peculiaridad,particularite,0.3666666666666667
compasivo,compatissant,0.311111111111111
misogino,misogyne,0.2333333333333334
tambien,aussi,0.56
inferencia,inference,0.11111111111111116
sencillez,simplicite,0.4888888888888888
afirmar,reclamer,0.5047619047619049
destino,destin,0.022222222222222143
cima,culminer,0.5166666666666666
erudito,erudit,0.022222222222222143
flematico,flegmatique,0.21481481481481468
procedimiento,procedure,0.22962962962962952
ni,ni,0.0
impresion,impression,0.014814814814814725
circunspecto,circonspect,0.09696969696969693
compania,entreprise,0.6583333333333334
desarrollar,developper,0.5133333333333334
determinacion,determination,0.07179487179487176
como,comme,0.25
diligente,diligent,0.016666666666666607
jugueton,espiegle,0.6416666666666666
deber,devoir,0.36
resolucion,resolution,0.09333333333333338
doblar,tourner,0.5888888888888889
labaro,labaro,0.0
constancia,constance,0.11111111111111116
tesis,these,0.36
mito,mythe,0.4833333333333334
ser,etre,0.3555555555555556
incidente,incident,0.016666666666666607
caracterizar,caracteriser,0.14444444444444438
camino,route,0.6933333333333334
genero,genre,0.19999999999999996
responsable,responsable,0.0
imputar,imputer,0.13333333333333341
epistemologico,epistemologique,0.12857142857142834
felicidad,bonheur,0.7428571428571429
tarea,tache,0.36
excelente,super,0.7333333333333334
not(c)miembro,pas(c)membre,0.30000000000000004
astuto,ruse,0.7
elucubracion,lucubration,0.09696969696969704
alcance,portee,0.7
ser,soi,0.5777777777777777
mas alla de,au-dela,0.5333333333333334
inconsecuente,sans consequence,0.23589743589743595
contexto,contexte,0.1166666666666667
humildad,humilite,0.31666666666666654
imparcial,impartial,0.10370370370370374
pro,pro,0.0
hipocresia,hypocrisie,0.28
significado,signification,0.10303030303030292
a pesar de,bien que,0.5666666666666667
desapego,detachement,0.4750000000000001
cuota,quota,0.18666666666666676
racismo,racisme,0.13333333333333341
autonomia,autonomie,0.10370370370370374
limpieza,proprete,0.6333333333333333
indispensable,indispensable,0.0
restante,restant,0.01904761904761898
desear,souhait,0.6000000000000001
dar,donner,0.37777777777777777
sintetico,synthetique,0.31851851851851853
hasta,jusqu'a,0.56
prominente,eminent,0.17142857142857149
consentir,consentement,0.21481481481481468
sobre,concernant,0.6133333333333333
implementacion,mise en oeuvre,0.5571428571428572
prolijo,verbeux,0.7238095238095238
consonancia,consonance,0.09999999999999987
disculpa,excuses,0.6190476190476191
primordial,primordial,0.0
