pt,en,Alignment Score
avido,live,0.6833333333333333
dadiva,gift,0.7
bom,good,0.6444444444444445
relativizar,relativize,0.09999999999999987
pressa,hurry,0.7066666666666668
paradigma,paradigm,0.016666666666666607
contraditorio,contradictory,0.1384615384615382
privilegio,privilege,0.11111111111111116
sanar,heal,0.6833333333333333
pose,pose,0.0
cla,clan,0.04444444444444451
conceito,concept,0.1523809523809525
era,it was,0.6666666666666667
outrem,someone else,0.6333333333333333
fraternidade,fraternity,0.18666666666666665
intercorrencia,intercurrence,0.14871794871794863
concepcao,design,0.7333333333333334
ininterrupto,uninterrupted,0.16111111111111098
aferir,assess,0.5777777777777777
cinismo,cynicism,0.2761904761904762
comportamento,behavior,0.6666666666666667
vigor,force,0.52
termo,term,0.033333333333333326
remanejamento,relocation,0.45333333333333337
jaz,lies,0.8666666666666667
supracitado,aforementioned,0.6303030303030304
des,give,0.6222222222222222
resplandecente,resplendent,0.11515151515151512
digno,worthy,0.6933333333333334
plausivel,plausible,0.19999999999999996
amo,i love,0.6666666666666667
morbido,morbid,0.022222222222222143
relevancia,relevance,0.11111111111111116
logo,soon,0.4666666666666667
cia,cia,0.0
autenticidade,authenticity,0.222222222222222
refletir,reflect,0.1428571428571429
anatema,anathema,0.01904761904761898
presuncoso,presumptuous,0.2799999999999999
ocio,leisure,0.7166666666666668
prole,offspring,0.5733333333333334
sonho,dream,0.8266666666666667
vigente,current,0.48571428571428565
licenciosidade,licentiousness,0.3142857142857143
demagogo,demagogue,0.125
saga,saga,0.0
descricao,description,0.21481481481481468
peculiaridade,peculiarity,0.16969696969696957
compassivo,compassionate,0.11333333333333317
misogino,misogynist,0.24166666666666659
demasiado,too,0.7111111111111111
inferencia,inference,0.11111111111111116
simplicidade,simplicity,0.18666666666666665
reivindicar,claim,0.6133333333333333
sina,fate,0.6500000000000001
auge,peak,0.6499999999999999
erudito,erudite,0.13333333333333341
fleumatico,phlegmatic,0.27333333333333343
procedimento,procedure,0.2222222222222222
nem,nor,0.5777777777777777
impressao,printing,0.6333333333333333
circunspecto,circumspect,0.09696969696969693
companhia,company,0.1523809523809524
desenvolver,to develop,0.5133333333333334
determinacao,determination,0.15555555555555545
como,as,0.9333333333333333
diligente,diligent,0.016666666666666607
ludico,playful,0.5888888888888888
dever,duty,0.6499999999999999
resolucao,resolution,0.20740740740740748
vez,turn,0.8666666666666667
labaro,labaro,0.0
constancia,constancy,0.11111111111111116
tese,thesis,0.2833333333333333
mito,myth,0.4666666666666667
ser,to be,0.6444444444444445
incidente,incident,0.016666666666666607
caracterizar,characterize,0.1499999999999999
rua,road,0.3555555555555556
genro,genre,0.18666666666666676
irresponsavel,responsible,0.2545454545454545
imputar,impute,0.16666666666666663
epistemologico,epistemological,0.0714285714285714
felicidade,happiness,0.6666666666666667
incumbencia,task,0.7666666666666666
excelente,great,0.5866666666666667
nescio,not(c)member,0.6222222222222222
astuto,cunning,0.7222222222222222
elucubracao,lucubration,0.24242424242424243
escopo,scope,0.21333333333333337
auto,self,0.8333333333333334
alem,beyond,0.7
inconsequente,inconsequential,0.08205128205128198
contexto,context,0.01904761904761898
humildade,humility,0.32499999999999984
imparcial,impartial,0.10370370370370374
pro,pro,0.0
hipocrisia,hypocrisy,0.2148148148148148
significado,meaning,0.6476190476190476
embora,although,0.711111111111111
desprendimento,detachment,0.3666666666666667
cota,quota,0.25
racismo,racism,0.022222222222222143
autonomia,autonomy,0.125
asseio,cleanliness,0.48888888888888893
indispensavel,indispensable,0.1384615384615382
remanescente,remaining,0.32592592592592584
anseio,wish,0.7
dar,to give,0.9333333333333333
sintetico,synthetic,0.20740740740740748
ate,until,0.6666666666666667
proeminente,prominent,0.02962962962962956
anuencia,consent,0.5238095238095238
concernente,concerning,0.19333333333333336
implementacao,implementation,0.1435897435897434
prolixo,long-winded,0.638095238095238
consonancia,consonance,0.09999999999999987
apologia,apology,0.1428571428571429
primordial,primordial,0.0
