gl,ro,Alignment Score
indescriptible,de nedescris,0.37222222222222223
conservador,conservator,0.08484848484848484
vis,vis,0.0
noxo,dezgust,0.8833333333333334
lapso,interval,0.7066666666666668
expectativa,asteptare,0.49629629629629635
transcendental,transcendental,0.0
brillo,stralucire,0.6333333333333333
diverxente,divergente,0.09333333333333338
multiplicidade,multiplicitate,0.1333333333333332
hibrido,hibrid,0.022222222222222143
onde,unde,0.2333333333333334
alegrarse,bucura,0.6000000000000001
supresion,suprimare,0.37037037037037035
xibiu,xibiu,0.0
aleatoria,aleatoriu,0.10370370370370374
entretemento,divertisment,0.3666666666666667
inminencia,iminenta,0.1416666666666666
cabreo,echivoc,0.5777777777777777
resultado,rezultat,0.2416666666666667
incoherencia,inconsecventa,0.3055555555555556
disposicion,dispozitie,0.28666666666666674
esporadicos,sporadic,0.04166666666666663
vai,merge,0.8888888888888888
idem,idem,0.0
legado,mostenire,0.7333333333333334
bocal,bocal,0.0
receptividade,receptivitate,0.1435897435897434
interiorizacion,internalizare,0.33846153846153837
caramba,naiba,0.4
casa,casa,0.0
xurisprudencia,jurisprudenta,0.14871794871794863
advertencia,avertizare,0.2733333333333333
rectificar,rectifica,0.014814814814814725
sair,a iesi afara,0.4
cinico,cinic,0.026666666666666727
sentido,sens,0.28333333333333355
contrapartida,echivalent,0.6066666666666667
subxectividade,subiectivitate,0.19999999999999984
recipiente,destinatar,0.5333333333333333
retrogrado,retrograd,0.014814814814814725
conformidade,conformitate,0.15555555555555545
abstracto,abstract,0.016666666666666607
xurisdiccion,jurisdictie,0.2606060606060606
pai,tata,0.6222222222222222
parcial,partial,0.13333333333333341
para o,pentru,0.5777777777777777
contento,multumire,0.6416666666666666
estivo,fost,0.4833333333333334
ven,vin la tine,0.48888888888888893
esencia,esenta,0.16666666666666663
eu dou,eu dau,0.15555555555555556
vontade,voi,0.4
inefable,inefabil,0.1166666666666667
alienado,instrainat,0.45833333333333337
protagonismo,proeminenta,0.4545454545454547
convencional,conventional,0.07777777777777772
bondade,bunatate,0.4
burlador,batjocoritor,0.45833333333333337
conciso,concis,0.022222222222222143
aos poucos,treptat,0.7428571428571429
ser,fi,0.9
resentimento,resentiment,0.012121212121212088
fornicacion,curvie,0.6333333333333333
subsistencia,subzistenta,0.17575757575757578
idea,idee,0.2333333333333334
imputado,parat,0.5733333333333334
deixa o paso,ceda,0.5833333333333333
funcionalidade,functionalitate,0.14285714285714268
sintese,sinteza,0.24761904761904763
viabilidade,fezabilitate,0.33333333333333337
matiz,nuanta,0.56
sobre,despre,0.3733333333333333
por,pe,0.5
execrable,execrabil,0.10370370370370374
desgraza,ghinion,0.7238095238095238
acreditacion,acreditare,0.18666666666666665
acceso,acces,0.026666666666666727
exceso,exces,0.026666666666666727
subordinado,subordonat,0.19333333333333336
papibaquigrafo,papibaquigrapher,0.1333333333333332
presaxio,augur,0.72
eu,pe mine,0.6333333333333333
saudos,cu stima,0.5888888888888888
submision,supunere,0.5333333333333334
amencer,zorii,0.7066666666666667
condescendente,condescendent,0.01025641025641022
fundamentar,fundamenta,0.013333333333333308
descoido,nepasare,0.6416666666666666
denigrar,denigra,0.01904761904761898
continxencia,contingenta,0.17575757575757578
promiscuidade,promiscuitate,0.1435897435897434
constantemente,in mod constant,0.3571428571428571
incandescente,incandescent,0.011111111111111072
perspectiva,perspectiva,0.0
obxectivo,poarta,0.6222222222222222
xugo,jug,0.3555555555555556
elocuente,elocvent,0.13333333333333341
relacion,relatie,0.2761904761904762
art,arta,0.04444444444444451
intensidade,intensitate,0.1696969696969698
corroborar,coroboreaza,0.18666666666666676
seguridade,siguranta,0.40000000000000013
sistematico,sistematic,0.013333333333333308
autoritario,autoritar,0.022222222222222143
compartir,a impartasi,0.311111111111111
sobrecargado,supraincarcat,0.45000000000000007
moda,voga,0.4666666666666667
introvertida,introvertit,0.09090909090909083
despectivo,peiorativ,0.3925925925925926
pandemia,pandemic,0.1166666666666667
sede,sete,0.2333333333333334
nucleo,miez,0.7
estigmatizar,stigmatiza,0.026666666666666616
diverxencia,divergenta,0.19333333333333336
prexuizo,partinire,0.5250000000000001
astucia,viclean,0.6095238095238096
significado,sens,0.5833333333333333
hermetico,ermetic,0.03809523809523818
